N.rep,N.col,expr,time
1,9,data.table::melt.new.sep,15853280
1,9,data.table::melt.new.var_tab,250640
1,9,data.table::melt.old.set,2069520
1,9,data.table::melt.new.pattern,9129680
1,9,data.table::melt.new.sep,8987840
1,9,tidyr::pivot_longer,30332440
1,9,tidyr::pivot_longer,16956880
1,9,data.table::melt.old.join,2483360
1,9,tidyr::pivot_longer,10377440
1,9,data.table::melt.old.set,2099320
1,9,data.table::melt.new.pattern,9562000
1,9,data.table::melt.new.pattern,9441400
1,9,data.table::melt.old.join,2268240
1,9,data.table::melt.new.sep,9413240
1,9,data.table::melt.old.join,2276560
1,9,data.table::melt.old.set,1988000
1,9,data.table::melt.new.sep,9441480
1,9,data.table::melt.old.set,1941160
1,9,data.table::melt.new.pattern,9468560
1,9,tidyr::pivot_longer,10493160
1,9,data.table::melt.new.var_tab,367200
1,9,data.table::melt.new.var_tab,276040
1,9,data.table::melt.new.var_tab,294320
1,9,data.table::melt.new.pattern,10015480
1,9,data.table::melt.new.sep,9874200
1,9,data.table::melt.new.var_tab,284720
1,9,data.table::melt.new.sep,9894560
1,9,data.table::melt.new.sep,20295640
1,9,data.table::melt.old.set,1860120
1,9,data.table::melt.old.set,1794320
1,9,data.table::melt.old.join,2125600
1,9,data.table::melt.old.join,2151720
1,9,data.table::melt.old.join,2053080
1,9,data.table::melt.new.pattern,9074920
1,9,data.table::melt.new.var_tab,251920
1,9,tidyr::pivot_longer,10046040
1,9,data.table::melt.old.set,2053760
1,9,tidyr::pivot_longer,9944840
1,9,data.table::melt.old.set,2040800
1,9,data.table::melt.new.var_tab,265960
1,9,tidyr::pivot_longer,10857480
1,9,data.table::melt.new.pattern,9579440
1,9,data.table::melt.new.var_tab,256240
1,9,tidyr::pivot_longer,10232880
1,9,data.table::melt.old.set,2008400
1,9,data.table::melt.old.join,2231680
1,9,tidyr::pivot_longer,9982320
1,9,data.table::melt.new.sep,9220480
1,9,data.table::melt.old.join,2144680
1,9,data.table::melt.new.pattern,9114320
1,9,data.table::melt.new.sep,9053600
1,9,data.table::melt.old.join,2137880
1,9,data.table::melt.new.var_tab,273760
1,9,data.table::melt.new.var_tab,234360
1,9,data.table::melt.new.pattern,9238040
1,9,data.table::melt.old.set,1931720
1,9,tidyr::pivot_longer,10353240
1,9,data.table::melt.new.sep,9865440
1,9,data.table::melt.new.pattern,9897440
1,9,data.table::melt.old.join,2486320
3,17,data.table::melt.new.var_tab,546200
3,17,data.table::melt.new.sep,10486480
3,17,data.table::melt.new.var_tab,271520
3,17,data.table::melt.new.var_tab,254040
3,17,data.table::melt.new.var_tab,254920
3,17,data.table::melt.old.set,2006160
3,17,data.table::melt.new.pattern,9594360
3,17,tidyr::pivot_longer,10572160
3,17,data.table::melt.old.join,2455040
3,17,data.table::melt.old.set,1946440
3,17,data.table::melt.new.pattern,9225600
3,17,data.table::melt.old.join,2288160
3,17,data.table::melt.old.join,2174720
3,17,data.table::melt.new.sep,9180760
3,17,data.table::melt.new.sep,9141000
3,17,data.table::melt.new.pattern,9123280
3,17,data.table::melt.old.join,2267320
3,17,data.table::melt.new.sep,9367680
3,17,data.table::melt.new.var_tab,271520
3,17,data.table::melt.old.join,2229680
3,17,data.table::melt.new.pattern,9682800
3,17,data.table::melt.new.sep,10322360
3,17,tidyr::pivot_longer,10847440
3,17,data.table::melt.old.set,2129880
3,17,data.table::melt.old.set,1955720
3,17,data.table::melt.new.var_tab,294320
3,17,data.table::melt.old.join,2473720
3,17,data.table::melt.new.pattern,9715600
3,17,data.table::melt.new.var_tab,284440
3,17,tidyr::pivot_longer,10950320
3,17,tidyr::pivot_longer,10618840
3,17,data.table::melt.old.set,2203960
3,17,data.table::melt.old.set,1958360
3,17,data.table::melt.old.set,1986560
3,17,data.table::melt.new.pattern,9695640
3,17,data.table::melt.old.join,10711520
3,17,tidyr::pivot_longer,10344640
3,17,data.table::melt.new.pattern,10915240
3,17,data.table::melt.old.set,2320960
3,17,data.table::melt.old.join,2331120
3,17,tidyr::pivot_longer,10598400
3,17,data.table::melt.new.pattern,9553320
3,17,data.table::melt.old.join,2254440
3,17,tidyr::pivot_longer,10355400
3,17,data.table::melt.new.sep,9322880
3,17,data.table::melt.old.set,1907200
3,17,data.table::melt.new.pattern,9234160
3,17,tidyr::pivot_longer,10266240
3,17,data.table::melt.new.sep,9449480
3,17,data.table::melt.new.var_tab,273480
3,17,data.table::melt.old.set,1954400
3,17,data.table::melt.old.join,2255760
3,17,data.table::melt.new.var_tab,305520
3,17,data.table::melt.new.sep,9355640
3,17,data.table::melt.new.sep,10733440
3,17,data.table::melt.new.sep,9608160
3,17,data.table::melt.new.pattern,9669560
3,17,tidyr::pivot_longer,10695360
3,17,data.table::melt.new.var_tab,347640
3,17,tidyr::pivot_longer,10573720
10,45,tidyr::pivot_longer,11505000
10,45,data.table::melt.new.pattern,9604640
10,45,data.table::melt.new.var_tab,338920
10,45,tidyr::pivot_longer,11096000
10,45,data.table::melt.new.sep,9507960
10,45,data.table::melt.new.pattern,9357680
10,45,data.table::melt.new.pattern,9496880
10,45,data.table::melt.new.var_tab,339640
10,45,tidyr::pivot_longer,11155160
10,45,data.table::melt.old.set,2411480
10,45,data.table::melt.old.join,3404880
10,45,data.table::melt.new.pattern,9507600
10,45,data.table::melt.new.sep,9772640
10,45,data.table::melt.new.pattern,9536960
10,45,data.table::melt.old.set,2139240
10,45,data.table::melt.new.var_tab,358320
10,45,data.table::melt.new.sep,9334040
10,45,data.table::melt.old.join,2497200
10,45,data.table::melt.new.sep,9456440
10,45,data.table::melt.old.set,2062840
10,45,data.table::melt.new.pattern,9393760
10,45,tidyr::pivot_longer,11076960
10,45,tidyr::pivot_longer,11144120
10,45,data.table::melt.old.join,3095520
10,45,data.table::melt.old.set,2286880
10,45,data.table::melt.old.set,2163040
10,45,data.table::melt.new.sep,19970160
10,45,data.table::melt.new.pattern,10297080
10,45,data.table::melt.new.var_tab,342600
10,45,data.table::melt.old.set,2072080
10,45,data.table::melt.old.join,2624800
10,45,data.table::melt.old.set,2142840
10,45,tidyr::pivot_longer,11068400
10,45,data.table::melt.old.join,2632280
10,45,data.table::melt.new.pattern,9475120
10,45,data.table::melt.old.join,2418480
10,45,data.table::melt.old.set,2070480
10,45,tidyr::pivot_longer,11048200
10,45,data.table::melt.old.set,2141720
10,45,tidyr::pivot_longer,11074360
10,45,data.table::melt.new.var_tab,422920
10,45,data.table::melt.new.pattern,9492480
10,45,data.table::melt.old.set,2186360
10,45,data.table::melt.old.join,2826720
10,45,data.table::melt.new.sep,10325160
10,45,tidyr::pivot_longer,11423280
10,45,data.table::melt.new.sep,10066360
10,45,data.table::melt.new.sep,9739000
10,45,data.table::melt.old.join,2694920
10,45,data.table::melt.new.var_tab,448160
10,45,data.table::melt.new.var_tab,398080
10,45,data.table::melt.new.sep,9834080
10,45,data.table::melt.old.join,2691840
10,45,data.table::melt.new.var_tab,446240
10,45,data.table::melt.old.join,2676480
10,45,data.table::melt.new.var_tab,446760
10,45,tidyr::pivot_longer,11763280
10,45,data.table::melt.new.var_tab,495040
10,45,data.table::melt.new.pattern,10179360
10,45,data.table::melt.new.sep,9817600
31,129,data.table::melt.old.set,2994240
31,129,data.table::melt.new.pattern,10457720
31,129,data.table::melt.old.set,2350400
31,129,data.table::melt.old.set,2342360
31,129,data.table::melt.old.join,3392880
31,129,data.table::melt.new.var_tab,636000
31,129,data.table::melt.new.sep,10018240
31,129,tidyr::pivot_longer,13386840
31,129,data.table::melt.old.set,2476680
31,129,data.table::melt.old.join,3173080
31,129,data.table::melt.new.var_tab,621400
31,129,tidyr::pivot_longer,13320520
31,129,data.table::melt.old.join,3305240
