N.rep,data.type,N.col,expr,time
1,data.table,88,nc::capture_melt_single,4196280
1,data.table,88,reshape2::melt-alone,3973720
1,data.table,88,tidyr::gather-alone,7303680
1,data.table,88,stats::reshape-alone,68257200
1,data.table,88,utils::stack-alone,3568280
1,data.table,88,tidyr::gather,34969760
1,data.table,88,cdata::unpivot_to_blocks-alone,28655920
1,data.table,88,cdata::unpivot_to_blocks-alone,26952840
1,data.table,88,tidyr::pivot_longer,11624480
1,data.table,88,stats::reshape,97550080
1,data.table,88,stats::reshape,76662200
1,data.table,88,reshape2::melt-alone,3953120
1,data.table,88,cdata::unpivot_to_blocks,34799600
1,data.table,88,tidyfast::dt_pivot_longer,22581240
1,data.table,88,data.table::melt,2649840
1,data.table,88,reshape2::melt-alone,4001520
1,data.table,88,cdata::unpivot_to_blocks,35813480
1,data.table,88,stats::reshape-alone,68422560
1,data.table,88,tidyr::gather,16805280
1,data.table,88,cdata::unpivot_to_blocks-alone,43450680
1,data.table,88,stats::reshape,78875480
1,data.table,88,utils::stack,12623920
1,data.table,88,utils::stack-alone,3203160
1,data.table,88,utils::stack-alone,3100800
1,data.table,88,reshape2::melt,12962960
1,data.table,88,cdata::unpivot_to_blocks,36048600
1,data.table,88,reshape2::melt,13491520
1,data.table,88,stats::reshape,80950880
1,data.table,88,utils::stack,13305640
1,data.table,88,utils::stack,12856760
1,data.table,88,reshape2::melt-alone,4068760
1,data.table,88,tidyr::pivot_longer,11583160
1,data.table,88,nc::capture_melt_single,4331680
1,data.table,88,nc::capture_melt_single,4067800
1,data.table,88,stats::reshape-alone,87018320
1,data.table,88,reshape2::melt,12976760
1,data.table,88,stats::reshape,76466280
1,data.table,88,tidyr::pivot_longer,11223560
1,data.table,88,stats::reshape,77188920
1,data.table,88,stats::reshape,111587720
1,data.table,88,tidyfast::dt_pivot_longer-alone,887240
1,data.table,88,cdata::unpivot_to_blocks-alone,26577240
1,data.table,88,utils::stack,13228680
1,data.table,88,utils::stack,12728040
1,data.table,88,tidyr::gather-alone,7274840
1,data.table,88,tidyr::gather,16774840
1,data.table,88,cdata::unpivot_to_blocks-alone,27487640
1,data.table,88,cdata::unpivot_to_blocks-alone,27874480
1,data.table,88,tidyr::gather-alone,7764000
1,data.table,88,utils::stack-alone,3894640
1,data.table,88,tidyr::pivot_longer,11901960
1,data.table,88,data.table::melt,2591520
1,data.table,88,stats::reshape-alone,91661600
1,data.table,88,utils::stack-alone,3359880
1,data.table,88,data.table::melt,2349600
1,data.table,88,reshape2::melt,12967360
1,data.table,88,tidyfast::dt_pivot_longer-alone,924880
1,data.table,88,utils::stack,12963560
1,data.table,88,reshape2::melt-alone,4114320
1,data.table,88,tidyr::pivot_longer,11383920
1,data.table,88,reshape2::melt,12844800
1,data.table,88,stats::reshape-alone,69556640
1,data.table,88,stats::reshape-alone,68011960
1,data.table,88,tidyr::gather-alone,7372040
1,data.table,88,nc::capture_melt_single,4163840
1,data.table,88,utils::stack,12934880
1,data.table,88,tidyfast::dt_pivot_longer-alone,970200
1,data.table,88,cdata::unpivot_to_blocks-alone,27221440
1,data.table,88,stats::reshape,96328640
1,data.table,88,tidyr::gather,16236280
1,data.table,88,tidyfast::dt_pivot_longer,22781240
1,data.table,88,tidyfast::dt_pivot_longer-alone,839200
1,data.table,88,nc::capture_melt_single,3987000
1,data.table,88,tidyr::gather,16088240
1,data.table,88,tidyr::gather,16827720
1,data.table,88,tidyr::gather,16298520
1,data.table,88,nc::capture_melt_single,4084760
1,data.table,88,tidyr::gather-alone,7545320
1,data.table,88,nc::capture_melt_single,4146840
1,data.table,88,reshape2::melt-alone,4312800
1,data.table,88,tidyr::gather,16560200
1,data.table,88,data.table::melt,2522320
1,data.table,88,tidyfast::dt_pivot_longer-alone,723320
1,data.table,88,stats::reshape-alone,69147120
1,data.table,88,stats::reshape-alone,87498720
1,data.table,88,utils::stack-alone,3481120
1,data.table,88,tidyr::pivot_longer,11312520
1,data.table,88,cdata::unpivot_to_blocks-alone,26503680
1,data.table,88,data.table::melt,2771560
1,data.table,88,stats::reshape,80037240
1,data.table,88,stats::reshape-alone,70921000
1,data.table,88,utils::stack-alone,3332800
1,data.table,88,tidyr::pivot_longer,11591440
1,data.table,88,data.table::melt,2611080
1,data.table,88,tidyr::gather-alone,7464320
1,data.table,88,reshape2::melt,31324720
1,data.table,88,reshape2::melt,13223440
1,data.table,88,tidyfast::dt_pivot_longer-alone,914760
1,data.table,88,cdata::unpivot_to_blocks,36232440
1,data.table,88,reshape2::melt,12931960
1,data.table,88,nc::capture_melt_single,4089640
1,data.table,88,reshape2::melt-alone,3947520
1,data.table,88,reshape2::melt,12956960
1,data.table,88,tidyr::gather,16662800
1,data.table,88,nc::capture_melt_single,4067160
1,data.table,88,tidyfast::dt_pivot_longer,22377360
1,data.table,88,reshape2::melt-alone,3998920
1,data.table,88,tidyfast::dt_pivot_longer,23289560
1,data.table,88,utils::stack-alone,3614280
1,data.table,88,cdata::unpivot_to_blocks,35777840
1,data.table,88,data.table::melt,2474040
1,data.table,88,tidyfast::dt_pivot_longer,22760240
1,data.table,88,stats::reshape-alone,69079480
1,data.table,88,tidyfast::dt_pivot_longer-alone,778320
1,data.table,88,data.table::melt,2433720
1,data.table,88,stats::reshape,96263800
1,data.table,88,reshape2::melt,12927240
1,data.table,88,cdata::unpivot_to_blocks,34719680
1,data.table,88,cdata::unpivot_to_blocks-alone,27339920
1,data.table,88,utils::stack,13072040
1,data.table,88,tidyfast::dt_pivot_longer-alone,834680
1,data.table,88,utils::stack,12714400
1,data.table,88,utils::stack,12665040
1,data.table,88,tidyfast::dt_pivot_longer,22795560
1,data.table,88,cdata::unpivot_to_blocks,36179280
1,data.table,88,utils::stack-alone,3470880
1,data.table,88,tidyfast::dt_pivot_longer,22648760
1,data.table,88,tidyfast::dt_pivot_longer-alone,838280
1,data.table,88,tidyfast::dt_pivot_longer,22458160
1,data.table,88,reshape2::melt-alone,4106320
1,data.table,88,tidyr::gather-alone,25152680
1,data.table,88,tidyr::gather,16885560
1,data.table,88,data.table::melt,2573080
1,data.table,88,reshape2::melt-alone,4006160
