day, month, year, PM_1000, w, s, f, z, g, dir, LWT
1,1,1871,7.7,17.1,26.5,31.5,19.5,33,212.8,15
2,1,1871,13.9,8.3,4,9.2,14.8,11.8,244.6,25
3,1,1871,13,8.9,9.4,13,8.1,13.6,223.5,15
4,1,1871,16.2,5.9,3.5,6.9,11.3,8.9,239.3,25
5,1,1871,10.4,31.5,-5.4,32,30.6,35.4,279.8,16
6,1,1871,7.1,34.2,11.7,36.2,4.2,36.2,251.1,16
7,1,1871,1,40.1,0.7,40.1,19.9,41.3,269,16
8,1,1871,5.9,11.7,-15.6,19.5,23.5,22.8,323.1,27
9,1,1871,3.4,14.7,-6.7,16.2,21.5,19.4,294.5,27
10,1,1871,6.5,13.3,1.4,13.4,40.6,24.3,264.2,20
11,1,1871,12.5,3.5,-8,8.8,-4.4,9,336.4,17
12,1,1871,19,3.5,-3.6,5,-15.2,9.1,315.3,0
13,1,1871,13.5,23.4,1.4,23.5,1.3,23.5,266.5,16
14,1,1871,2.9,22.3,15.9,27.4,3.9,27.5,234.5,15
15,1,1871,1.3,21,11.2,23.8,5.4,24,242.1,15
16,1,1871,-1.7,16.3,10.1,19.2,-1.2,19.2,238.3,15
17,1,1871,-18.3,13.8,16.2,21.3,74.3,42.8,220.5,20
18,1,1871,-10.5,6.5,5.3,8.4,36.4,20.1,230.5,20
19,1,1871,0.9,18.2,-6.8,19.4,2.2,19.4,290.4,16
20,1,1871,5.4,1.8,2.7,3.3,-10,6,213.8,0
21,1,1871,8.2,-6.7,6.5,9.3,16.9,12.6,134.2,23
22,1,1871,13.2,-15.3,2.2,15.5,42.3,26.2,98.3,20
23,1,1871,21.6,-18.8,-3.4,19.1,22.4,22.2,79.6,22
24,1,1871,26.2,-21.9,-2.2,22.1,-5,22.2,84.2,12
25,1,1871,21.8,-14.5,4.6,15.2,-10.9,16.2,107.7,12
26,1,1871,18.2,-5.8,5,7.7,-5.8,8.2,130.5,13
27,1,1871,19.9,-8.3,9.1,12.3,-13.5,14,137.5,3
28,1,1871,19.7,-13,13.2,18.6,-16.8,20.4,135.5,13
29,1,1871,19.7,-13.3,16,20.8,-11,21.5,140.4,13
30,1,1871,20.6,-14.7,20.9,25.6,-7.2,25.8,144.9,13
31,1,1871,19.4,-12.1,33.5,35.6,3.8,35.6,160.2,14
1,2,1871,17,-11.7,27.2,29.6,4.1,29.7,156.6,13
2,2,1871,13,-9.7,20,22.2,-1.5,22.2,154,13
3,2,1871,8.8,-12.7,29,31.7,28,34.6,156.4,13
4,2,1871,6.3,-12.9,28.9,31.6,33.1,35.7,155.9,23
5,2,1871,8.4,9,26.2,27.7,43.6,35.3,198.9,24
6,2,1871,15.3,11.4,12.7,17.1,23.5,20.7,222,25
7,2,1871,18.8,6.9,13.1,14.8,6.5,15.1,207.7,15
8,2,1871,11.5,12.8,9.6,16,13.9,17.4,233.3,15
9,2,1871,12.7,6.6,0.9,6.7,-5.9,7.3,262.5,16
10,2,1871,10.5,2.6,8.8,9.2,22.9,14.7,196.5,20
11,2,1871,15.7,-7.3,13.9,15.7,3.7,15.8,152.3,13
12,2,1871,8.1,0.1,30.9,30.9,61.1,43.5,180.3,24
13,2,1871,10.4,10.7,12.2,16.3,30.4,22.3,221.2,25
14,2,1871,14.8,3.4,17.5,17.9,9.3,18.5,191.1,14
15,2,1871,15,2.2,7.3,7.7,-3,7.8,196.7,14
16,2,1871,16.2,-2.2,9,9.3,-0.8,9.3,166.3,14
17,2,1871,17.3,3.9,8.3,9.2,18.1,12.9,205.2,25
18,2,1871,13.8,12.4,11.3,16.8,2.6,16.9,227.7,15
19,2,1871,10.4,13.5,15.2,20.3,24.2,23.6,221.7,25
20,2,1871,8.3,19.6,-8.1,21.2,24.7,24.5,292.4,26
21,2,1871,20.7,0.6,-18.2,18.2,4.7,18.4,358,18
22,2,1871,19.8,18.8,2.3,18.9,-11.7,19.8,263,16
23,2,1871,21.1,18.6,-6.6,19.8,-4.2,19.9,289.6,16
24,2,1871,18.8,22.2,-0.9,22.2,-7.8,22.6,272.3,16
25,2,1871,17.3,9.5,3.2,10,-22.9,15.2,251.2,0
26,2,1871,14.8,-6.5,13.9,15.4,14.4,17,155.1,13
27,2,1871,5.4,7,6.8,9.7,20.4,14.1,225.6,20
28,2,1871,15.8,-5,4.5,6.8,-13.9,9.7,131.7,0
1,3,1871,22.8,-9.9,23,25,-27.3,28.5,156.6,3
2,3,1871,21.2,3.4,15.7,16.1,-11.9,17.2,192.3,14
3,3,1871,19.8,0,13.5,13.5,0.7,13.5,180,14
4,3,1871,12.5,0.6,20.3,20.3,17.3,22.1,181.7,14
5,3,1871,7.4,8.5,22.6,24.1,18.9,25.9,200.5,14
6,3,1871,1.1,-3.6,37.3,37.4,54.7,46.4,174.6,24
7,3,1871,4.1,12.4,14.3,18.9,19.9,21.4,220.8,25
8,3,1871,8.1,31.1,5.9,31.6,31.5,35.3,259.3,16
9,3,1871,12,22.5,25.2,33.8,28.6,36.7,221.7,15
10,3,1871,11.6,19.1,5,19.7,-15.6,21.2,255.4,16
11,3,1871,9,17.5,12.8,21.7,27.2,25.6,233.8,25
12,3,1871,1.7,11.5,24.5,27.1,62.8,41.5,205.2,20
13,3,1871,1.9,21.9,7.9,23.3,35,29.1,250.1,26
14,3,1871,9.3,5.5,-0.9,5.6,-4.2,6,279.2,-1
15,3,1871,9.8,7.1,1.4,7.3,-10.8,9,258.7,6
16,3,1871,11.7,-15.2,-9.3,17.8,9.3,18.4,58.6,11
17,3,1871,16.8,13.4,10.4,17,-30.2,22.7,232.3,5
18,3,1871,18.7,7.4,5.3,9.1,-39.9,21.9,234.5,0
19,3,1871,17.3,7.9,-1.9,8.1,-19.5,12.7,283.9,0
20,3,1871,14,6.9,0.3,6.9,0.3,6.9,267.4,16
21,3,1871,13.7,10.1,6.3,11.9,21.2,15.9,237.9,25
22,3,1871,18.2,-6.9,-0.8,7,-6.7,7.8,83.3,12
23,3,1871,18,-15,7.7,16.8,-6.7,17.2,117.2,13
24,3,1871,13.6,-14.3,8,16.4,13.6,17.7,119.4,13
25,3,1871,13.4,-7,-2.6,7.5,10,9,69.4,22
26,3,1871,17.8,-13.1,-1.7,13.3,-11.8,14.5,82.5,12
27,3,1871,21,-14.6,-5.8,15.7,-31.5,22.3,68.3,2
28,3,1871,26.6,-11.8,-2.4,12,-47.1,26.4,78.6,0
29,3,1871,27.1,-5,-11.6,12.6,-35,21.6,23.1,0
30,3,1871,24.9,3.2,-8.9,9.5,-29.2,17.4,340,0
31,3,1871,18.9,6.9,-20.7,21.8,-11.3,22.6,341.5,18
1,4,1871,17.5,2.3,-15.6,15.7,-15.6,17.6,351.5,18
2,4,1871,14.7,5.1,-8.8,10.2,5.4,10.6,329.8,17
3,4,1871,16.1,-4.7,-18.8,19.4,11.6,20.3,14.1,18
4,4,1871,19.9,2.9,-14,14.3,1.1,14.3,348.1,18
5,4,1871,18.4,-4.1,-9.4,10.3,-7.9,11,23.7,11
6,4,1871,20.6,-12.7,2.8,13,-16.4,15.4,102.4,2
7,4,1871,18.8,-9.5,8.1,12.5,-20.8,16.3,130.5,3
8,4,1871,18.1,-8.2,6.5,10.4,-12.7,12.2,128.6,3
9,4,1871,16.4,-11,5.4,12.3,-5.7,12.6,116.2,13
10,4,1871,16.7,-13.4,6.5,14.9,-5.2,15.1,115.7,13
11,4,1871,16.5,-10.2,17.2,20,14,21.2,149.4,13
12,4,1871,13.6,5.5,7,8.9,37.7,20.8,218.3,20
13,4,1871,17,-4.7,-1.6,4.9,3.1,5.1,71.4,-1
14,4,1871,14.1,-14,12.3,18.6,21.6,21.5,131.5,23
15,4,1871,5.2,-0.6,-2.3,2.3,57.9,29.1,15.3,20
16,4,1871,4.1,-0.4,-7.3,7.3,53.7,27.9,2.9,20
17,4,1871,5.9,-12.5,-8,14.8,27.9,20.4,57.3,21
18,4,1871,8.8,-28.2,11.1,30.3,32.8,34.4,111.5,22
19,4,1871,5.2,-21.6,-3.9,22,87.4,48.9,79.8,20
20,4,1871,4,-3.6,-10.7,11.3,38.8,22.5,18.6,20
21,4,1871,8.3,-3.2,-8.2,8.8,23.1,14.5,21.3,20
22,4,1871,12.1,-4.7,6.9,8.4,39.8,21.6,145.9,20
23,4,1871,15.2,-11.5,-10.6,15.6,30,21.6,47.4,21
24,4,1871,17.1,-10.4,1.1,10.5,-2.9,10.6,95.8,12
25,4,1871,17.6,-13.9,10,17.1,3.3,17.2,125.7,13
26,4,1871,16.1,-5,11.4,12.4,18.7,15.6,156.1,23
27,4,1871,13.4,-1.8,3.6,4.1,37.7,19.3,153.6,20
28,4,1871,11.5,-0.1,9.4,9.4,31.8,18.5,179.4,20
29,4,1871,12,-4.2,-6.6,7.8,53.3,27.8,32.7,20
30,4,1871,16.8,1.6,-7.4,7.6,25.4,14.8,347.6,20
1,5,1871,20,0.6,-2.2,2.3,-5.6,3.6,343.7,0
2,5,1871,17.9,1,8.3,8.4,-1.5,8.4,186.8,14
3,5,1871,14.5,8.3,8.1,11.6,41.4,23.8,225.6,20
4,5,1871,17,3.7,-15.3,15.7,11.6,16.8,346.5,18
5,5,1871,17.4,2.4,8.6,9,-3.4,9.1,195.7,14
6,5,1871,21.2,-3,6.2,6.9,-25.6,14.5,154,0
7,5,1871,23.5,-8.6,5.5,10.2,-32.7,19.3,122.5,0
8,5,1871,22.1,-6.4,-5.2,8.3,-35.2,19.4,51,0
9,5,1871,21.3,-7.9,-3.2,8.5,-35.8,19.8,68,0
10,5,1871,21.4,-5.6,0.7,5.6,-35.7,18.7,97.4,0
11,5,1871,18.5,-2.9,-4.5,5.3,-24.8,13.5,33.5,0
12,5,1871,17.7,-7.6,-3.3,8.2,-21.5,13.5,66.7,0
13,5,1871,14.6,-6,-2,6.3,-30.1,16.3,71.5,0
14,5,1871,11.9,-5.9,0,5.9,-18.4,10.9,89.8,0
15,5,1871,13.6,-3.6,-3.2,4.9,-16,9.4,48.5,0
16,5,1871,12.9,2.9,-7.7,8.2,-18.2,12.2,339.6,0
17,5,1871,13.2,5.7,-9.5,11.1,-19.7,14.8,329.3,7
18,5,1871,15.4,1.6,-10.7,10.9,-10.6,12.1,351.5,18
19,5,1871,20,5.9,2.1,6.3,-20.6,12.1,250.1,0
20,5,1871,22,6.9,-5.8,9,-18.3,12.8,310,0
21,5,1871,21.8,1.4,4.4,4.6,-32.1,16.7,197.4,0
22,5,1871,18.7,-5.2,12.5,13.6,-21.4,17.3,157.6,4
23,5,1871,17.3,-11.3,14,18,-0.9,18,141,13
24,5,1871,17.1,-9.1,10.9,14.2,14.8,16,139.9,23
25,5,1871,15.8,-2.6,7.7,8.2,27.3,15.9,161.4,20
26,5,1871,17.7,4,-0.5,4.1,13.5,7.9,276.5,20
27,5,1871,22,0.1,-4.7,4.7,5.8,5.6,358.9,28
28,5,1871,26.4,-12.2,-8.5,14.9,-22.2,18.5,55,1
29,5,1871,24.6,-8,-6.4,10.2,-27.7,17.2,51.3,0
30,5,1871,21.3,-1.6,-7.7,7.9,-27.4,15.8,11.4,0
31,5,1871,19.6,-2.7,-2.1,3.4,-32.5,16.6,52.3,0
1,6,1871,19.5,-0.8,-8,8,-25.8,15.2,5.7,0
2,6,1871,22.7,-3.8,-13,13.6,-30,20.2,16.3,0
3,6,1871,22.7,-1.5,-11.1,11.2,-29,18.3,7.7,0
4,6,1871,22.4,-7.2,-4.7,8.6,-4.2,8.8,56.8,11
5,6,1871,24.4,-10.1,-9.2,13.6,-16.8,16,47.6,1
6,6,1871,21.6,-1.4,-11.2,11.2,-18.3,14.5,7.2,8
7,6,1871,18.8,-3.2,-12.1,12.5,-22,16.7,14.9,8
8,6,1871,16.4,-1.4,-7.1,7.2,-21.3,12.8,11,0
9,6,1871,16.8,-3.7,-1.1,3.9,-20.7,11.1,73,0
10,6,1871,15,-3.4,6.7,7.5,-18.8,12,153.1,0
11,6,1871,14.7,-8.6,11.2,14.1,-8.2,14.7,142.4,13
12,6,1871,14.1,-8.7,18.2,20.2,-18.4,22.2,154.5,13
13,6,1871,15.4,-15.8,17.8,23.8,17.5,25.4,138.3,13
14,6,1871,17.3,-8.3,12.6,15.1,23.8,19.2,146.8,23
15,6,1871,17.7,-13.9,3.3,14.3,18.5,17,103.2,22
16,6,1871,14.7,-11,-0.1,11,21.6,15.4,89.4,22
17,6,1871,9.3,-6.1,-7.4,9.6,26.7,16.4,39.5,20
18,6,1871,7.9,0.4,-10.3,10.3,39.3,22.2,357.5,20
19,6,1871,11,-1.4,-14.6,14.7,44.8,26.8,5.4,20
20,6,1871,11.3,-3.4,-16.8,17.1,21.8,20.3,11.5,28
21,6,1871,12.7,-0.9,-10.7,10.7,-2.5,10.8,4.7,18
22,6,1871,15.4,-5.8,-0.5,5.9,-2,5.9,85.1,-1
23,6,1871,18.9,-12.4,-7.6,14.6,-7.8,15.1,58.5,11
24,6,1871,21.2,-8.7,-9.5,12.9,-22.9,17.3,42.5,1
25,6,1871,21.5,-2.5,-8.1,8.5,-23.7,14.6,17.2,0
26,6,1871,20.6,4.3,7.1,8.4,-32.6,18.3,211.2,0
27,6,1871,13.8,7.9,13.9,16,-19.6,18.7,209.7,5
28,6,1871,8.8,12.8,4,13.4,11.2,14.5,252.5,16
29,6,1871,7,5.8,14.8,15.9,-1.5,16,201.4,14
30,6,1871,7.7,6.9,13.2,14.9,9.3,15.6,207.6,15
1,7,1871,9.4,5.4,16,16.9,2,16.9,198.7,14
2,7,1871,7.3,5.8,14.2,15.3,-3.5,15.4,202.4,14
3,7,1871,6.1,5.9,4.6,7.5,9.9,9,232.4,25
4,7,1871,8.9,6.7,5.1,8.4,19,12.7,232.7,20
5,7,1871,11.7,9.2,2.3,9.5,4.4,9.8,256.1,16
6,7,1871,13.9,8.3,13.7,16,-6.4,16.3,211.2,15
7,7,1871,12.1,4.7,18.9,19.5,5,19.7,194.1,14
8,7,1871,9.7,5,13.7,14.6,19.3,17.5,200.1,24
9,7,1871,10.9,5.4,13.2,14.3,10.2,15.2,202.2,14
10,7,1871,12.7,-3.7,7.4,8.3,11.4,10.1,153.5,23
11,7,1871,13.3,-3.9,-8.2,9.1,9.5,10.2,25.4,21
12,7,1871,11.5,5.6,0.1,5.6,3.4,5.8,268.5,-1
13,7,1871,9.1,8.4,10.1,13.2,15.6,15.3,219.7,25
14,7,1871,10.7,10.1,8.7,13.3,9.6,14.2,229.2,15
15,7,1871,12,11,8.9,14.1,5.7,14.4,231,15
16,7,1871,15.4,10.2,0.1,10.2,-13.4,12.2,269.5,6
17,7,1871,14.1,12.9,4.1,13.5,-6.5,13.9,252.4,16
18,7,1871,12.4,10.3,0,10.3,-24.9,16.2,270.1,0
19,7,1871,9,2.6,6.2,6.7,9.5,8.2,202.8,25
20,7,1871,11.4,6.6,-9.7,11.8,-17.1,14.6,325.7,7
21,7,1871,9.8,7.9,11.4,13.9,2,13.9,214.6,15
22,7,1871,5.8,8.5,4.3,9.5,30.9,18.2,243.3,20
23,7,1871,8,9.5,-5.8,11.1,25.7,17,301.4,20
24,7,1871,4.9,10.6,-1.3,10.7,15.4,13.2,276.9,26
25,7,1871,0.5,9.8,-8.7,13.1,32.7,20.9,311.6,20
26,7,1871,-2.4,9.9,-2.2,10.1,22.4,15.1,282.6,20
27,7,1871,4.3,8.1,-2.6,8.6,-7.4,9.3,288,16
28,7,1871,11.4,1.4,2.3,2.7,17.7,9.2,212.5,20
29,7,1871,12.5,4.2,4.2,6,15.2,9.7,225,20
30,7,1871,8.9,9.5,-0.4,9.5,18.1,13.2,272.2,26
31,7,1871,14.5,7.5,-3.6,8.3,-10.1,9.8,295.5,7
1,8,1871,15.5,0.9,6.6,6.7,-0.4,6.7,187.9,14
2,8,1871,13.3,2.5,2,3.3,2.7,3.5,231.2,-1
3,8,1871,8.5,-0.2,4.1,4.1,20.4,11,177.5,20
