date,Temp_Aire
2018-01-03T00:00:00Z,NA
2018-01-03T01:00:00Z,NA
2018-01-03T02:00:00Z,NA
2018-01-03T03:00:00Z,NA
2018-01-03T04:00:00Z,NA
2018-01-03T05:00:00Z,NA
2018-01-03T06:00:00Z,NA
2018-01-03T07:00:00Z,NA
2018-01-03T08:00:00Z,NA
2018-01-03T09:00:00Z,NA
2018-01-03T10:00:00Z,NA
2018-01-03T11:00:00Z,NA
2018-01-03T12:00:00Z,NA
2018-01-03T13:00:00Z,NA
2018-01-03T14:00:00Z,NA
2018-01-03T15:00:00Z,NA
2018-01-03T16:00:00Z,13.82
2018-01-03T17:00:00Z,12.4
2018-01-03T18:00:00Z,11.53
2018-01-03T19:00:00Z,10.83
2018-01-03T20:00:00Z,10.12
2018-01-03T21:00:00Z,9.38
2018-01-03T22:00:00Z,9.39
2018-01-03T23:00:00Z,8.97
2018-01-04T00:00:00Z,8.45
2018-01-04T01:00:00Z,8.64
2018-01-04T02:00:00Z,8.59
2018-01-04T03:00:00Z,8.83
2018-01-04T04:00:00Z,8.21
2018-01-04T05:00:00Z,8.07
2018-01-04T06:00:00Z,7.88
2018-01-04T07:00:00Z,7.69
2018-01-04T08:00:00Z,8.97
2018-01-04T09:00:00Z,10.22
2018-01-04T10:00:00Z,11.73
2018-01-04T11:00:00Z,12.94
2018-01-04T12:00:00Z,14.06
2018-01-04T13:00:00Z,13.96
2018-01-04T14:00:00Z,13.49
2018-01-04T15:00:00Z,14.15
2018-01-04T16:00:00Z,12.69
2018-01-04T17:00:00Z,12.83
2018-01-04T18:00:00Z,12.45
2018-01-04T19:00:00Z,11.24
2018-01-04T20:00:00Z,10.03
2018-01-04T21:00:00Z,9.37
2018-01-04T22:00:00Z,8.64
2018-01-04T23:00:00Z,8.35
2018-01-05T00:00:00Z,8.35
2018-01-05T01:00:00Z,8.35
2018-01-05T02:00:00Z,7.6
2018-01-05T03:00:00Z,7.41
2018-01-05T04:00:00Z,8.02
2018-01-05T05:00:00Z,7.88
2018-01-05T06:00:00Z,7.79
2018-01-05T07:00:00Z,7.79
2018-01-05T08:00:00Z,8.73
2018-01-05T09:00:00Z,9.28
2018-01-05T10:00:00Z,10.07
2018-01-05T11:00:00Z,10.78
2018-01-05T12:00:00Z,11.82
2018-01-05T13:00:00Z,12.75
2018-01-05T14:00:00Z,13.87
2018-01-05T15:00:00Z,12.55
2018-01-05T16:00:00Z,12.45
2018-01-05T17:00:00Z,13.87
2018-01-05T18:00:00Z,11.13
2018-01-05T19:00:00Z,10.31
2018-01-05T20:00:00Z,9.98
2018-01-05T21:00:00Z,9.29
2018-01-05T22:00:00Z,9.02
2018-01-05T23:00:00Z,9.72
2018-01-06T00:00:00Z,9.3
2018-01-06T01:00:00Z,6.18
2018-01-06T02:00:00Z,6.56
2018-01-06T03:00:00Z,4.54
2018-01-06T04:00:00Z,4.68
2018-01-06T05:00:00Z,2.61
2018-01-06T06:00:00Z,1.4
2018-01-06T07:00:00Z,2.82
2018-01-06T08:00:00Z,6.58
2018-01-06T09:00:00Z,9.2
2018-01-06T10:00:00Z,12.29
2018-01-06T11:00:00Z,15.48
2018-01-06T12:00:00Z,15.95
2018-01-06T13:00:00Z,17.36
2018-01-06T14:00:00Z,18.21
2018-01-06T15:00:00Z,17.68
2018-01-06T16:00:00Z,16.79
2018-01-06T17:00:00Z,17.17
2018-01-06T18:00:00Z,16.28
2018-01-06T19:00:00Z,15.29
2018-01-06T20:00:00Z,13.59
2018-01-06T21:00:00Z,12.96
2018-01-06T22:00:00Z,12.48
2018-01-06T23:00:00Z,10.31
2018-01-07T00:00:00Z,9.2
2018-01-07T01:00:00Z,8.16
2018-01-07T02:00:00Z,6.37
2018-01-07T03:00:00Z,5.44
2018-01-07T04:00:00Z,5.06
2018-01-07T05:00:00Z,4.07
2018-01-07T06:00:00Z,3.7
