date,Vel_Viento
2018-01-03T00:00:00Z,NA
2018-01-03T01:00:00Z,NA
2018-01-03T02:00:00Z,NA
2018-01-03T03:00:00Z,NA
2018-01-03T04:00:00Z,NA
2018-01-03T05:00:00Z,NA
2018-01-03T06:00:00Z,NA
2018-01-03T07:00:00Z,NA
2018-01-03T08:00:00Z,NA
2018-01-03T09:00:00Z,NA
2018-01-03T10:00:00Z,NA
2018-01-03T11:00:00Z,NA
2018-01-03T12:00:00Z,NA
2018-01-03T13:00:00Z,NA
2018-01-03T14:00:00Z,NA
2018-01-03T15:00:00Z,NA
2018-01-03T16:00:00Z,0
2018-01-03T17:00:00Z,0
2018-01-03T18:00:00Z,22.83
2018-01-03T19:00:00Z,24.58
2018-01-03T20:00:00Z,21.73
2018-01-03T21:00:00Z,21.7
2018-01-03T22:00:00Z,21.13
2018-01-03T23:00:00Z,22.79
2018-01-04T00:00:00Z,23.46
2018-01-04T01:00:00Z,23.33
2018-01-04T02:00:00Z,23.46
2018-01-04T03:00:00Z,26.11
2018-01-04T04:00:00Z,28.21
2018-01-04T05:00:00Z,26.6
2018-01-04T06:00:00Z,27.87
2018-01-04T07:00:00Z,27.44
2018-01-04T08:00:00Z,26.36
2018-01-04T09:00:00Z,30.77
2018-01-04T10:00:00Z,31.33
2018-01-04T11:00:00Z,29.88
2018-01-04T12:00:00Z,28.55
2018-01-04T13:00:00Z,26.91
2018-01-04T14:00:00Z,29.98
2018-01-04T15:00:00Z,32.62
2018-01-04T16:00:00Z,30.43
2018-01-04T17:00:00Z,30.62
2018-01-04T18:00:00Z,29.6
2018-01-04T19:00:00Z,27.7
2018-01-04T20:00:00Z,26.71
2018-01-04T21:00:00Z,22.67
2018-01-04T22:00:00Z,24.49
2018-01-04T23:00:00Z,23.49
2018-01-05T00:00:00Z,26.88
2018-01-05T01:00:00Z,26.35
2018-01-05T02:00:00Z,28.72
2018-01-05T03:00:00Z,30.81
2018-01-05T04:00:00Z,31.89
2018-01-05T05:00:00Z,31.39
2018-01-05T06:00:00Z,29.08
2018-01-05T07:00:00Z,30.36
2018-01-05T08:00:00Z,32.76
2018-01-05T09:00:00Z,34.79
2018-01-05T10:00:00Z,29.99
2018-01-05T11:00:00Z,30.86
2018-01-05T12:00:00Z,27.86
2018-01-05T13:00:00Z,28.25
2018-01-05T14:00:00Z,29.08
2018-01-05T15:00:00Z,33.62
2018-01-05T16:00:00Z,33.77
2018-01-05T17:00:00Z,26.72
2018-01-05T18:00:00Z,23.84
2018-01-05T19:00:00Z,26.29
2018-01-05T20:00:00Z,27.08
2018-01-05T21:00:00Z,27.8
2018-01-05T22:00:00Z,23.91
2018-01-05T23:00:00Z,21.91
2018-01-06T00:00:00Z,17.01
2018-01-06T01:00:00Z,16.09
2018-01-06T02:00:00Z,16.49
2018-01-06T03:00:00Z,17.05
2018-01-06T04:00:00Z,12.52
2018-01-06T05:00:00Z,3.73
2018-01-06T06:00:00Z,7.89
2018-01-06T07:00:00Z,10.65
2018-01-06T08:00:00Z,15.52
2018-01-06T09:00:00Z,8.94
2018-01-06T10:00:00Z,5.38
2018-01-06T11:00:00Z,15.97
2018-01-06T12:00:00Z,25.19
2018-01-06T13:00:00Z,23.21
2018-01-06T14:00:00Z,21.86
2018-01-06T15:00:00Z,27.34
2018-01-06T16:00:00Z,34.54
2018-01-06T17:00:00Z,32.73
2018-01-06T18:00:00Z,28.66
2018-01-06T19:00:00Z,27.55
2018-01-06T20:00:00Z,24.84
2018-01-06T21:00:00Z,21.48
2018-01-06T22:00:00Z,18.73
2018-01-06T23:00:00Z,13.5
2018-01-07T00:00:00Z,9.25
2018-01-07T01:00:00Z,6.9
2018-01-07T02:00:00Z,3.26
2018-01-07T03:00:00Z,5.32
2018-01-07T04:00:00Z,7.12
2018-01-07T05:00:00Z,8.88
2018-01-07T06:00:00Z,8.88
