sdscid,tenure,female,year,yearsq,select,articles,prestige,presthi,male,m_year,m_yearsq,m_select,m_articles,m_prestige,m_presthi,f_year,f_yearsq,f_select,f_articles,f_prestige,f_presthi,pdasample
2001,0,0,1,1,3,4,1.89,0,1,1,1,3,4,1.89,0,0,0,0,0,0,0,1
2001,0,0,2,4,3,8,1.89,0,1,2,4,3,8,1.89,0,0,0,0,0,0,0,1
2001,1,0,3,9,3,9,1.89,0,1,3,9,3,9,1.89,0,0,0,0,0,0,0,1
2002,0,0,1,1,7,5,1.89,0,1,1,1,7,5,1.89,0,0,0,0,0,0,0,1
2002,0,0,2,4,7,6,1.89,0,1,2,4,7,6,1.89,0,0,0,0,0,0,0,1
2002,0,0,3,9,7,7,1.89,0,1,3,9,7,7,1.89,0,0,0,0,0,0,0,1
2002,0,0,4,16,7,9,1.89,0,1,4,16,7,9,1.89,0,0,0,0,0,0,0,1
2002,1,0,5,25,7,9,2.5599999,0,1,5,25,7,9,2.5599999,0,0,0,0,0,0,0,1
2004,0,0,1,1,7,5,3.52,0,1,1,1,7,5,3.52,0,0,0,0,0,0,0,1
2004,0,0,2,4,7,5,3.52,0,1,2,4,7,5,3.52,0,0,0,0,0,0,0,1
2004,0,0,3,9,7,6,3.52,0,1,3,9,7,6,3.52,0,0,0,0,0,0,0,1
2004,0,0,4,16,7,9,3.8399999,0,1,4,16,7,9,3.8399999,0,0,0,0,0,0,0,1
2004,0,0,5,25,7,10,3.8399999,0,1,5,25,7,10,3.8399999,0,0,0,0,0,0,0,1
2004,0,0,6,36,7,11,3.8399999,0,1,6,36,7,11,3.8399999,0,0,0,0,0,0,0,1
2004,0,0,7,49,7,13,3.8399999,0,1,7,49,7,13,3.8399999,0,0,0,0,0,0,0,1
2004,1,0,8,64,7,19,3.8399999,0,1,8,64,7,19,3.8399999,0,0,0,0,0,0,0,1
2005,0,0,1,1,7,3,4.6399999,1,1,1,1,7,3,4.6399999,1,0,0,0,0,0,0,1
2005,0,0,2,4,7,3,4.6399999,1,1,2,4,7,3,4.6399999,1,0,0,0,0,0,0,1
2005,0,0,3,9,7,4,4.6399999,1,1,3,9,7,4,4.6399999,1,0,0,0,0,0,0,1
2005,1,0,4,16,7,4,4.6399999,1,1,4,16,7,4,4.6399999,1,0,0,0,0,0,0,1
2006,0,0,1,1,4.9499998,1,1.9400001,0,1,1,1,4.9499998,1,1.9400001,0,0,0,0,0,0,0,1
2006,0,0,2,4,4.9499998,1,1.9400001,0,1,2,4,4.9499998,1,1.9400001,0,0,0,0,0,0,0,1
2006,0,0,3,9,4.9499998,1,1.9400001,0,1,3,9,4.9499998,1,1.9400001,0,0,0,0,0,0,0,1
2006,0,0,4,16,4.9499998,2,1.9400001,0,1,4,16,4.9499998,2,1.9400001,0,0,0,0,0,0,0,1
