HydroID,LengthKm
30149,10.947
30402,1.307
30442,14.654
30447,9.791
30646,5.528
30687,5.811
30695,0.341
30745,9.277
30751,2.514
30760,9.981
30943,7.908
30988,0.283
31006,2.031
31023,1.824
31058,4.204
31066,6.411
31090,1.507
31110,2.231
31127,1.566
31128,7.133
31135,3.821
31136,0.1
31140,4.704
31151,1.69
31152,5.543
31165,6.218
31179,5.37
31185,4.204
31218,4.287
31228,14.32
31242,7.053
31264,10.52
31265,3.78
31298,8.333
31361,2.431
31370,3.763
31402,0.741
31403,0.866
31411,0.2
31422,0.141
31423,0.283
31424,0.907
31425,0.724
31432,7.794
31445,27.722
31446,17.958
31456,6.253
31457,2.397
31462,1.124
31463,2.124
31468,1.766
31469,0.1
31479,0.524
31489,2.373
31505,3.78
31506,0.624
31507,1.566
31515,0.241
31516,0.383
31539,0.966
31554,0.141
31555,2.597
31561,4.928
31562,0.341
31563,1.949
31580,4.27
31581,2.821
31602,6.825
31612,1.873
31619,0.624
31620,4.428
31627,15.534
31628,0.483
31649,9.081
31653,0.383
31654,7.977
31655,5.777
31664,0.141
31665,0.283
31695,12.737
31702,37.549
31738,7.877
31755,3.231
31775,0.624
31784,1.641
31794,2.456
31795,2.821
31796,13.41
31804,11.14
31808,0.141
31815,0.907
31816,5.328
31817,1.449
31823,0.141
31842,7.494
31847,1.466
31848,1.041
31877,4.194
31889,0.241
31901,2.331
31902,1.149
31903,7.584
31910,1.449
31924,0.283
31937,0.624
31938,2.314
31955,3.621
31968,3.98
31980,0.583
31992,14.895
32010,0.241
32011,3.221
32017,0.283
32021,0.341
32026,0.241
32029,0.866
32030,0.441
32031,1.166
32041,1.69
32042,0.383
32043,0.2
32048,0.4
32049,0.483
32050,0.283
32056,1.873
32057,0.1
32058,1.124
32062,1.407
32063,1.431
32064,0.383
32065,0.1
32070,0.383
32074,0.283
32075,1.549
32076,5.394
32081,0.1
32082,1.107
32086,1.831
32090,4.646
32091,3.921
32099,0.641
32106,0.383
32112,0.783
32120,0.141
32121,2.68
32130,1.407
32131,0.1
32132,1.124
32142,1.224
32143,2.763
32144,2.314
32148,0.1
32158,2.314
32159,4.428
32177,0.283
32178,0.1
32179,3.549
32187,0.907
32188,1.407
32194,0.283
32195,0.441
32196,10.74
32197,7.474
32219,0.383
32220,9.391
32222,6.453
32224,5.753
32225,1.414
32226,0.3
32227,4.728
32228,5.346
32229,2.231
32244,7.957
32251,2.656
32258,3.097
32259,8.184
32268,0.707
32269,2.156
32292,2.963
32310,3.063
32318,5.677
32329,1.007
32335,4.704
32353,0.441
32354,5.736
32361,4.087
32363,19.801
32364,4.328
32365,1.307
32373,0.141
32379,5.184
32386,6.277
32399,1.673
32407,23.532
32410,2.373
32444,4.187
32484,16.548
32485,4.363
32489,3.104
32500,2.031
32511,1.066
32512,4.504
32520,7.95
32526,0.866
32535,12.264
32544,6.604
32545,3.021
32549,1.649
32561,6.594
32574,0.1
32575,6.111
32576,1.59
32581,7.801
32625,4.753
32634,5.487
32654,17.551
32660,2.766
32661,0.949
32682,14.085
32700,2.449
32717,0.766
32737,4.987
32741,3.356
32754,3.894
32755,0.924
32779,7.225
32785,9.298
32794,0.724
32795,1.366
32804,1.39
32815,4.111
32823,3.004
32826,0.1
32827,0.283
32835,4.78
32836,7.625
32837,1.631
32838,9.233
32841,0.849
32842,1.307
32843,2.973
32847,1.307
32848,1.066
32851,1.714
32852,5.57
32863,4.736
32878,0.541
32882,9.108
32883,1.707
32884,7.725
32889,4.204
32890,6.918
32891,1.39
32894,4.821
32895,0.341
32898,0.283
32899,2.538
32901,6.418
32911,0.141
32916,8.474
32917,12.712
32927,3.738
32933,12.223
32934,7.608
32937,0.141
32940,1.366
32941,1.807
32952,0.783
32968,5.736
32975,2.614
32979,5.818
32980,4.528
33000,14.512
33001,3.663
33002,2.297
33012,2.59
33013,0.783
33014,2.173
33015,7.833
33027,10.05
33028,2.073
33029,5.577
33035,0.141
33036,4.328
33039,4.046
33040,0.141
33042,3.038
33044,6.343
33045,1.649
33055,1.414
33062,0.2
33063,5.501
33070,3.721
33071,4.228
33079,4.163
33084,12.564
33085,13.651
33111,16.204
33117,3.846
33118,0.241
33119,3.138
33141,3.721
33147,3.38
33159,0.483
33160,3.338
33172,2.704
33180,1.207
33187,1.407
33188,10.833
33193,5.487
33198,0.1
33207,2.938
33209,10.433
33211,7.27
33214,3.663
33215,0.541
33218,2.031
33222,0.5
33225,1.507
33226,5.28
33230,6.233
33234,1.949
33237,10.14
33238,1.066
33241,1.183
33242,0.724
33243,3.321
33248,2.29
33250,0.141
33251,7.643
33252,1.849
33259,2.131
33260,6.011
33261,3.98
33267,5.801
33269,10.157
33270,0.3
33271,0.141
33272,1.449
33273,2.98
33274,5.294
33275,8.874
33280,0.583
33288,0.866
33289,2.007
33290,0.1
33295,1.831
33301,2.549
33303,5.918
33304,0.1
33305,7.908
33306,0.966
33310,5.311
33311,1.249
33312,0.1
33313,12.734
33316,0.241
33317,0.441
33321,4.104
33322,4.853
33328,6.536
33329,0.424
33335,2.09
33336,8.35
33343,2.114
33344,0.541
33349,5.577
33355,4.104
33356,4.987
33362,2.697
33366,9.008
33368,1.149
33376,6.16
33380,5.111
33400,0.241
33401,0.383
33406,3.531
33407,2.073
33412,0.424
33413,3.414
33414,0.766
33421,0.1
33424,1.949
33425,2.149
33430,0.341
33431,3.28
33437,4.228
33449,2.266
33450,2.973
33451,2.156
33452,5.17
33458,1.931
33459,1.507
33460,1.931
33461,2.797
33467,1.59
33470,0.624
33473,13.044
33476,6.067
33477,0.1
33478,0.2
33480,1.631
33481,0.824
33485,0.241
33486,0.2
33489,0.1
33492,1.283
33494,2.156
33498,5.353
33499,13.927
33500,2.373
33501,2.373
33510,0.2
33512,1.066
33513,5.601
33516,2.173
33524,3.121
33525,0.424
33527,0.241
33528,7.543
33536,6.218
33537,2.173
33539,2.214
33543,6.277
33544,0.583
33545,3.48
33550,3.704
33551,8.174
33559,1.69
33560,1.924
33561,2.473
33566,4.67
33567,12.298
33569,2.29
33571,5.17
33572,0.807
33573,6.418
33578,10.301
33584,0.383
33585,5.238
33586,3.846
33587,4.063
33596,7.815
33597,3.58
33608,1.583
33609,0.566
33614,5.728
33620,1.824
33621,1.007
33623,0.1
33630,0.807
33631,0.141
33632,0.883
33633,4.528
33640,6.153
33643,6.67
33644,4.963
33645,0.3
33646,7.143
33657,6.787
33660,5.47
33663,9.074
33669,2.673
33670,1.366
33682,3.338
33683,1.124
33687,0.441
33688,0.624
33693,6.021
33694,0.141
33695,9.608
33701,0.424
33709,6.653
33710,2.821
33712,0.1
33713,0.441
33714,8.043
33718,3.656
33721,7.684
33725,2.814
33729,6.47
33738,0.783
33739,7.643
33746,0.1
33747,7.708
33754,5.07
33755,1.107
33756,5.17
33757,0.2
33762,0.424
33763,1.29
33764,5.328
33770,6.294
