HydroID,Next_HydroID
30149,30442
30402,30442
30943,31152
30745,31445
31151,31185
30442,30988
31152,31424
30751,30745
31370,31425
30447,30687
30760,31006
30988,31006
31165,31218
31580,32196
31581,31796
30646,30745
31794,31795
31179,31463
31402,31411
31006,31128
31795,31902
31403,31462
31185,31264
31602,32196
31023,31135
31796,32091
32010,31877
31411,31265
30687,30988
31218,31468
31804,31795
31058,31242
31612,31655
31808,31816
32011,32121
31619,31620
31422,31265
32219,32220
30695,30687
31066,31445
31228,31151
31815,31848
32017,32011
31620,31815
31423,31411
32220,32545
31090,31128
32444,32581
31242,31612
31816,32075
31264,31755
32021,31877
31627,32258
31424,31462
32222,32070
31817,31903
31110,31218
31265,31264
32026,32031
32484,32634
31628,31796
31425,31424
31432,31489
31823,31815
32224,32259
31127,31151
32029,32048
31298,31185
32485,32444
31649,31816
31445,32228
31446,32228
31842,31794
31128,31479
32225,32224
32030,32029
31135,31242
31361,31298
32489,32485
31456,31612
31653,31695
31847,31842
32226,32227
32654,32700
32031,32075
31457,31580
31136,31135
32500,32575
31654,31555
31848,31924
32227,32373
32660,32661
32511,32575
32041,32091
31462,31539
31140,31152
31655,31539
32512,32549
32042,32050
32228,32229
31877,31794
32863,33062
31664,31695
32661,32779
32520,32755
32229,32310
32043,32050
32526,32576
31463,31581
32535,32884
32682,33271
31665,31655
32878,32891
32544,32841
32882,33055
32244,32251
31468,31580
32251,32364
31889,31903
31469,31468
32048,32074
32883,32933
32049,32029
32700,32661
31901,31842
31479,31463
32545,32779
32884,33218
32717,32755
32258,32654
32259,32545
31489,31298
31695,31755
32549,32625
31702,-1
32737,32863
32050,32064
32561,32835
31738,31902
32889,32882
31902,32244
32268,32258
31505,31425
32269,32354
32741,32700
32574,32581
32754,32634
32890,32952
32056,31654
31903,32229
32057,32049
31755,32244
31506,31479
32292,32310
32575,32576
31775,31808
32755,32785
32891,32937
32894,33027
32310,32379
31784,31808
31910,31924
32779,32827
32576,32625
31507,31581
32058,32106
32895,32911
32318,32292
33079,33272
31924,31938
32329,32373
32785,33079
32581,32795
33084,33510
32335,32361
32062,32074
31937,31938
31515,31432
32794,32795
32898,32911
33085,33492
32899,32952
32063,32049
32353,32354
31516,31432
32625,32785
31938,32048
32354,32511
32795,32842
32634,32544
32064,32076
33111,33070
32901,33042
31539,31563
32911,33027
31955,32031
32361,32485
32804,32836
32065,32064
33288,33328
32363,32364
31968,31848
33117,33039
33289,33305
31554,31489
33118,33119
32916,33062
32070,31654
32364,32544
32074,32082
31980,32011
33290,33272
31555,31554
32815,32937
32365,32410
33119,33250
33295,33259
32917,33362
31992,31555
32075,32143
32823,32882
32373,32379
31561,31554
32927,33111
32379,32549
32386,32654
33301,33355
32826,32827
33500,33633
32933,33528
33141,33045
31562,31563
32934,33045
33501,33274
32399,32410
33303,33473
32827,32835
32076,32292
33147,33313
