"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"HK_EU15";"HK_EU28";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd"
"201512";"03010104";"03";"01";"01";"04";"2";43,00;18,00;37,00;6,00;0,00;0,00;3,00;0,00;3,00;0,00
"201512";"03020203";"03";"02";"02";"03";"2";97,00;18,00;44,00;16,00;0,00;10,00;9,00;0,00;25,00;9,00
"201512";"03020209";"03";"02";"02";"09";"2";1849,00;371,00;818,00;215,00;29,00;202,00;73,00;82,00;589,00;56,00
"201512";"03020210";"03";"02";"02";"10";"2";1039,00;127,00;396,00;140,00;46,00;189,00;84,00;100,00;187,00;37,00
"201512";"03020307";"03";"02";"03";"07";"2";1799,00;140,00;613,00;312,00;48,00;628,00;129,00;90,00;253,00;38,00
"201512";"03030405";"03";"03";"04";"05";"2";941,00;92,00;376,00;188,00;50,00;334,00;19,00;37,00;113,00;12,00
"201512";"03030406";"03";"03";"04";"06";"2";488,00;88,00;192,00;68,00;18,00;142,00;3,00;22,00;102,00;9,00
"201512";"03030711";"03";"03";"07";"11";"2";321,00;33,00;115,00;67,00;10,00;63,00;15,00;28,00;65,00;25,00
"201512";"03030715";"03";"03";"07";"15";"2";592,00;51,00;183,00;51,00;12,00;66,00;49,00;102,00;154,00;26,00
"201512";"03030716";"03";"03";"07";"16";"2";27,00;0,00;12,00;6,00;0,00;6,00;0,00;0,00;9,00;0,00
"201512";"03040508";"03";"04";"05";"08";"2";855,00;88,00;268,00;119,00;24,00;191,00;170,00;33,00;118,00;51,00
"201512";"03040512";"03";"04";"05";"12";"2";1118,00;194,00;445,00;137,00;49,00;133,00;167,00;49,00;199,00;76,00
"201512";"03040513";"03";"04";"05";"13";"2";409,00;126,00;217,00;60,00;15,00;43,00;24,00;3,00;92,00;15,00
"201512";"03040614";"03";"04";"06";"14";"2";3964,00;960,00;1861,00;509,00;111,00;537,00;127,00;198,00;1005,00;125,00
"201512";"03040818";"03";"04";"08";"18";"2";4333,00;1021,00;1931,00;460,00;243,00;533,00;94,00;364,00;1101,00;67,00
"201512";"03050919";"03";"05";"09";"19";"2";968,00;41,00;128,00;56,00;313,00;100,00;12,00;194,00;212,00;9,00
"201512";"03050920";"03";"05";"09";"20";"2";873,00;223,00;458,00;89,00;18,00;97,00;25,00;55,00;205,00;15,00
"201512";"03050923";"03";"05";"09";"23";"2";1402,00;380,00;736,00;191,00;36,00;145,00;55,00;72,00;333,00;25,00
"201512";"03050924";"03";"05";"09";"24";"2";1061,00;234,00;543,00;119,00;77,00;91,00;43,00;67,00;231,00;9,00
"201512";"03050925";"03";"05";"09";"25";"2";1243,00;277,00;536,00;110,00;36,00;191,00;25,00;74,00;356,00;25,00
"201512";"03051017";"03";"05";"10";"17";"2";714,00;122,00;259,00;54,00;19,00;132,00;15,00;163,00;123,00;3,00
"201512";"03051021";"03";"05";"10";"21";"2";596,00;64,00;196,00;70,00;64,00;134,00;15,00;39,00;139,00;9,00
"201512";"03051022";"03";"05";"10";"22";"2";253,00;36,00;102,00;54,00;18,00;39,00;6,00;17,00;65,00;6,00
"201512";"03061126";"03";"06";"11";"26";"1";3487,00;1252,00;1798,00;248,00;88,00;276,00;79,00;215,00;960,00;71,00
"201512";"03061131";"03";"06";"11";"31";"1";2915,00;1245,00;1620,00;177,00;28,00;187,00;39,00;103,00;900,00;38,00
"201512";"03061227";"03";"06";"12";"27";"1";3177,00;1191,00;1626,00;208,00;69,00;217,00;75,00;117,00;1008,00;65,00
"201512";"03061228";"03";"06";"12";"28";"1";2300,00;687,00;1122,00;180,00;50,00;198,00;67,00;114,00;705,00;44,00
"201512";"03061332";"03";"06";"13";"32";"1";6102,00;2521,00;3227,00;318,00;84,00;395,00;107,00;229,00;1968,00;92,00
"201512";"03061429";"03";"06";"14";"29";"1";1114,00;130,00;376,00;126,00;28,00;139,00;50,00;48,00;445,00;28,00
"201512";"03061430";"03";"06";"14";"30";"1";856,00;61,00;125,00;40,00;106,00;83,00;21,00;243,00;278,00;0,00
"201512";"03061434";"03";"06";"14";"34";"1";1244,00;380,00;612,00;123,00;21,00;144,00;29,00;42,00;375,00;21,00
"201512";"03061435";"03";"06";"14";"35";"1";883,00;219,00;381,00;65,00;27,00;76,00;7,00;62,00;308,00;22,00
