Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major
5,5,3,5,5,5,5,3,4,5,5,5,3,5,5,7070,7469,7383,6540,9098,4998,6971,4713,6032,5878,4031,4386,9077,5113,4204,11,95,142,5,3,6,2,6,6,7,2,7,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,3,0,1,2,28,1,2,1,5,2,1,1,ACTING
5,5,5,5,5,3,5,5,1,4,4,5,4,4,5,4086,13107,2807,5030,7405,7864,16234,2603,14174,9423,11683,12718,4816,6806,4823,6,125,144,6,7,6,7,6,3,7,5,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,2,2,1,14,1,1,2,4,2,1,1,
2,4,1,2,2,2,4,2,2,4,2,4,0,2,4,27535,7814,7762,10290,8558,10538,4740,4162,6492,11512,6874,11440,0,11418,9872,7,141,90,6,6,6,1,7,5,6,5,7,7,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,4,2,2,2,26,1,1,1,4,1,1,2,philosophy
5,4,1,2,4,5,4,1,4,5,5,5,1,4,5,4561,5589,3506,3784,5093,3555,3158,1887,7678,2304,3604,2724,2689,2657,3824,5,58,135,6,7,7,5,7,6,5,1,5,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,3,1,1,1,25,1,12,1,4,1,1,3,history
5,4,1,4,4,5,4,3,1,5,5,5,3,5,5,8841,7575,3832,7775,4160,5216,7559,5792,10296,5455,3864,11799,7872,10543,4224,4,105,210,1,3,7,2,6,4,5,5,5,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,37,1,2,2,4,2,2,2,Psychology
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15267,7112,4798,5214,3683,4130,4487,2376,3273,5501,3790,7777,4553,5944,4028,35,87,154,4,2,6,2,6,5,6,3,6,2,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,1,1,1,34,1,7,1,4,1,2,2,nursing
4,3,3,3,4,3,3,4,2,3,3,2,2,3,4,7249,4651,5496,3936,7831,6816,6167,2032,4000,3583,4481,5071,2368,4408,6103,12,75,67,2,5,4,2,5,6,2,3,5,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,17,1,1,1,4,2,1,2,
5,4,3,3,4,5,5,5,5,5,5,5,3,4,5,8024,7343,6808,6794,8743,6196,7762,4797,8015,5764,5717,5352,6387,9671,5622,27,104,186,4,5,6,2,7,4,5,5,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,23,1,2,1,4,2,1,3,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4654,6076,3032,3984,4328,4070,4012,2430,4191,8444,4224,4404,1065,5533,4964,2,67,121,4,5,6,2,4,5,6,2,7,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,3,1,1,17,1,4,2,4,2,1,2,
1,2,1,1,1,5,1,1,1,4,1,1,1,1,5,23787,12375,2006,3650,3188,48851,9013,2128,2898,10420,5820,2049,9901,3838,7208,26,148,118,1,6,3,1,5,7,6,5,7,4,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,1,2,28,1,2,1,4,1,2,3,it
