x,y
1800,626.107278015921
1801,
1802,
1803,
1804,
1805,
1806,
1807,
1808,
1809,
1810,
1811,
1812,
1813,
1814,
1815,
1816,
1817,
1818,
1819,
1820,604.547195132097
1821,
1822,
1823,
1824,
1825,
1826,
1827,
1828,
1829,
1830,
1831,
1832,
1833,
1834,
1835,
1836,
1837,
1838,
1839,
1840,
1841,
1842,
1843,
1844,
1845,
1846,
1847,
1848,
1849,
1850,909.504560491673
1851,
1852,
1853,
1854,
1855,
1856,
1857,
1858,
1859,
1860,1081.60665717534
1861,
1862,
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,1290.25121592698
1871,1273.58947680564
1872,1348.6289994028
1873,1416.64536536245
1874,1337.15830452912
1875,1426.13020805347
1876,1389.89139086574
1877,1325.25533903259
1878,1384.79938585308
1879,1571.70563018994
1880,1740.16480985657
1881,1775.00700230555
1882,1895.08685423382
1883,1879.38680112702
1884,1869.00050949329
1885,1787.65060028802
1886,1837.15418075594
1887,1938.49300852997
1888,1836.32582914542
1889,1858.3605170224
1890,1966.44707295621
1891,2098.75073078762
1892,2029.8540837559
1893,2103.13028792103
1894,2042.08564526532
1895,2157.81448072061
1896,2142.92072482579
1897,2069.63284029459
1898,2292.25564662254
1899,2278.82585112556
1900,2194.03302764202
1901,2222.51421992417
1902,2292.57771489711
1903,2138.78459212779
1904,2287.48178502027
1905,2259.24028488725
1906,2408.40139461119
1907,2507.31158981024
1908,2742.5247422336
1909,2725.69469466209
1910,3000.10760882129
1911,2886.53444441105
1912,2967.75151199629
1913,2988.34505090203
1914,2496.84595638446
1915,2389.09304318998
1916,2895.18162701954
1917,2923.31808167108
1918,2925.87562415496
1919,2480.49021482326
1920,2768.18462254453
1921,2369.80282548868
1922,2425.7827245268
1923,2884.60098347562
1924,3061.67968353661
1925,3152.44165416474
1926,2850.49023027652
1927,2759.77906886337
1928,3332.35936381269
1929,3455.42929992675
1930,2858.76391589547
1931,2217.67226963995
1932,1844.45582958437
1933,2236.34712073657
1934,2655.49029867069
1935,2761.24334022547
1936,2847.45540329644
1937,3181.24439680591
1938,3160.88871032502
1939,3169.25480508024
1940,3236.21480425821
1941,3140.723710305
1942,3225.68287746548
1943,3256.11028282311
1944,3255.81229456395
1945,3471.48869954952
1946,3699.33777756356
1947,3240.15368923104
1948,3711.88009702142
1949,3568.79903855954
1950,3669.74179762282
1951,3730.99783977164
1952,3893.03184969274
1953,4112.13118159617
1954,3907.2538063021
1955,3975.38909976333
1956,3956.80605145141
1957,4264.19978657169
1958,4391.55957614801
1959,4042.02669474453
1960,4270.27723078361
1961,4366.30485810318
1962,4465.24692263165
1963,4639.28408150323
1964,4638.28835864957
1965,4577.13853777202
1966,4984.45350884479
1967,5045.80581508332
1968,5127.64487717811
1969,5220.43832330078
1970,5231.42938861252
1971,5597.3089192948
1972,5428.56021862215
1973,5033.68030611268
1974,4991.98569381396
1975,4273.29265478648
1976,4347.02556149048
1977,4700.08446881437
1978,5010.66067030943
1979,5344.66099923852
1980,5680.41486315254
1981,5932.44591598557
1982,5034.94817474105
1983,4810.22890321587
1984,5010.88842137487
1985,5029.55416675961
1986,5227.41885445361
1987,5480.24378364022
1988,5780.39739384896
1989,6282.8974423663
1990,6400.94447406505
1991,6784.48781217287
1992,7482.81087147651
1993,7869.48670629076
1994,8181.67828781097
1995,8910.44375453091
1996,9426.99980506004
1997,9906.15818253795
1998,10088.4283080418
1999,9883.60801793513
2000,10198.928564433
2001,10421.4872565228
2002,10532.6540777685
2003,10837.3923513777
2004,11485.2730015461
2005,12079.8531991317
2006,12648.0084910771
2007,13176.0518902079
2008,13479.0848105599
2009,13210.0858289699
2010,13883.1845589974
