n m.method m.mean p.cov p.length
100 n-out-of-n 100 0.943 0.07560016
123 n-out-of-n 123 0.942 0.06819882
151 n-out-of-n 151 0.9482 0.06166909
186 n-out-of-n 186 0.948 0.05564001
228 n-out-of-n 228 0.9479 0.05025138
280 n-out-of-n 280 0.9463 0.04537713
344 n-out-of-n 344 0.9441 0.04098198
423 n-out-of-n 423 0.9443 0.03696256
520 n-out-of-n 520 0.9472 0.03335142
638 n-out-of-n 638 0.9483 0.03010914
784 n-out-of-n 784 0.9518 0.02717556
963 n-out-of-n 963 0.9511 0.02453631
1184 n-out-of-n 1184 0.9435 0.02211102
1454 n-out-of-n 1454 0.9497 0.01996759
1786 n-out-of-n 1786 0.9499 0.01802094
2195 n-out-of-n 2195 0.9492 0.01626085
2696 n-out-of-n 2696 0.9473 0.01466625
3313 n-out-of-n 3313 0.953 0.01323346
4070 n-out-of-n 4070 0.9512 0.01193894
5000 n-out-of-n 5000 0.9497 0.01077476
