estimator n beta m p.cov p.length
mean_first 100 1/2 10 0.5161 0.68938
mean_first 123 1/2 11 0.5062 0.690437
mean_first 151 1/2 12 0.5049 0.692237
mean_first 186 1/2 14 0.5213 0.692803
mean_first 228 1/2 15 0.5185 0.693027
mean_first 280 1/2 17 0.518 0.693986
mean_first 344 1/2 19 0.5214 0.693616
mean_first 423 1/2 21 0.5232 0.6947
mean_first 520 1/2 23 0.5086 0.69502
mean_first 638 1/2 25 0.5107 0.695637
mean_first 784 1/2 28 0.5185 0.695223
mean_first 963 1/2 31 0.5094 0.695334
mean_first 1184 1/2 34 0.5154 0.695511
mean_first 1454 1/2 38 0.5205 0.695839
mean_first 1786 1/2 42 0.5189 0.69644
mean_first 2195 1/2 47 0.5202 0.695848
mean_first 2696 1/2 52 0.521 0.695813
mean_first 3313 1/2 58 0.5121 0.695957
mean_first 4070 1/2 64 0.5181 0.696159
mean_first 5000 1/2 71 0.5173 0.696242
poisson 100 1/2 10 0.3523 99.304196
poisson 123 1/2 11 0.3427 111.604056
poisson 151 1/2 12 0.3302 124.79748
poisson 186 1/2 14 0.3298 139.643725
poisson 228 1/2 15 0.3095 155.902049
poisson 280 1/2 17 0.3075 174.611573
poisson 344 1/2 19 0.2994 194.659599
poisson 423 1/2 21 0.2777 217.511017
poisson 520 1/2 23 0.2663 242.157449
poisson 638 1/2 25 0.257 269.435398
poisson 784 1/2 28 0.2481 299.784044
poisson 963 1/2 31 0.2333 333.177056
poisson 1184 1/2 34 0.2239 370.158449
poisson 1454 1/2 38 0.2096 410.52911
poisson 1786 1/2 42 0.2049 456.796081
poisson 2195 1/2 47 0.1976 507.271165
poisson 2696 1/2 52 0.189 563.008974
poisson 3313 1/2 58 0.1714 626.671669
poisson 4070 1/2 64 0.1764 693.858528
poisson 5000 1/2 71 0.1691 769.71889
