estimator n beta m p.cov n.cov p.length n.length
mean 100 1/2 10 0.924 0.9302 0.071116 0.071872
mean 100 1/3 5 0.9226 0.9378 0.072593 0.073854
mean 100 3/4 32 0.8847 0.8898 0.062022 0.062459
mean 123 1/2 11 0.9296 0.9385 0.06452 0.06518
mean 123 1/3 5 0.9286 0.9447 0.065778 0.066898
mean 123 3/4 37 0.8919 0.897 0.056751 0.057111
mean 151 1/2 12 0.9289 0.9375 0.058593 0.059151
mean 151 1/3 5 0.9263 0.9438 0.059593 0.06062
mean 151 3/4 43 0.8941 0.8975 0.051795 0.052127
mean 186 1/2 14 0.9289 0.9367 0.052953 0.053418
mean 186 1/3 6 0.9277 0.9413 0.053867 0.054656
mean 186 3/4 50 0.8985 0.9028 0.047216 0.047492
mean 228 1/2 15 0.9315 0.9384 0.048181 0.048575
mean 228 1/3 6 0.9317 0.9432 0.048893 0.049604
mean 228 3/4 59 0.9018 0.9035 0.043007 0.043263
mean 280 1/2 17 0.93 0.9379 0.043556 0.043896
mean 280 1/3 7 0.9294 0.9428 0.044145 0.044713
mean 280 3/4 68 0.8996 0.902 0.03919 0.039403
mean 344 1/2 19 0.9376 0.9421 0.039443 0.039737
mean 344 1/3 7 0.9378 0.9459 0.039941 0.040465
mean 344 3/4 80 0.9105 0.9135 0.03564 0.035824
mean 423 1/2 21 0.9385 0.9437 0.035687 0.035934
mean 423 1/3 8 0.9376 0.947 0.036127 0.036534
mean 423 3/4 93 0.9115 0.9157 0.032404 0.032581
mean 520 1/2 23 0.9369 0.9415 0.032256 0.032488
mean 520 1/3 8 0.9351 0.9445 0.032602 0.032986
mean 520 3/4 109 0.9124 0.9144 0.029407 0.029562
mean 638 1/2 25 0.9432 0.9476 0.029268 0.029458
mean 638 1/3 9 0.941 0.9487 0.029507 0.029838
mean 638 3/4 127 0.92 0.9226 0.026773 0.0269
mean 784 1/2 28 0.9411 0.9461 0.026442 0.026604
mean 784 1/3 9 0.9406 0.9488 0.026659 0.026942
mean 784 3/4 148 0.9201 0.9225 0.024284 0.0244
mean 963 1/2 31 0.9414 0.9452 0.023915 0.024066
mean 963 1/3 10 0.9417 0.9476 0.024096 0.024335
mean 963 3/4 173 0.923 0.9246 0.022048 0.022155
mean 1184 1/2 34 0.9373 0.9418 0.021591 0.021719
mean 1184 1/3 11 0.9384 0.9448 0.021734 0.021941
mean 1184 3/4 202 0.9173 0.9189 0.019989 0.020081
mean 1454 1/2 38 0.9443 0.9463 0.01951 0.01962
mean 1454 1/3 11 0.9421 0.9485 0.01962 0.019809
mean 1454 3/4 235 0.927 0.9265 0.018124 0.018214
mean 1786 1/2 42 0.9426 0.9472 0.017639 0.017742
mean 1786 1/3 12 0.9421 0.9494 0.01773 0.01789
mean 1786 3/4 275 0.9256 0.927 0.01643 0.016507
mean 2195 1/2 47 0.9472 0.9496 0.015936 0.016022
mean 2195 1/3 13 0.9457 0.9505 0.016007 0.016147
mean 2195 3/4 321 0.9303 0.9326 0.014904 0.014971
mean 2696 1/2 52 0.9453 0.9489 0.014392 0.014477
mean 2696 1/3 14 0.9469 0.9511 0.014465 0.014588
mean 2696 3/4 374 0.9276 0.9301 0.013506 0.013567
mean 3313 1/2 58 0.9491 0.9508 0.013001 0.013071
mean 3313 1/3 15 0.9478 0.9512 0.013053 0.013159
mean 3313 3/4 437 0.933 0.9348 0.012231 0.012286
mean 4070 1/2 64 0.9439 0.9469 0.011739 0.011801
mean 4070 1/3 16 0.9437 0.9494 0.011778 0.011867
mean 4070 3/4 510 0.9294 0.9312 0.011068 0.011118
mean 5000 1/2 71 0.9477 0.9509 0.0106 0.010655
mean 5000 1/3 17 0.9484 0.9516 0.010636 0.010713
mean 5000 3/4 595 0.9365 0.9385 0.010028 0.010072
max 100 1/2 10 0.9367 0.7788 0.028522 0.03122
max 100 1/3 5 0.9123 0.7321 0.025011 0.027059
max 100 3/4 32 0.9051 0.7677 0.027056 0.03156
max 123 1/2 11 0.9404 0.7821 0.023712 0.025795
max 123 1/3 5 0.9143 0.7324 0.020442 0.022027
max 123 3/4 37 0.9097 0.7707 0.022511 0.026079
max 151 1/2 12 0.9385 0.7956 0.019735 0.02141
max 151 1/3 5 0.9093 0.7418 0.016726 0.018013
max 151 3/4 43 0.9142 0.7842 0.018716 0.021606
max 186 1/2 14 0.9503 0.8037 0.016463 0.01783
max 186 1/3 6 0.9289 0.7621 0.014386 0.015427
max 186 3/4 50 0.9258 0.7947 0.015657 0.017936
max 228 1/2 15 0.9497 0.8081 0.013637 0.014734
max 228 1/3 6 0.9154 0.758 0.011758 0.012626
max 228 3/4 59 0.9252 0.7926 0.012924 0.014772
max 280 1/2 17 0.9533 0.8123 0.011309 0.012201
max 280 1/3 7 0.9254 0.7719 0.009958 0.010679
max 280 3/4 68 0.9328 0.8001 0.010707 0.012185
max 344 1/2 19 0.9597 0.8237 0.009314 0.010057
max 344 1/3 7 0.9217 0.7807 0.008111 0.008703
max 344 3/4 80 0.9392 0.8086 0.008785 0.009985
max 423 1/2 21 0.9594 0.8212 0.007699 0.008281
max 423 1/3 8 0.9261 0.7834 0.006824 0.007313
max 423 3/4 93 0.9355 0.8088 0.007249 0.008208
max 520 1/2 23 0.9608 0.8286 0.006336 0.006809
max 520 1/3 8 0.9281 0.7888 0.005561 0.00595
max 520 3/4 109 0.9407 0.814 0.005994 0.006758
max 638 1/2 25 0.9619 0.8259 0.00521 0.00559
max 638 1/3 9 0.9292 0.7888 0.004647 0.004972
max 638 3/4 127 0.9453 0.8108 0.004924 0.005539
max 784 1/2 28 0.9629 0.8293 0.004277 0.004594
max 784 1/3 9 0.9259 0.7904 0.003784 0.004047
max 784 3/4 148 0.9452 0.8134 0.004045 0.00454
max 963 1/2 31 0.9603 0.8361 0.003512 0.00377
max 963 1/3 10 0.9307 0.8023 0.003144 0.003362
max 963 3/4 173 0.9483 0.8191 0.003325 0.00372
max 1184 1/2 34 0.9563 0.8417 0.002879 0.003089
max 1184 1/3 11 0.9314 0.8122 0.0026 0.002779
max 1184 3/4 202 0.949 0.8285 0.002739 0.003055
max 1454 1/2 38 0.9562 0.8422 0.002357 0.002532
max 1454 1/3 11 0.9308 0.8125 0.002119 0.002266
max 1454 3/4 235 0.9514 0.8276 0.002241 0.002498
max 1786 1/2 42 0.9503 0.8448 0.00193 0.002076
max 1786 1/3 12 0.934 0.8167 0.001749 0.001869
max 1786 3/4 275 0.9527 0.8305 0.00184 0.002044
max 2195 1/2 47 0.9506 0.8429 0.001577 0.001696
max 2195 1/3 13 0.9349 0.8131 0.00144 0.001539
max 2195 3/4 321 0.9532 0.8308 0.001503 0.001668
max 2696 1/2 52 0.95 0.8482 0.001289 0.001386
max 2696 1/3 14 0.9374 0.8234 0.001184 0.001266
