n,loss,threads,rep,cens_achieved,train_s,eval_s
100,cox,1,1,0.3,1.8649999999979627,0.04099999999743886
100,cox,1,2,0.3,2.095000000001164,0.02599999999802094
100,cox,1,3,0.3,3.0309999999954016,0.031000000002677552
100,cox,12,1,0.3,2.5720000000001164,0.02500000000145519
100,cox,12,2,0.31,2.2050000000017462,0.036999999996623956
100,cox,12,3,0.3,2.150000000001455,0.056000000004132744
100,cox_l2,1,1,0.3,2.0049999999973807,0.02500000000145519
100,cox_l2,1,2,0.3,2.576999999997497,0.04299999999784632
100,cox_l2,1,3,0.3,2.813000000001921,0.033999999999650754
100,cox_l2,12,1,0.3,3.268000000003667,0.02899999999499414
100,cox_l2,12,2,0.3,2.4910000000018044,0.029999999998835847
100,cox_l2,12,3,0.3,2.3360000000029686,0.02500000000145519
100,aft,1,1,0.3,2.150000000001455,0.027000000001862645
100,aft,1,2,0.3,2.411000000000058,0.029999999998835847
100,aft,1,3,0.3,2.8100000000049477,0.0349999999962165
100,aft,12,1,0.3,2.7520000000004075,0.026999999994586688
100,aft,12,2,0.3,2.603000000002794,0.059000000001105946
100,aft,12,3,0.3,2.5249999999941792,0.021000000000640284
100,coxtime,1,1,0.3,1.8059999999968568,0.1620000000038999
100,coxtime,1,2,0.3,1.830999999998312,0.1610000000000582
100,coxtime,1,3,0.3,2.4800000000032014,0.24399999999877764
100,coxtime,12,1,0.3,2.769000000000233,0.20799999999871943
100,coxtime,12,2,0.3,2.300999999999476,0.2209999999977299
100,coxtime,12,3,0.3,2.2819999999992433,0.22000000000116415
500,cox,1,1,0.3,2.0860000000029686,0.5120000000024447
500,cox,1,2,0.3,2.815999999998894,0.5570000000006985
500,cox,1,3,0.3,2.209000000002561,0.46099999999569263
500,cox,12,1,0.3,2.4720000000015716,0.4850000000005821
500,cox,12,2,0.3,2.423000000002503,0.4379999999946449
500,cox,12,3,0.3,2.6019999999989523,0.33100000000558794
500,cox_l2,1,1,0.3,2.1299999999973807,0.47400000000197906
500,cox_l2,1,2,0.3,2.747000000003027,0.3929999999963911
500,cox_l2,1,3,0.3,2.055000000000291,0.3830000000016298
500,cox_l2,12,1,0.3,2.360000000000582,0.3819999999977881
500,cox_l2,12,2,0.3,2.3209999999962747,0.4360000000015134
500,cox_l2,12,3,0.3,2.2949999999982538,0.39900000000488944
500,aft,1,1,0.3,2.22099999999773,0.5190000000002328
500,aft,1,2,0.3,2.813000000001921,0.4389999999984866
500,aft,1,3,0.3,2.1150000000052387,0.41599999999743886
500,aft,12,1,0.3,2.584000000002561,0.31300000000192085
500,aft,12,2,0.3,2.0339999999996508,0.3209999999962747
500,aft,12,3,0.3,2.1149999999979627,0.3580000000001746
500,coxtime,1,1,0.3,2.6890000000057626,1.625
500,coxtime,1,2,0.3,2.9910000000018044,1.213000000003376
500,coxtime,1,3,0.3,2.940999999998894,1.6389999999955762
500,coxtime,12,1,0.3,3.06699999999546,1.4330000000045402
500,coxtime,12,2,0.3,2.888999999995576,1.5
500,coxtime,12,3,0.3,2.8589999999967404,1.6600000000034925
1000,cox,1,1,0.3,1.9839999999967404,1.3220000000001164
1000,cox,1,2,0.3,2.4069999999992433,1.8630000000048312
1000,cox,1,3,0.3,2.8839999999981956,1.9610000000029686
1000,cox,12,1,0.3,2.3990000000048894,1.4429999999993015
1000,cox,12,2,0.3,2.3649999999979627,1.6999999999970896
1000,cox,12,3,0.3,2.247000000003027,1.3229999999966822
1000,cox_l2,1,1,0.3,2.541000000004715,1.8629999999975553
