n,loss,t1,t12,speedup_train
100,aft,2.411000000000058,2.603000000002794,0.9262389550508914
100,cox,2.095000000001164,2.2050000000017462,0.9501133786845828
100,cox_l2,2.576999999997497,2.4910000000018044,1.034524287433011
100,coxtime,1.830999999998312,2.300999999999476,0.7957409821811077
500,aft,2.22099999999773,2.1149999999979627,1.0501182033096308
500,cox,2.209000000002561,2.4720000000015716,0.8936084142399502
500,cox_l2,2.1299999999973807,2.3209999999962747,0.9177078845328734
500,coxtime,2.940999999998894,2.888999999995576,1.01799930772011
1000,aft,2.7119999999995343,2.2439999999987776,1.2085561497330712
1000,cox,2.4069999999992433,2.3649999999979627,1.0177589852014024
1000,cox_l2,2.541000000004715,2.8170000000027358,0.9020234291807764
1000,coxtime,4.084999999999127,3.877999999996973,1.053378029912923
10000,aft,4.57999999999447,4.4209999999948195,1.0359647138656045
10000,cox,6.02100000000064,5.973000000005413,1.0080361627314889
10000,cox_l2,5.457999999998719,4.8990000000048894,1.1141049193699268
10000,coxtime,577.7569999999978,386.29699999999866,1.49562901083881
