cens_target,loss,metric,cens_achieved_mean,cens_achieved_sd,value_mean,value_sd
0.1,aft,cindex,0.21025,0.008648851460104245,0.7374133,0.02343014234316669
0.1,cox,cindex,0.21025,0.008648851460104245,0.76739605,0.022294777355092773
0.1,cox_l2,cindex,0.21025,0.008648851460104245,0.7656956,0.023701613659033963
0.1,coxtime,cindex,0.21025,0.008648851460104245,0.61891785,0.055062968032564885
0.3,aft,cindex,0.3,0,0.72455885,0.028267719823660126
0.3,cox,cindex,0.3,0,0.7630756,0.02550771278694059
0.3,cox_l2,cindex,0.3,0,0.762796,0.02757677826112321
0.3,coxtime,cindex,0.3,0,0.6619124,0.05103626113533087
0.5,aft,cindex,0.5,0,0.7359704,0.02115821337447943
0.5,cox,cindex,0.5,0,0.7624208,0.016233279136910132
0.5,cox_l2,cindex,0.5,0,0.7613582,0.017388082971724596
0.5,coxtime,cindex,0.5,0,0.72363155,0.025137042631553256
0.7,aft,cindex,0.7,0,0.7224058,0.02928714471824403
0.7,cox,cindex,0.7,0,0.7474514,0.024156472800211708
0.7,cox_l2,cindex,0.7,0,0.7475744,0.022898550495150286
0.7,coxtime,cindex,0.7,0,0.7412404,0.020529244138160825
0.9,aft,cindex,0.9,0,0.72477895,0.023701476577309196
0.9,cox,cindex,0.9,0,0.7295271,0.022702551484011894
0.9,cox_l2,cindex,0.9,0,0.7312414,0.01914409271372187
0.9,coxtime,cindex,0.9,0,0.7281224,0.021156430465513434
0.1,aft,ibs,0.21025,0.008648851460104245,0.19199205,0.014751093656064961
0.1,cox,ibs,0.21025,0.008648851460104245,0.17453775,0.013801547708309268
0.1,cox_l2,ibs,0.21025,0.008648851460104245,0.17469025,0.011817280339334471
0.1,coxtime,ibs,0.21025,0.008648851460104245,0.21621665,0.00707570310640575
0.3,aft,ibs,0.3,0,0.20377800000000001,0.021042400751065005
0.3,cox,ibs,0.3,0,0.18342695,0.016705666997742823
0.3,cox_l2,ibs,0.3,0,0.1836167,0.01770718748537173
0.3,coxtime,ibs,0.3,0,0.2108255,0.009128994217385212
0.5,aft,ibs,0.5,0,0.1985859,0.017856962943580884
0.5,cox,ibs,0.5,0,0.1794626,0.016393191290096146
0.5,cox_l2,ibs,0.5,0,0.176963,0.01806563554900501
0.5,coxtime,ibs,0.5,0,0.20049345,0.0066121154865817905
0.7,aft,ibs,0.7,0,0.2024593,0.020822411372820086
0.7,cox,ibs,0.7,0,0.19042055,0.026992202886788972
0.7,cox_l2,ibs,0.7,0,0.19381625,0.03148829187571152
0.7,coxtime,ibs,0.7,0,0.202726,0.007819723753365421
0.9,aft,ibs,0.9,0,0.2040378,0.019000187707106028
0.9,cox,ibs,0.9,0,0.27260205,0.040020813607914985
0.9,cox_l2,ibs,0.9,0,0.2623737,0.04946892936624064
0.9,coxtime,ibs,0.9,0,0.27905945,0.005975920739231646
