$r$,Inflation,Quantity,s1_t1_15,s1_t1_30,s1_t1_60,s1_t2_15,s1_t2_30,s1_t2_60,s1_t3_15,s1_t3_30,s1_t3_60,s2_t1_15,s2_t1_30,s2_t1_60,s2_t2_15,s2_t2_30,s2_t2_60,s2_t3_15,s2_t3_30,s2_t3_60
1,,$h_A$,0.49,0.49,0.49,0.14,0.13,0.11,0.11,0.09,0.08,0.49,0.49,0.49,0.14,0.13,0.11,0.11,0.09,0.08
,optimal,$\text{Mean}\left(\hat{h}\right)$,0.15,0.17,0.18,0.11,0.10,0.10,0.10,0.08,0.07,0.15,0.17,0.18,0.11,0.10,0.10,0.10,0.08,0.07
,,$\text{SD}\left(\hat{h}\right)$,42.70,49.28,55.85,7.99,10.24,7.39,3.91,7.40,5.21,41.25,49.49,55.46,8.29,10.20,7.38,4.00,7.24,5.20
,,$\text{MSE}\left(\hat{h}\right)$,114.47,105.01,98.99,1.47,0.55,0.20,0.07,0.15,0.08,116.78,105.16,99.34,1.46,0.54,0.20,0.08,0.15,0.09
,,$\text{MSE}\left(\hat{g}\right)$,4.16,2.25,1.22,6.59,4.14,2.58,10.52,5.88,3.45,4.22,2.24,1.22,6.60,4.14,2.58,10.50,5.85,3.44
,,$\text{MSE}\left(\hat{s}\right)$,0.43,0.19,0.09,0.61,0.28,0.14,0.67,0.34,0.18,0.68,0.48,0.40,0.67,0.34,0.18,0.71,0.37,0.20
,,$\text{MSE}\left(\hat{m}\right)$,4.56,2.42,1.30,6.83,4.43,2.72,10.68,6.22,3.63,4.86,2.70,1.62,6.90,4.49,2.76,10.76,6.23,3.64
,naive,$\text{Mean}\left(\hat{h}\right)$,0.19,0.22,0.23,0.12,0.12,0.11,0.11,0.09,0.08,0.19,0.22,0.23,0.12,0.12,0.11,0.11,0.09,0.08
,,$\text{SD}\left(\hat{h}\right)$,53.74,62.07,63.45,16.09,12.60,8.21,4.53,9.15,6.38,54.69,61.30,64.09,16.81,12.53,8.18,4.48,9.12,6.38
,,$\text{MSE}\left(\hat{h}\right)$,89.99,78.42,72.25,0.92,0.21,0.07,0.02,0.09,0.04,92.06,79.05,72.21,0.88,0.20,0.07,0.02,0.09,0.04
,,$\text{MSE}\left(\hat{g}\right)$,3.77,1.96,1.05,7.22,4.60,2.83,11.11,6.92,3.84,3.82,1.97,1.05,7.30,4.63,2.83,11.09,6.88,3.83
,,$\text{MSE}\left(\hat{s}\right)$,0.35,0.15,0.07,0.63,0.25,0.13,0.74,0.31,0.17,0.79,0.65,0.61,0.73,0.34,0.18,0.77,0.35,0.19
,,$\text{MSE}\left(\hat{m}\right)$,4.07,2.11,1.12,7.31,4.82,2.95,10.78,7.31,4.01,4.54,2.61,1.66,7.46,4.93,3.01,10.88,7.33,4.02
3,,$h_A$,0.49,0.49,0.49,0.28,0.25,0.24,0.24,0.22,0.20,0.49,0.49,0.49,0.28,0.25,0.24,0.24,0.22,0.20
,optimal,$\text{Mean}\left(\hat{h}\right)$,0.15,0.16,0.17,0.15,0.16,0.17,0.14,0.16,0.16,0.15,0.16,0.17,0.15,0.16,0.17,0.14,0.15,0.16
,,$\text{SD}\left(\hat{h}\right)$,25.67,24.47,26.15,24.60,22.82,22.80,20.95,18.13,16.15,26.74,24.63,25.96,25.15,22.75,22.60,21.45,18.23,16.10
,,$\text{MSE}\left(\hat{h}\right)$,116.70,107.66,101.92,16.65,9.28,5.02,9.01,4.50,2.11,117.70,107.87,102.27,17.14,9.37,5.09,9.34,4.54,2.13
,,$\text{MSE}\left(\hat{g}\right)$,6.93,4.11,2.28,6.96,4.15,2.32,7.06,4.26,2.41,7.02,4.11,2.28,7.05,4.16,2.33,7.13,4.26,2.42
,,$\text{MSE}\left(\hat{s}\right)$,0.44,0.19,0.09,0.44,0.19,0.09,0.45,0.19,0.09,0.69,0.43,0.34,0.68,0.42,0.33,0.67,0.40,0.30
,,$\text{MSE}\left(\hat{m}\right)$,7.24,4.27,2.36,7.27,4.31,2.40,7.38,4.42,2.50,7.53,4.51,2.62,7.56,4.55,2.65,7.64,4.63,2.70
,naive,$\text{Mean}\left(\hat{h}\right)$,0.17,0.19,0.20,0.17,0.18,0.19,0.16,0.17,0.18,0.17,0.19,0.20,0.17,0.18,0.19,0.16,0.17,0.18
,,$\text{SD}\left(\hat{h}\right)$,29.98,29.72,31.65,28.13,26.47,25.10,22.55,19.06,15.73,31.32,30.12,31.79,28.56,26.26,24.75,23.05,19.03,15.70
,,$\text{MSE}\left(\hat{h}\right)$,101.23,92.08,86.20,11.50,5.61,2.56,5.78,2.48,0.98,102.24,92.33,86.45,11.91,5.68,2.61,6.06,2.53,1.00
,,$\text{MSE}\left(\hat{g}\right)$,6.50,3.79,2.09,6.58,3.87,2.18,6.73,4.06,2.32,6.57,3.80,2.09,6.63,3.88,2.18,6.79,4.06,2.32
,,$\text{MSE}\left(\hat{s}\right)$,0.38,0.17,0.08,0.38,0.17,0.08,0.39,0.18,0.08,0.74,0.53,0.46,0.73,0.51,0.42,0.70,0.46,0.35
,,$\text{MSE}\left(\hat{m}\right)$,6.78,3.93,2.16,6.86,4.01,2.25,7.03,4.20,2.40,7.15,4.29,2.54,7.21,4.36,2.59,7.34,4.49,2.67
