"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","5.91","3.03","1.68","17.85","5.40","1.90","6.56","3.40","1.91","19.17","6.41","2.68","5.91","3.33","2.25","17.08","5.77","2.69"
"","SD","2.01","0.85","0.41","13.80","3.54","0.88","1.82","0.85","0.42","13.90","3.46","0.90","1.89","0.85","0.53","11.97","3.21","0.96"
"$\text{DS}_{1, \text{nai}}$","Mean","4.81","2.64","1.51","15.72","4.91","1.70","5.91","\bftab 3.25","\bftab 1.85","17.32","6.20","2.79","4.91","2.99","2.15","15.23","5.31","2.60"
"","SD","1.73","0.79","0.39","11.80","3.10","0.82","1.56","0.80","0.41","11.67","3.07","0.87","1.60","0.79","0.55","10.72","2.91","0.92"
"$\text{DS}_{3, \text{opt}}$","Mean","4.87","2.31","1.13","19.39","5.53","1.88","5.82","\bftab 3.25","2.08","20.31","6.36","\bftab 2.63","5.00","2.75","2.03","18.65","5.87","2.66"
"","SD","1.55","0.74","0.33","14.31","3.40","0.89","1.52","0.76","0.44","14.25","3.37","0.88","1.47","0.75","0.68","12.73","3.31","0.96"
"$\text{DS}_{3, \text{nai}}$","Mean","4.35","2.06","1.02","17.42","5.03","1.70","\bftab 5.66","3.38","2.30","18.65","6.14","2.72","4.51","2.56","2.03","16.69","5.45","2.58"
"","SD","1.44","0.69","0.32","13.23","3.16","0.81","1.44","0.76","0.45","13.14","3.15","0.84","1.37","0.72","0.72","11.47","3.04","0.92"
"X13","Mean","3.34","3.09","3.01","12.89","6.96","4.50","6.25","3.78","3.15","15.90","7.68","4.67","3.84","3.55","3.41","12.49","7.27","4.88"
"","SD","1.22","0.84","0.55","10.26","4.13","1.76","1.24","0.87","0.53","10.24","4.11","1.73","1.21","0.82","0.56","8.44","3.82","1.69"
"TS","Mean","1.53","0.77","0.45","5.67","1.73","0.75","6.06","4.30","2.06","10.14","\bftab 5.98","3.08","\bftab 2.74","\bftab 2.29","\bftab 2.02","6.90","\bftab 3.69","\bftab 2.54"
"","SD","1.15","0.73","0.59","5.85","1.82","0.94","1.37","1.40","0.83","5.98","2.26","1.36","1.27","1.07","0.62","5.36","2.21","1.12"
"STL","Mean","2.51","2.54","2.56","9.53","5.73","3.87","6.28","3.65","2.64","13.33","6.85","3.94","2.97","2.95","2.91","9.37","6.01","4.18"
"","SD","1.07","0.73","0.48","8.12","3.39","1.50","1.10","0.83","0.49","8.09","3.44","1.50","1.05","0.76","0.53","6.68","3.23","1.48"
"TBATS","Mean","2.08","1.34","1.00","6.30","2.25","1.16","6.62","5.82","5.45","10.85","6.74","5.62","28.25","30.26","30.38","32.33","30.28","32.15"
"","SD","0.94","0.46","0.22","6.06","1.40","0.40","0.94","0.45","0.21","6.04","1.42","0.38","28.02","28.08","26.29","28.68","28.19","27.80"
"MA","Mean","\bftab 1.43","\bftab 0.67","\bftab 0.33","\bftab 5.41","\bftab 1.54","\bftab 0.49","6.00","5.17","4.80","\bftab 9.99","6.04","4.96","3.01","3.86","6.65","\bftab 6.65","4.76","6.62"
"","SD","0.89","0.42","0.20","5.68","1.37","0.37","0.91","0.43","0.20","5.72","1.38","0.37","1.33","2.13","4.38","4.72","2.49","4.12"
