"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","2.13","0.94","0.48","18.48","5.05","1.50","2.31","\bftab 1.13","\bftab 0.60","18.94","5.51","1.86","2.35","1.44","1.39","19.94","5.73","2.52"
"","SD","0.73","0.33","0.15","15.71","4.21","1.15","0.72","0.34","0.17","15.34","4.19","1.12","0.90","0.92","1.44","16.29","4.52","1.86"
"$\text{DS}_{1, \text{nai}}$","Mean","1.97","0.84","0.43","15.50","4.36","1.29","2.34","1.14","0.61","16.41","5.10","1.89","2.23","1.42","1.45","16.84","5.22","2.52"
"","SD","0.76","0.31","0.15","13.53","3.72","1.00","0.71","0.34","0.17","13.38","3.69","1.02","1.21","1.03","1.57","14.05","4.25","1.99"
"$\text{DS}_{3, \text{opt}}$","Mean","1.55","0.66","0.31","16.40","4.45","1.27","\bftab 2.21","1.30","0.97","17.07","5.04","\bftab 1.78","1.87","1.41","1.76","17.68","5.19","2.49"
"","SD","0.65","0.27","0.12","13.80","3.69","0.98","0.66","0.37","0.28","13.49","3.72","0.98","1.13","1.27","2.21","14.02","4.04","1.96"
"$\text{DS}_{3, \text{nai}}$","Mean","1.33","0.59","0.28","14.64","4.04","1.14","2.27","1.51","1.20","15.68","\bftab 4.86","1.89","1.73","1.45","1.92","15.92","4.85","2.56"
"","SD","0.58","0.25","0.12","12.59","3.43","0.91","0.65","0.41","0.33","12.60","3.45","0.91","1.11","1.45","2.54","12.96","3.80","2.24"
"X13","Mean","0.78","0.70","0.65","9.47","4.67","2.54","3.30","1.16","0.81","12.46","5.47","2.68","1.51","1.34","1.24","11.03","5.53","3.01"
"","SD","0.43","0.28","0.18","9.14","4.04","1.89","0.63","0.33","0.21","9.11","4.17","1.89","1.37","0.92","0.77","9.89","4.41","1.83"
"TS","Mean","0.49","0.21","0.11","6.28","1.45","0.46","2.78","1.52","0.86","10.41","4.96","2.07","\bftab 1.47","\bftab 1.23","\bftab 1.10","9.55","\bftab 3.55","\bftab 2.15"
"","SD","0.54","0.25","0.11","12.76","2.69","0.98","1.12","0.75","0.40","11.89","2.89","1.60","0.90","0.80","0.65","17.57","3.46","1.75"
"STL","Mean","0.61","0.61","0.60","7.22","4.01","2.26","4.40","1.79","0.68","11.04","5.19","2.34","1.68","1.43","1.29","8.55","4.82","2.78"
"","SD","0.37","0.25","0.17","7.14","3.46","1.61","0.42","0.35","0.18","7.17","3.54","1.61","2.10","1.34","1.08","7.58","3.83","1.74"
"TBATS","Mean","89.00","88.86","89.16","90.31","89.65","89.30","90.88","90.99","91.18","92.24","91.61","91.23","68.34","69.72","73.21","63.57","69.38","73.21"
"","SD","1.17","0.94","1.38","4.61","2.40","1.99","1.14","2.02","1.29","4.44","1.65","1.68","48.02","47.41","48.04","44.29","47.20","48.64"
"MA","Mean","\bftab 0.33","\bftab 0.15","\bftab 0.08","\bftab 3.94","\bftab 1.09","\bftab 0.31","4.78","4.61","4.53","\bftab 8.39","5.55","4.76","3.57","6.16","10.58","\bftab 7.46","7.26","11.55"
"","SD","0.30","0.13","0.07","4.68","1.54","0.37","0.31","0.13","0.07","4.69","1.55","0.37","5.72","9.25","15.20","8.65","11.50","15.41"
