"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","2.92","1.95","1.21","19.54","5.81","1.75","3.08","2.01","1.23","20.11","6.20","2.08","3.11","2.26","1.75","20.04","6.13","2.85"
"","SD","0.87","0.51","0.28","15.54","4.62","1.10","0.90","0.52","0.29","15.52","4.58","1.08","1.02","0.87","0.88","16.08","4.41","2.19"
"$\text{DS}_{1, \text{nai}}$","Mean","2.89","1.85","1.14","17.22","5.10","1.51","3.04","1.91","1.17","18.08","5.73","2.06","3.08","2.18","1.72","17.53","5.55","2.82"
"","SD","0.86","0.50","0.28","13.86","4.04","0.99","0.90","0.50","0.28","13.79","3.99","1.00","1.01","0.93","0.93","14.22","3.94","2.30"
"$\text{DS}_{3, \text{opt}}$","Mean","2.11","1.00","0.51","17.28","4.98","1.49","2.90","\bftab 1.65","\bftab 1.06","18.17","5.53","\bftab 1.96","2.49","\bftab 1.74","1.93","18.05","5.54","2.82"
"","SD","0.82","0.37","0.18","14.55","3.93","0.93","0.89","0.46","0.25","14.68","3.92","0.96","1.20","1.31","2.14","15.46","4.04","2.43"
"$\text{DS}_{3, \text{nai}}$","Mean","1.88","0.93","0.48","15.45","4.57","1.33","\bftab 2.86","1.75","1.15","16.61","\bftab 5.34","2.03","2.31","\bftab 1.74","2.00","16.09","5.18","2.84"
"","SD","0.75","0.36","0.18","13.23","3.74","0.85","0.85","0.47","0.26","13.37","3.71","0.91","1.18","1.42","2.25","13.53","3.78","2.59"
"X13","Mean","1.34","1.20","1.10","9.97","5.29","3.03","3.94","1.78","1.29","12.97","6.13","3.21","2.18","1.93","1.82","11.38","6.00","3.69"
"","SD","0.71","0.49","0.37","9.08","4.11","1.84","0.90","0.54","0.32","9.21","4.16","1.82","1.59","1.24","0.91","10.48","4.33","2.08"
"TS","Mean","1.75","0.79","0.41","6.05","1.57","0.54","4.11","2.09","1.13","10.94","5.37","2.28","2.81","1.78","\bftab 1.43","8.95","\bftab 3.72","\bftab 2.40"
"","SD","1.66","0.65","0.34","13.71","2.58","0.74","1.34","0.68","0.32","14.50","3.12","1.25","5.16","0.96","0.73","13.57","3.20","1.71"
"STL","Mean","0.96","1.00","0.98","7.42","4.50","2.65","4.76","2.17","1.08","11.20","5.66","2.73","\bftab 2.10","1.80","1.68","8.77","5.18","3.29"
"","SD","0.53","0.37","0.26","6.91","3.58","1.52","0.60","0.50","0.27","6.96","3.64","1.53","2.23","1.47","1.05","8.49","3.72","2.00"
"TBATS","Mean","88.90","88.99","89.27","90.28","89.68","89.36","90.88","90.99","91.26","92.25","91.62","91.15","68.45","70.43","73.34","63.19","68.99","73.27"
"","SD","1.71","0.32","0.26","4.46","3.18","2.71","1.40","0.27","0.15","4.30","2.42","2.25","49.30","48.41","47.70","44.70","47.97","48.01"
"MA","Mean","\bftab 0.56","\bftab 0.27","\bftab 0.12","\bftab 4.11","\bftab 1.16","\bftab 0.34","5.02","4.73","4.58","\bftab 8.55","5.62","4.79","3.79","6.27","11.21","\bftab 7.68","6.97","11.50"
"","SD","0.46","0.21","0.10","5.10","1.41","0.34","0.48","0.22","0.10","5.09","1.41","0.33","5.75","8.48","16.37","9.05","9.14","16.18"
