"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","6.89","3.68","2.11","18.39","5.97","2.15","7.54","4.02","2.30","19.56","6.94","2.94","7.09","4.00","2.61","18.39","6.35","2.93"
"","SD","2.39","1.17","0.59","13.53","3.90","1.01","2.31","1.17","0.61","13.35","3.78","0.99","2.55","1.18","0.65","13.71","3.57","1.19"
"$\text{DS}_{1, \text{nai}}$","Mean","5.74","3.24","1.91","16.32","5.37","1.92","6.79","3.78","\bftab 2.20","17.87","6.65","3.02","5.81","3.60","2.48","16.38","5.78","2.82"
"","SD","2.19","1.11","0.55","11.94","3.59","0.94","2.07","1.11","0.59","11.82","3.47","0.96","2.19","1.10","0.65","12.13","3.14","1.12"
"$\text{DS}_{3, \text{opt}}$","Mean","5.72","2.72","1.34","19.87","6.06","2.09","6.72","\bftab 3.72","2.35","20.81","6.88","\bftab 2.84","5.94","3.17","2.22","19.55","6.42","2.89"
"","SD","2.06","1.02","0.47","13.84","3.88","0.94","2.08","1.03","0.56","13.90","3.81","0.96","2.09","1.05","0.68","13.80","3.47","1.17"
"$\text{DS}_{3, \text{nai}}$","Mean","5.09","2.45","1.22","17.95","5.48","1.90","6.45","3.80","2.53","19.11","6.58","2.91","5.29","\bftab 2.96","\bftab 2.20","17.72","5.92","\bftab 2.80"
"","SD","1.91","0.96","0.45","12.76","3.56","0.89","1.94","1.00","0.55","12.73","3.49","0.93","1.91","1.00","0.70","12.55","3.16","1.14"
"X13","Mean","3.90","3.57","3.44","12.88","7.43","4.87","6.74","4.24","3.57","15.80","8.15","5.02","4.41","4.05","3.82","13.25","7.84","5.31"
"","SD","1.56","1.10","0.72","9.75","4.43","1.74","1.58","1.17","0.72","9.75","4.42","1.75","1.62","1.13","0.75","9.33","3.91","1.92"
"TS","Mean","1.85","1.57","5.09","5.65","2.11","1.59","6.81","5.04","5.18","10.38","6.50","3.73","3.62","4.41","3.67","7.28","\bftab 4.29","3.39"
"","SD","1.57","3.15","8.60","5.39","2.87","3.87","2.42","3.89","7.71","6.58","3.54","3.44","1.91","4.71","4.30","5.22","2.82","2.55"
"STL","Mean","3.02","3.05","3.06","9.72","6.21","4.30","6.79","4.15","3.15","13.48","7.34","4.39","3.49","3.48","3.39","9.94","6.57","4.66"
"","SD","1.44","1.03","0.70","7.86","3.84","1.53","1.48","1.12","0.72","7.87","3.86","1.54","1.46","1.06","0.73","7.17","3.33","1.76"
"TBATS","Mean","2.30","1.48","1.06","6.20","2.33","1.21","6.85","5.99","5.52","10.74","6.83","5.68","27.65","29.46","32.44","31.10","31.39","32.62"
"","SD","1.21","0.62","0.30","5.58","1.58","0.44","1.25","0.63","0.31","5.50","1.60","0.45","27.55","27.84","28.32","26.77","28.30","28.64"
"MA","Mean","\bftab 1.64","\bftab 0.82","\bftab 0.40","\bftab 5.47","\bftab 1.63","\bftab 0.53","\bftab 6.22","5.32","4.86","\bftab 10.05","\bftab 6.13","5.00","\bftab 3.39","4.04","6.49","\bftab 6.92","4.88","6.75"
"","SD","1.19","0.61","0.30","5.39","1.54","0.42","1.22","0.62","0.30","5.42","1.54","0.42","1.66","2.14","3.63","4.90","2.73","3.98"
