;Shots pg;RY cards;Possession%;Pass;Dribbles pg;Offsides pg;Fouls pg;pts
Bayern Munich;19.8;38;64.8;86;14.5;2.2;9;77
Bayer Leverkusen;13.5;66;53.7;81.8;11.8;1.9;10.7;64
Borussia Dortmund;13.3;62;59.4;84;10.4;2.1;10.6;69
RB Leipzig;12.9;49;56.5;83.1;10.2;1.9;10.6;58
Freiburg;13.6;34;48.6;76.2;6.6;1.7;11.5;55
Borussia M.Gladbach;14.8;67;54.1;82;10.9;2.2;10.6;45
FC Koln;13.8;67;54.8;77.4;7.4;2;12.3;52
Mainz 05;13.8;62;46;74.1;7.9;1.9;14.6;46
Wolfsburg;12.4;61;50.2;78.6;9.4;2.2;12.1;42
VfB Stuttgart;13.3;64;50.4;80.7;11;1.6;10.9;33
Union Berlin;12.1;62;43.3;73.6;7.2;1.9;12.4;57
Eintracht Frankfurt;13.2;60;49.4;76.2;8.4;1.6;12.4;42
Hoffenheim;13.3;75;53.2;80.7;7.4;2.1;12.6;46
Bochum;12.1;55;44.5;72.1;6.8;2.2;12.5;42
Augsburg;10.8;74;40.6;72;7.7;2.1;13.2;38
Arminia Bielefeld;10.7;55;39.9;71.7;8.4;1.6;12.7;28
Hertha Berlin;10.8;64;43.2;74.7;8.3;2.1;12.4;33
Greuther Fuerth;9.2;61;43;74.8;7.8;2;12.9;18
