mode,n_sim,cores,parallel,rep,elapsed_sec,p_combined,seed,error
full,200,1,FALSE,1,4.548000000000002,0.25373134328358204,232101,NA
full,200,1,FALSE,2,4.396000000000001,0.02487562189054726,232102,NA
full,200,1,FALSE,3,4.249000000000002,0.00995024875621886,232103,NA
full,200,1,FALSE,4,4.305999999999997,0.03980099502487566,232104,NA
full,200,1,FALSE,5,4.2209999999999965,0.1094527363184079,232105,NA
full,200,1,FALSE,6,4.348999999999997,0.09452736318407962,232106,NA
full,200,1,FALSE,7,4.359999999999999,0.22388059701492535,232107,NA
full,200,1,FALSE,8,4.215000000000003,0.08457711442786064,232108,NA
full,200,1,FALSE,9,4.294000000000004,0.28358208955223885,232109,NA
full,200,1,FALSE,10,4.382999999999996,0.20398009950248752,232110,NA
full,200,2,TRUE,1,4.385999999999996,0.10447761194029848,232201,NA
full,200,2,TRUE,2,3.9779999999999944,0.10447761194029848,232202,NA
full,200,2,TRUE,3,3.9209999999999923,0.04477611940298509,232203,NA
full,200,2,TRUE,4,3.9599999999999937,0.29850746268656714,232204,NA
full,200,2,TRUE,5,4.157999999999987,0.11442786069651745,232205,NA
full,200,2,TRUE,6,4.25,0.25373134328358204,232206,NA
full,200,2,TRUE,7,3.9350000000000023,0.014925373134328401,232207,NA
full,200,2,TRUE,8,4.02300000000001,0.08955223880597019,232208,NA
full,200,2,TRUE,9,4.25,0.2935323383084577,232209,NA
full,200,2,TRUE,10,3.921999999999997,0.03980099502487566,232210,NA
full,500,1,FALSE,1,10.965000000000003,0.07584830339321358,532101,NA
full,500,1,FALSE,2,10.521,0.07185628742514971,532102,NA
full,500,1,FALSE,3,10.607,0.10778443113772451,532103,NA
full,500,1,FALSE,4,10.568999999999988,0.11177644710578838,532104,NA
full,500,1,FALSE,5,10.686000000000007,0.11377245508982037,532105,NA
full,500,1,FALSE,6,10.549000000000007,0.26147704590818366,532106,NA
full,500,1,FALSE,7,10.673999999999978,0.10179640718562877,532107,NA
full,500,1,FALSE,8,10.484000000000009,0.10778443113772451,532108,NA
full,500,1,FALSE,9,10.629999999999995,0.2774451097804391,532109,NA
full,500,1,FALSE,10,10.655000000000001,0.1337325349301397,532110,NA
full,500,2,TRUE,1,9.613,0.001996007984031989,532201,NA
full,500,2,TRUE,2,9.342000000000013,0.03792415169660679,532202,NA
full,500,2,TRUE,3,9.635999999999996,0.3073852295409182,532203,NA
full,500,2,TRUE,4,9.353000000000009,0.3273453093812375,532204,NA
full,500,2,TRUE,5,9.164000000000016,0.04990019960079839,532205,NA
full,500,2,TRUE,6,9.488,0.06786427145708585,532206,NA
full,500,2,TRUE,7,9.413000000000011,0.06387225548902198,532207,NA
full,500,2,TRUE,8,9.699999999999989,0.27544910179640714,532208,NA
full,500,2,TRUE,9,9.427000000000021,0.005988023952095856,532209,NA
full,500,2,TRUE,10,9.147999999999968,0.32135728542914177,532210,NA
full,1000,1,FALSE,1,21.725000000000023,0.23876123876123878,1032101,NA
full,1000,1,FALSE,2,21.972999999999956,0.2417582417582418,1032102,NA
full,1000,1,FALSE,3,21.499000000000024,0.23576423576423577,1032103,NA
full,1000,1,FALSE,4,21.942000000000007,0.20779220779220775,1032104,NA
full,1000,1,FALSE,5,21.904999999999973,0.27472527472527475,1032105,NA
full,1000,1,FALSE,6,21.668999999999983,0.18581418581418585,1032106,NA
full,1000,1,FALSE,7,21.680000000000007,0.2727272727272727,1032107,NA
full,1000,1,FALSE,8,21.966000000000008,0.24675324675324672,1032108,NA
full,1000,1,FALSE,9,21.738999999999976,0.18181818181818177,1032109,NA
full,1000,1,FALSE,10,21.799000000000035,0.06193806193806195,1032110,NA
full,1000,2,TRUE,1,18.739000000000033,0.03796203796203801,1032201,NA
full,1000,2,TRUE,2,20.080999999999904,0.04395604395604391,1032202,NA
full,1000,2,TRUE,3,19.610000000000014,0.3246753246753247,1032203,NA
full,1000,2,TRUE,4,18.54600000000005,0.031968031968031996,1032204,NA
full,1000,2,TRUE,5,20.365999999999985,0.26173826173826176,1032205,NA
full,1000,2,TRUE,6,19.253000000000043,0.029970029970029954,1032206,NA
full,1000,2,TRUE,7,18.68500000000006,0.060939060939060985,1032207,NA
