profile,dataset_id,n_points,window_side,cores,parallel,rep,estimate_sec,train_mark_sec,total_sec,objective,model_engine,seed_estimate,seed_train,error
full,medium,106,50,1,FALSE,1,2.849,21.675999999999995,24.524999999999995,386.9233882481311,xgboost,42101,42102,NA
full,medium,106,50,1,FALSE,2,3.3030000000000044,22.973,26.276000000000003,385.25809102855357,xgboost,42102,42103,NA
full,medium,106,50,1,FALSE,3,3.112000000000002,23.073000000000008,26.18500000000001,386.23006085139275,xgboost,42103,42104,NA
full,medium,106,50,1,FALSE,4,3.3659999999999997,23.099000000000004,26.465000000000003,386.24753636666577,xgboost,42104,42105,NA
full,medium,106,50,1,FALSE,5,2.7240000000000038,23.368999999999986,26.09299999999999,386.24753636666577,xgboost,42105,42106,NA
full,medium,106,50,1,FALSE,6,3.1750000000000114,23.555000000000007,26.730000000000018,384.62953101496345,xgboost,42106,42107,NA
full,medium,106,50,1,FALSE,7,2.7369999999999948,23.587000000000018,26.324000000000012,384.6928667784972,xgboost,42107,42108,NA
full,medium,106,50,1,FALSE,8,2.313999999999993,23.613,25.926999999999992,386.4307549289715,xgboost,42108,42109,NA
full,medium,106,50,1,FALSE,9,2.664999999999992,23.817000000000007,26.482,386.4307549289715,xgboost,42109,42110,NA
full,medium,106,50,1,FALSE,10,2.8130000000000166,24.64099999999999,27.454000000000008,386.4307549289715,xgboost,42110,42111,NA
full,medium,106,50,7,TRUE,1,2.368000000000052,23.613999999999976,25.982000000000028,386.5890985355641,xgboost,42701,42702,NA
full,medium,106,50,7,TRUE,2,2.105000000000018,23.68599999999998,25.790999999999997,386.5890985355641,xgboost,42702,42703,NA
full,medium,106,50,7,TRUE,3,2.1210000000000377,23.718999999999994,25.840000000000032,386.5890985355641,xgboost,42703,42704,NA
full,medium,106,50,7,TRUE,4,2.0229999999999677,23.754999999999995,25.777999999999963,387.10192458754466,xgboost,42704,42705,NA
full,medium,106,50,7,TRUE,5,1.9119999999999777,23.849000000000046,25.761000000000024,387.10192458754466,xgboost,42705,42706,NA
full,medium,106,50,7,TRUE,6,1.8910000000000196,24.074000000000012,25.965000000000032,386.9366602104599,xgboost,42706,42707,NA
full,medium,106,50,7,TRUE,7,2.75,23.916999999999973,26.666999999999973,391.61170263433723,xgboost,42707,42708,NA
full,medium,106,50,7,TRUE,8,2.4490000000000123,23.803999999999974,26.252999999999986,384.6984928301653,xgboost,42708,42709,NA
full,medium,106,50,7,TRUE,9,2.302000000000021,23.62700000000001,25.92900000000003,384.6984928301653,xgboost,42709,42710,NA
full,medium,106,50,7,TRUE,10,2.3290000000000077,23.585000000000036,25.914000000000044,384.6984928301653,xgboost,42710,42711,NA
full,win200,207,75,1,FALSE,1,7.392000000000053,35.87900000000002,43.27100000000007,758.7062098596698,xgboost,43101,43102,NA
full,win200,207,75,1,FALSE,2,7.639999999999986,35.99000000000001,43.629999999999995,764.678922433656,xgboost,43102,43103,NA
full,win200,207,75,1,FALSE,3,7.7159999999998945,35.88300000000004,43.59899999999993,755.5353661766814,xgboost,43103,43104,NA
full,win200,207,75,1,FALSE,4,6.67999999999995,36.16700000000003,42.84699999999998,769.2593693884255,xgboost,43104,43105,NA
full,win200,207,75,1,FALSE,5,6.3250000000000455,36.10699999999997,42.432000000000016,762.8482148551905,xgboost,43105,43106,NA
full,win200,207,75,1,FALSE,6,6.975000000000023,36.16000000000008,43.135000000000105,769.2593693884255,xgboost,43106,43107,NA
full,win200,207,75,1,FALSE,7,10.076999999999998,36.277000000000044,46.35400000000004,765.2007321736667,xgboost,43107,43108,NA
full,win200,207,75,1,FALSE,8,8.907000000000039,36.077999999999975,44.985000000000014,769.2699467254031,xgboost,43108,43109,NA
full,win200,207,75,1,FALSE,9,7.844000000000051,36.12800000000004,43.972000000000094,769.2699467254031,xgboost,43109,43110,NA
full,win200,207,75,1,FALSE,10,7.620999999999981,35.78500000000008,43.40600000000006,771.9801697146643,xgboost,43110,43111,NA
full,win200,207,75,7,TRUE,1,5.6340000000000146,35.23000000000002,40.86400000000003,763.8126359292407,xgboost,43701,43702,NA
full,win200,207,75,7,TRUE,2,4.057000000000016,35.374000000000024,39.43100000000004,763.8126359292407,xgboost,43702,43703,NA
full,win200,207,75,7,TRUE,3,5.670000000000073,35.424999999999955,41.09500000000003,756.0209065874958,xgboost,43703,43704,NA
full,win200,207,75,7,TRUE,4,4.72199999999998,35.53600000000006,40.25800000000004,754.7523133000922,xgboost,43704,43705,NA
full,win200,207,75,7,TRUE,5,4.7810000000001764,35.278999999999996,40.06000000000017,754.7523133000922,xgboost,43705,43706,NA
full,win200,207,75,7,TRUE,6,4.699000000000069,35.61500000000001,40.31400000000008,754.7523133000922,xgboost,43706,43707,NA
full,win200,207,75,7,TRUE,7,5.451000000000022,35.14899999999989,40.59999999999991,754.7523133000922,xgboost,43707,43708,NA
full,win200,207,75,7,TRUE,8,3.7170000000000982,35.50499999999988,39.22199999999998,771.3471118085542,xgboost,43708,43709,NA
full,win200,207,75,7,TRUE,9,5.470000000000027,35.65599999999995,41.125999999999976,771.3471118085542,xgboost,43709,43710,NA
full,win200,207,75,7,TRUE,10,3.5399999999999636,35.73700000000008,39.277000000000044,771.3471118085542,xgboost,43710,43711,NA
