N.row,expr,time
10,cdata::rowrecs_to_blocks,55857400
10,stats::reshape,7442040
10,cdata::rowrecs_to_blocks,27087000
10,stats::reshape,5044600
10,tidyr::pivot_longer,45107480
10,data.table::melt,3695240
10,nc::capture_melt_multiple,28225440
10,cdata::rowrecs_to_blocks,38585560
10,tidyr::pivot_longer,23914520
10,data.table::melt,3014080
10,data.table::melt,2848480
10,cdata::rowrecs_to_blocks,55626840
10,data.table::melt,2789800
10,stats::reshape,6937160
10,data.table::melt,2721040
10,nc::capture_melt_multiple,16136040
10,nc::capture_melt_multiple,16092760
10,stats::reshape,7050120
10,nc::capture_melt_multiple,16278200
10,stats::reshape,7599040
10,nc::capture_melt_multiple,16707320
10,data.table::melt,2785320
10,nc::capture_melt_multiple,16212720
10,tidyr::pivot_longer,14173160
10,stats::reshape,6938160
10,tidyr::pivot_longer,14237800
10,tidyr::pivot_longer,14126440
10,cdata::rowrecs_to_blocks,37499920
10,cdata::rowrecs_to_blocks,26015840
10,stats::reshape,4833880
10,tidyr::pivot_longer,10094960
10,data.table::melt,1972000
10,cdata::rowrecs_to_blocks,26166480
10,nc::capture_melt_multiple,12643880
10,nc::capture_melt_multiple,11408520
10,tidyr::pivot_longer,10127280
10,tidyr::pivot_longer,10007240
10,tidyr::pivot_longer,10081400
10,stats::reshape,4875440
10,tidyr::pivot_longer,10091840
10,cdata::rowrecs_to_blocks,34426080
10,cdata::rowrecs_to_blocks,36819240
10,data.table::melt,2782520
10,stats::reshape,6944320
10,data.table::melt,2732880
10,cdata::rowrecs_to_blocks,37569880
10,stats::reshape,6927600
10,nc::capture_melt_multiple,17615840
10,nc::capture_melt_multiple,16291840
10,data.table::melt,2790840
31,cdata::rowrecs_to_blocks,26537920
31,tidyr::pivot_longer,10424320
31,nc::capture_melt_multiple,11495640
31,cdata::rowrecs_to_blocks,33877080
31,cdata::rowrecs_to_blocks,38208440
31,cdata::rowrecs_to_blocks,39242600
31,stats::reshape,7306040
31,cdata::rowrecs_to_blocks,48298080
31,stats::reshape,7062640
31,data.table::melt,2741840
31,tidyr::pivot_longer,14259400
31,nc::capture_melt_multiple,16318840
31,tidyr::pivot_longer,14294200
31,data.table::melt,3023000
31,stats::reshape,7702880
31,data.table::melt,3057640
31,nc::capture_melt_multiple,16767320
31,stats::reshape,7039960
31,nc::capture_melt_multiple,16412440
31,nc::capture_melt_multiple,16565840
31,nc::capture_melt_multiple,16401920
31,cdata::rowrecs_to_blocks,39132640
31,nc::capture_melt_multiple,26729440
31,cdata::rowrecs_to_blocks,37063000
31,nc::capture_melt_multiple,11502680
31,tidyr::pivot_longer,10972800
31,data.table::melt,2059360
31,tidyr::pivot_longer,10244560
31,data.table::melt,1976960
31,data.table::melt,1844480
31,tidyr::pivot_longer,10119680
31,data.table::melt,2020600
31,nc::capture_melt_multiple,11490040
31,stats::reshape,4900400
31,stats::reshape,4805720
31,stats::reshape,4767200
31,data.table::melt,1951760
31,cdata::rowrecs_to_blocks,26717560
31,tidyr::pivot_longer,11085200
31,tidyr::pivot_longer,24740800
31,data.table::melt,2825000
31,cdata::rowrecs_to_blocks,37651920
31,stats::reshape,7020880
31,cdata::rowrecs_to_blocks,38740160
31,nc::capture_melt_multiple,16377560
31,tidyr::pivot_longer,14362400
31,data.table::melt,2867440
31,stats::reshape,7088120
31,tidyr::pivot_longer,14381120
31,stats::reshape,7304600
100,data.table::melt,2225680
100,data.table::melt,1843680
100,nc::capture_melt_multiple,11503400
100,stats::reshape,5100080
100,tidyr::pivot_longer,10111040
100,tidyr::pivot_longer,10066920
100,cdata::rowrecs_to_blocks,26424760
100,tidyr::pivot_longer,10240240
100,nc::capture_melt_multiple,11557200
100,tidyr::pivot_longer,11752120
100,stats::reshape,7426560
100,nc::capture_melt_multiple,16391040
100,data.table::melt,2771920
100,cdata::rowrecs_to_blocks,38295160
100,stats::reshape,7349280
100,data.table::melt,2825240
100,stats::reshape,17018360
100,data.table::melt,3041200
100,data.table::melt,2816720
100,stats::reshape,7754000
100,tidyr::pivot_longer,14329360
100,data.table::melt,2872280
100,stats::reshape,7243440
100,cdata::rowrecs_to_blocks,37865840
100,data.table::melt,2860160
100,nc::capture_melt_multiple,16410960
100,stats::reshape,7485760
100,nc::capture_melt_multiple,17482760
100,tidyr::pivot_longer,14403160
100,cdata::rowrecs_to_blocks,37973520
100,nc::capture_melt_multiple,16532760
100,tidyr::pivot_longer,15029360
100,nc::capture_melt_multiple,27509840
100,nc::capture_melt_multiple,16237160
100,stats::reshape,7222680
100,tidyr::pivot_longer,14202600
100,cdata::rowrecs_to_blocks,38203560
100,cdata::rowrecs_to_blocks,34827960
100,stats::reshape,5126760
100,stats::reshape,4885760
100,cdata::rowrecs_to_blocks,26456360
100,tidyr::pivot_longer,10365520
100,cdata::rowrecs_to_blocks,36217440
100,cdata::rowrecs_to_blocks,29430600
100,nc::capture_melt_multiple,16348360
100,nc::capture_melt_multiple,16312200
100,data.table::melt,2787880
100,tidyr::pivot_longer,13607560
100,data.table::melt,2227480
100,cdata::rowrecs_to_blocks,26829920
316,cdata::rowrecs_to_blocks,27969000
316,nc::capture_melt_multiple,12900480
316,cdata::rowrecs_to_blocks,27426160
316,nc::capture_melt_multiple,11653920
316,tidyr::pivot_longer,10345840
316,data.table::melt,2058480
316,cdata::rowrecs_to_blocks,28123640
316,data.table::melt,2089360
316,cdata::rowrecs_to_blocks,38588320
316,tidyr::pivot_longer,14553080
316,tidyr::pivot_longer,14394880
316,stats::reshape,8139880
316,cdata::rowrecs_to_blocks,40499760
316,nc::capture_melt_multiple,16650760
316,tidyr::pivot_longer,14525240
316,cdata::rowrecs_to_blocks,39624120
316,nc::capture_melt_multiple,16798640
316,stats::reshape,8931400
316,data.table::melt,2929280
316,data.table::melt,2666040
316,stats::reshape,8208920
316,stats::reshape,7989800
316,tidyr::pivot_longer,14579640
316,data.table::melt,2921920
316,nc::capture_melt_multiple,26704920
316,cdata::rowrecs_to_blocks,40371080
316,tidyr::pivot_longer,14627840
316,nc::capture_melt_multiple,16545160
316,tidyr::pivot_longer,14509920
316,tidyr::pivot_longer,13540360
316,nc::capture_melt_multiple,11629000
316,nc::capture_melt_multiple,11684240
316,data.table::melt,1998920
316,data.table::melt,2168760
316,stats::reshape,6378720
316,cdata::rowrecs_to_blocks,27766480
316,nc::capture_melt_multiple,11789520
316,stats::reshape,5674320
316,stats::reshape,13998680
316,cdata::rowrecs_to_blocks,27331760
316,data.table::melt,1998320
316,tidyr::pivot_longer,13756120
316,nc::capture_melt_multiple,16671800
316,stats::reshape,8029880
316,stats::reshape,7891800
316,stats::reshape,7859440
316,data.table::melt,2803400
316,cdata::rowrecs_to_blocks,39582440
316,data.table::melt,2907960
316,tidyr::pivot_longer,15629240
1000,data.table::melt,2615120
1000,nc::capture_melt_multiple,12218160
1000,tidyr::pivot_longer,10755880
1000,stats::reshape,9165320
1000,cdata::rowrecs_to_blocks,30849920
1000,data.table::melt,2138240
1000,tidyr::pivot_longer,10770840
1000,tidyr::pivot_longer,14388800
1000,data.table::melt,3014960
1000,tidyr::pivot_longer,16279000
1000,stats::reshape,12079640
1000,nc::capture_melt_multiple,17281360
1000,tidyr::pivot_longer,15311960
1000,tidyr::pivot_longer,15458840
1000,stats::reshape,12094840
1000,nc::capture_melt_multiple,17791920
1000,nc::capture_melt_multiple,21063400
1000,nc::capture_melt_multiple,27718800
1000,stats::reshape,11863960
1000,tidyr::pivot_longer,15176760
1000,stats::reshape,11894680
1000,cdata::rowrecs_to_blocks,45347600
1000,data.table::melt,3079400
1000,stats::reshape,11855440
1000,tidyr::pivot_longer,15053880
1000,nc::capture_melt_multiple,17077040
1000,stats::reshape,11815200
1000,cdata::rowrecs_to_blocks,46351200
1000,nc::capture_melt_multiple,17615200
1000,nc::capture_melt_multiple,12783920
1000,stats::reshape,8902040
1000,data.table::melt,2411560
1000,cdata::rowrecs_to_blocks,40390600
1000,tidyr::pivot_longer,10875320
1000,data.table::melt,2117240
1000,cdata::rowrecs_to_blocks,30734080
1000,nc::capture_melt_multiple,12008120
1000,cdata::rowrecs_to_blocks,42779880
1000,data.table::melt,3079360
1000,stats::reshape,12019880
1000,tidyr::pivot_longer,15257800
1000,stats::reshape,11954120
1000,data.table::melt,3020560
1000,cdata::rowrecs_to_blocks,55995880
1000,data.table::melt,3062600
1000,nc::capture_melt_multiple,16993040
1000,cdata::rowrecs_to_blocks,44415240
1000,data.table::melt,3039040
1000,cdata::rowrecs_to_blocks,45517720
1000,cdata::rowrecs_to_blocks,45008000
3162,nc::capture_melt_multiple,13170000
3162,nc::capture_melt_multiple,12992200
3162,tidyr::pivot_longer,16252760
3162,tidyr::pivot_longer,16755440
3162,cdata::rowrecs_to_blocks,63987760
3162,cdata::rowrecs_to_blocks,63308200
3162,data.table::melt,3915840
3162,stats::reshape,27623040
3162,stats::reshape,27945920
3162,stats::reshape,26916200
3162,stats::reshape,26896320
3162,tidyr::pivot_longer,18275120
3162,nc::capture_melt_multiple,20167080
3162,cdata::rowrecs_to_blocks,73995160
3162,nc::capture_melt_multiple,18483040
3162,nc::capture_melt_multiple,19421440
3162,data.table::melt,3445000
3162,tidyr::pivot_longer,16743680
3162,cdata::rowrecs_to_blocks,61767560
3162,nc::capture_melt_multiple,19496680
3162,cdata::rowrecs_to_blocks,45894120
3162,data.table::melt,2523240
3162,stats::reshape,17747040
3162,data.table::melt,2558960
3162,stats::reshape,18687480
3162,tidyr::pivot_longer,22454040
3162,cdata::rowrecs_to_blocks,60898440
3162,tidyr::pivot_longer,17353280
3162,data.table::melt,3785280
3162,nc::capture_melt_multiple,18411400
3162,cdata::rowrecs_to_blocks,62013800
3162,tidyr::pivot_longer,17550240
3162,tidyr::pivot_longer,16958760
3162,nc::capture_melt_multiple,18419200
3162,cdata::rowrecs_to_blocks,63147920
3162,data.table::melt,14592120
3162,data.table::melt,3314760
