N.rep,data.type,N.col,expr,time
1,data.table,88,data.table::melt-4,2791560
1,data.table,88,nc::capture_melt_single-0,4171080
1,data.table,88,data.table::melt-0,643400
1,data.table,88,stats::reshape-0,67400920
1,data.table,88,stats::reshape-4,92720680
1,data.table,88,tidyr::pivot_longer-0,10751600
1,data.table,88,tidyr::pivot_longer-4,11365520
1,data.table,88,nc::capture_melt_single-4,4161760
1,data.table,88,tidyr::pivot_longer-4,11958120
1,data.table,88,reshape2::melt-0,4106280
1,data.table,88,cdata::unpivot_to_blocks-4,36596800
1,data.table,88,tidyr::gather-0,7566800
1,data.table,88,data.table::melt-4,2941120
1,data.table,88,nc::capture_melt_single-4,4075760
1,data.table,88,reshape2::melt-4,12878120
1,data.table,88,utils::stack-4,13299720
1,data.table,88,reshape2::melt-0,3739040
1,data.table,88,cdata::unpivot_to_blocks-0,27787560
1,data.table,88,nc::capture_melt_single-0,3521680
1,data.table,88,tidyr::gather-4,16654840
1,data.table,88,nc::capture_melt_single-4,4134240
1,data.table,88,utils::stack-0,15519800
1,data.table,88,tidyfast::dt_pivot_longer-4,22194240
1,data.table,88,reshape2::melt-4,15726200
1,data.table,88,tidyfast::dt_pivot_longer-0,739000
1,data.table,88,cdata::unpivot_to_blocks-0,27161680
1,data.table,88,tidyfast::dt_pivot_longer-4,22434880
1,data.table,88,stats::reshape-4,77848040
1,data.table,88,reshape2::melt-0,3530840
1,data.table,88,utils::stack-4,12746760
1,data.table,88,nc::capture_melt_single-4,3937680
1,data.table,88,cdata::unpivot_to_blocks-0,25807760
1,data.table,88,cdata::unpivot_to_blocks-4,34905440
1,data.table,88,utils::stack-0,4371720
1,data.table,88,tidyfast::dt_pivot_longer-0,734720
1,data.table,88,cdata::unpivot_to_blocks-4,34872520
1,data.table,88,cdata::unpivot_to_blocks-4,36082000
1,data.table,88,data.table::melt-0,764720
1,data.table,88,utils::stack-0,3305680
1,data.table,88,utils::stack-0,3196200
1,data.table,88,tidyr::pivot_longer-0,10981880
1,data.table,88,reshape2::melt-4,13381040
1,data.table,88,utils::stack-4,13503760
1,data.table,88,reshape2::melt-4,24473720
1,data.table,88,utils::stack-0,3403400
1,data.table,88,reshape2::melt-0,3896840
1,data.table,88,cdata::unpivot_to_blocks-0,26005760
1,data.table,88,stats::reshape-4,78133000
1,data.table,88,utils::stack-4,12557920
1,data.table,88,reshape2::melt-4,12456520
1,data.table,88,tidyr::pivot_longer-4,11304240
1,data.table,88,tidyr::gather-4,17098520
1,data.table,88,tidyr::gather-4,16320800
1,data.table,88,stats::reshape-4,76722520
1,data.table,88,tidyr::pivot_longer-4,12024880
1,data.table,88,data.table::melt-4,2392760
1,data.table,88,tidyr::gather-4,16486480
1,data.table,88,tidyfast::dt_pivot_longer-4,22931560
1,data.table,88,tidyr::gather-0,7324520
1,data.table,88,data.table::melt-0,755160
1,data.table,88,reshape2::melt-4,12691040
1,data.table,88,tidyr::pivot_longer-0,10474600
1,data.table,88,stats::reshape-0,82275520
1,data.table,88,nc::capture_melt_single-0,3330320
1,data.table,88,nc::capture_melt_single-0,3193840
1,data.table,88,tidyr::pivot_longer-4,11085560
1,data.table,88,tidyfast::dt_pivot_longer-0,687080
1,data.table,88,tidyr::pivot_longer-4,11307360
1,data.table,88,reshape2::melt-4,13866960
1,data.table,88,stats::reshape-0,68688920
1,data.table,88,reshape2::melt-0,3581320
1,data.table,88,stats::reshape-4,78309400
1,data.table,88,cdata::unpivot_to_blocks-4,34593960
1,data.table,88,stats::reshape-0,84243680
1,data.table,88,tidyfast::dt_pivot_longer-4,22314320
1,data.table,88,data.table::melt-0,895880
1,data.table,88,utils::stack-0,4022440
1,data.table,88,nc::capture_melt_single-0,3416680
1,data.table,88,cdata::unpivot_to_blocks-4,34888640
1,data.table,88,reshape2::melt-0,3534960
1,data.table,88,reshape2::melt-4,12310360
1,data.table,88,tidyr::pivot_longer-4,11224800
1,data.table,88,nc::capture_melt_single-0,3416360
1,data.table,88,tidyfast::dt_pivot_longer-0,630920
1,data.table,88,tidyfast::dt_pivot_longer-4,22340080
1,data.table,88,tidyfast::dt_pivot_longer-0,834800
1,data.table,88,tidyr::gather-0,8217680
1,data.table,88,data.table::melt-4,2422320
1,data.table,88,data.table::melt-4,2291640
1,data.table,88,tidyr::gather-0,7238920
1,data.table,88,stats::reshape-0,69573760
1,data.table,88,tidyfast::dt_pivot_longer-0,666600
1,data.table,88,utils::stack-4,12997880
1,data.table,88,utils::stack-4,13874240
1,data.table,88,tidyr::gather-4,16587440
1,data.table,88,tidyfast::dt_pivot_longer-4,23300480
1,data.table,88,data.table::melt-0,758920
1,data.table,88,tidyfast::dt_pivot_longer-4,22667680
1,data.table,88,nc::capture_melt_single-0,3467720
1,data.table,88,cdata::unpivot_to_blocks-4,47673280
1,data.table,88,tidyr::gather-0,7220600
1,data.table,88,reshape2::melt-4,12358600
1,data.table,88,nc::capture_melt_single-0,3430840
1,data.table,88,cdata::unpivot_to_blocks-4,34253680
1,data.table,88,nc::capture_melt_single-0,3466600
1,data.table,88,nc::capture_melt_single-4,3889440
1,data.table,88,nc::capture_melt_single-4,3814320
1,data.table,88,tidyr::pivot_longer-0,11864920
1,data.table,88,data.table::melt-4,2384040
1,data.table,88,tidyr::pivot_longer-4,11243760
1,data.table,88,reshape2::melt-4,12704080
1,data.table,88,cdata::unpivot_to_blocks-0,25648720
1,data.table,88,tidyr::gather-0,7186920
1,data.table,88,tidyr::pivot_longer-0,10420000
1,data.table,88,tidyr::pivot_longer-0,10567800
1,data.table,88,tidyr::gather-4,16788680
1,data.table,88,tidyr::pivot_longer-0,10626440
1,data.table,88,utils::stack-0,3311880
1,data.table,88,data.table::melt-0,677440
1,data.table,88,data.table::melt-4,2391240
1,data.table,88,stats::reshape-4,76503320
1,data.table,88,data.table::melt-0,756480
1,data.table,88,tidyr::pivot_longer-4,12470560
1,data.table,88,utils::stack-0,3316280
1,data.table,88,data.table::melt-0,674120
1,data.table,88,cdata::unpivot_to_blocks-4,35319960
1,data.table,88,nc::capture_melt_single-4,4151240
1,data.table,88,cdata::unpivot_to_blocks-0,37853960
1,data.table,88,reshape2::melt-0,3565680
1,data.table,88,utils::stack-4,13566560
1,data.table,88,stats::reshape-4,77541040
1,data.table,88,tidyfast::dt_pivot_longer-4,23440000
1,data.table,88,stats::reshape-0,67396800
1,data.table,88,tidyr::pivot_longer-0,10443880
1,data.table,88,tidyfast::dt_pivot_longer-0,683080
1,data.table,88,cdata::unpivot_to_blocks-0,27078840
1,data.table,88,tidyr::gather-0,10437560
1,data.table,88,stats::reshape-0,67771400
1,data.table,88,stats::reshape-0,81536840
1,data.table,88,stats::reshape-0,69619480
1,data.table,88,tidyfast::dt_pivot_longer-0,671480
1,data.table,88,nc::capture_melt_single-4,3987680
1,data.table,88,tidyfast::dt_pivot_longer-0,632320
1,data.table,88,tidyr::pivot_longer-0,10581320
1,data.table,88,tidyr::gather-4,15994760
1,data.table,88,utils::stack-4,12750280
1,data.table,88,stats::reshape-0,75075000
1,data.table,88,cdata::unpivot_to_blocks-0,26309640
1,data.table,88,tidyr::pivot_longer-0,12498320
1,data.table,88,nc::capture_melt_single-4,5106800
1,data.table,88,tidyfast::dt_pivot_longer-4,27104080
1,data.table,88,nc::capture_melt_single-4,5766880
1,data.table,88,tidyr::gather-4,32924360
1,data.table,88,tidyfast::dt_pivot_longer-4,25566280
1,data.table,88,utils::stack-4,19895600
1,data.table,88,stats::reshape-4,92959440
1,data.table,88,reshape2::melt-0,3721360
1,data.table,88,data.table::melt-0,802840
1,data.table,88,stats::reshape-4,91883640
1,data.table,88,cdata::unpivot_to_blocks-0,28711280
1,data.table,88,tidyr::pivot_longer-4,15813240
1,data.table,88,tidyr::gather-0,7367680
1,data.table,88,utils::stack-0,3435680
1,data.table,88,stats::reshape-4,79202840
1,data.table,88,data.table::melt-4,14880920
1,data.table,88,utils::stack-4,12618320
1,data.table,88,reshape2::melt-0,3529240
1,data.table,88,cdata::unpivot_to_blocks-4,34496040
1,data.table,88,cdata::unpivot_to_blocks-0,25990640
1,data.table,88,tidyr::gather-4,15903120
1,data.table,88,utils::stack-0,3355840
1,data.table,88,reshape2::melt-0,3523200
1,data.table,88,tidyr::gather-4,15928360
1,data.table,88,data.table::melt-0,775000
1,data.table,88,data.table::melt-4,2242760
1,data.table,88,tidyr::gather-0,7127840
1,data.table,88,nc::capture_melt_single-0,3434080
1,data.table,88,tidyr::gather-0,7126280
1,data.table,88,data.table::melt-4,2370920
1,data.table,88,tidyfast::dt_pivot_longer-0,624360
3,data.table,172,reshape2::melt-0,6803240
3,data.table,172,cdata::unpivot_to_blocks-4,49024120
