INFO [2022-09-13 13:53:09] working directory : /home/mitchell/github/articles/Proofs/2020-2/2019-109
INFO [2022-09-13 13:53:09] file name : kasprzak.tex
INFO [2022-09-13 13:53:09] Stage-01 | including Style File to : RJwrapper.tex
INFO [2022-09-13 13:53:09] Stage-01 | Style File :  Metafix.sty
INFO [2022-09-13 13:53:09] Stage-01 | Included Style File :  Metafix.sty
INFO [2022-09-13 13:53:09] Stage-02 | aggregating Bibliography using :  rebib
INFO [2022-09-13 13:53:09] Stage-02 | Check rebib logs for more info
INFO [2022-09-13 13:53:09] Stage-03 | converting Images to png
INFO [2022-09-13 13:53:10] Stage-03 | converted pdf files to png
INFO [2022-09-13 13:53:10] Stage-04 | Patching Code Env
INFO [2022-09-13 13:53:10] Stage-04 | Patched Code Env
INFO [2022-09-13 13:53:10] Stage-05 | Patching Table Env
INFO [2022-09-13 13:53:10] Stage-05 | Patched Table Env
INFO [2022-09-13 13:53:10] Stage-06 | Patching Figure Env
INFO [2022-09-13 13:53:10] Stage-06 | Patched Figure Env
INFO [2022-09-13 13:53:10] Stage-07 | Converting LaTeX to Markdown
INFO [2022-09-13 13:53:11] Stage-07 | Converted LaTeX to Markdown
INFO [2022-09-13 13:53:11] Stage-08 | Copying Dependencies to /web
INFO [2022-09-13 13:53:12] Stage-08 | Copied Dependencies to /web
INFO [2022-09-13 13:53:12] Stage-09 | Creating R-markdown File to /web
INFO [2022-09-13 13:53:12] Stage-09 | Created R-markdown File to /web
INFO [2022-09-13 13:53:12] Stage-10 | Knitting Rmd to html
INFO [2022-09-13 13:53:15] Stage-10 | Knitted Rmd to html
INFO [2022-09-13 14:13:45] working directory : /home/mitchell/github/articles/Proofs/2020-2/2019-109
INFO [2022-09-13 14:13:45] file name : kasprzak.tex
INFO [2022-09-13 14:13:45] Stage-01 | including Style File to : RJwrapper.tex
INFO [2022-09-13 14:13:45] Stage-01 | Style File :  Metafix.sty
INFO [2022-09-13 14:13:45] Stage-01 | Included Style File :  Metafix.sty
INFO [2022-09-13 14:13:45] Stage-02 | aggregating Bibliography using :  rebib
INFO [2022-09-13 14:13:45] Stage-02 | Check rebib logs for more info
INFO [2022-09-13 14:13:45] Stage-03 | converting Images to png
INFO [2022-09-13 14:13:45] Stage-03 | converted pdf files to png
INFO [2022-09-13 14:13:46] Stage-04 | Patching Code Env
INFO [2022-09-13 14:13:46] Stage-04 | Patched Code Env
INFO [2022-09-13 14:13:46] Stage-05 | Patching Table Env
INFO [2022-09-13 14:13:46] Stage-05 | Patched Table Env
INFO [2022-09-13 14:13:46] Stage-06 | Patching Figure Env
INFO [2022-09-13 14:13:46] Stage-06 | Patched Figure Env
INFO [2022-09-13 14:13:46] Stage-07 | Converting LaTeX to Markdown
INFO [2022-09-13 14:13:47] Stage-07 | Converted LaTeX to Markdown
INFO [2022-09-13 14:13:47] Stage-08 | Copying Dependencies to /web
INFO [2022-09-13 14:13:47] Stage-08 | Copied Dependencies to /web
INFO [2022-09-13 14:13:47] Stage-09 | Creating R-markdown File to /web
INFO [2022-09-13 14:13:47] Stage-09 | Created R-markdown File to /web
INFO [2022-09-13 14:13:47] Stage-10 | Knitting Rmd to html
INFO [2022-09-13 14:13:53] Stage-10 | Knitted Rmd to html
INFO [2022-09-13 14:14:32] working directory : /home/mitchell/github/articles/Proofs/2020-2/2019-109
INFO [2022-09-13 14:14:32] file name : kasprzak.tex
INFO [2022-09-13 14:14:32] Stage-01 | including Style File to : RJwrapper.tex
INFO [2022-09-13 14:14:32] Stage-01 | Style File :  Metafix.sty
INFO [2022-09-13 14:14:32] Stage-01 | Included Style File :  Metafix.sty
INFO [2022-09-13 14:14:32] Stage-02 | aggregating Bibliography using :  rebib
INFO [2022-09-13 14:14:32] Stage-02 | Check rebib logs for more info
INFO [2022-09-13 14:14:32] Stage-03 | converting Images to png
INFO [2022-09-13 14:14:32] Stage-03 | converted pdf files to png
INFO [2022-09-13 14:14:32] Stage-04 | Patching Code Env
INFO [2022-09-13 14:14:32] Stage-04 | Patched Code Env
INFO [2022-09-13 14:14:32] Stage-05 | Patching Table Env
INFO [2022-09-13 14:14:32] Stage-05 | Patched Table Env
INFO [2022-09-13 14:14:32] Stage-06 | Patching Figure Env
INFO [2022-09-13 14:14:32] Stage-06 | Patched Figure Env
INFO [2022-09-13 14:14:32] Stage-07 | Converting LaTeX to Markdown
INFO [2022-09-13 14:14:33] Stage-07 | Converted LaTeX to Markdown
INFO [2022-09-13 14:14:33] Stage-08 | Copying Dependencies to /web
INFO [2022-09-13 14:14:33] Stage-08 | Copied Dependencies to /web
INFO [2022-09-13 14:14:33] Stage-09 | Creating R-markdown File to /web
INFO [2022-09-13 14:14:33] Stage-09 | Created R-markdown File to /web
INFO [2022-09-13 14:14:33] Stage-10 | Knitting Rmd to html
INFO [2022-09-13 14:14:35] Stage-10 | Knitted Rmd to html
