N.rep,N.col,expr,time
0,9,cdata::rowrecs_to_blocks,58053440
0,9,nc::capture_melt_multiple,19469320
0,9,cdata::rowrecs_to_blocks,27313200
0,9,nc::capture_melt_multiple,11740160
0,9,stats::reshape,19887680
0,9,stats::reshape,16388480
0,9,cdata::rowrecs_to_blocks,27016640
0,9,stats::reshape,16359440
0,9,nc::capture_melt_multiple,11831960
0,9,stats::reshape,16494440
0,9,cdata::rowrecs_to_blocks,41044560
0,9,nc::capture_melt_multiple,11354920
0,9,tidyr::pivot_longer,53548080
0,9,cdata::rowrecs_to_blocks,26973640
0,9,cdata::rowrecs_to_blocks,26402360
0,9,data.table::melt,2355200
0,9,nc::capture_melt_multiple,11238560
0,9,tidyr::pivot_longer,16459160
0,9,stats::reshape,16381760
0,9,tidyr::pivot_longer,10514280
0,9,tidyr::pivot_longer,10187480
0,9,cdata::rowrecs_to_blocks,36453160
0,9,tidyr::pivot_longer,10262320
0,9,data.table::melt,1983960
0,9,data.table::melt,1821800
0,9,data.table::melt,1771320
0,9,tidyr::pivot_longer,10237480
0,9,data.table::melt,1988640
0,9,tidyr::pivot_longer,10260000
0,9,data.table::melt,2233200
0,9,data.table::melt,2101640
0,9,stats::reshape,16915840
0,9,tidyr::pivot_longer,10290320
0,9,tidyr::pivot_longer,10081000
0,9,tidyr::pivot_longer,10133840
0,9,stats::reshape,16047800
0,9,cdata::rowrecs_to_blocks,26385640
0,9,nc::capture_melt_multiple,12366280
0,9,cdata::rowrecs_to_blocks,34952080
0,9,stats::reshape,16121920
0,9,nc::capture_melt_multiple,11246040
0,9,data.table::melt,1958320
0,9,stats::reshape,16045880
0,9,nc::capture_melt_multiple,11204400
0,9,nc::capture_melt_multiple,12774800
0,9,stats::reshape,16008280
0,9,data.table::melt,1905240
0,9,cdata::rowrecs_to_blocks,26488040
0,9,nc::capture_melt_multiple,11441040
0,9,data.table::melt,2016040
1,9,nc::capture_melt_multiple,11698480
1,9,cdata::rowrecs_to_blocks,26525920
1,9,nc::capture_melt_multiple,11345680
1,9,data.table::melt,1932280
1,9,nc::capture_melt_multiple,11207680
1,9,tidyr::pivot_longer,10197600
1,9,tidyr::pivot_longer,11103560
1,9,cdata::rowrecs_to_blocks,26926200
1,9,data.table::melt,2032720
1,9,nc::capture_melt_multiple,11744000
1,9,data.table::melt,2020800
1,9,data.table::melt,1853920
1,9,stats::reshape,16581960
1,9,stats::reshape,16253640
1,9,cdata::rowrecs_to_blocks,36678920
1,9,cdata::rowrecs_to_blocks,26507640
1,9,data.table::melt,1978080
