capture groups,type conversions,N.rep,N.col,expr,time
3,0,0,9,nc::capture_melt_multiple,16736260
3,0,0,9,nc::capture_melt_multiple,7469563
3,0,0,9,nc::capture_melt_multiple,6841753
3,0,0,9,nc::capture_melt_multiple,6915537
3,0,0,9,nc::capture_melt_multiple,6849773
3,0,0,9,nc::capture_melt_multiple,6837903
3,0,0,9,nc::capture_melt_multiple,6834374
3,0,0,9,nc::capture_melt_multiple,6867096
3,0,0,9,nc::capture_melt_multiple,6860039
3,0,0,9,nc::capture_melt_multiple,6821222
3,0,0,9,tidyr::pivot_longer,11872255
3,0,0,9,tidyr::pivot_longer,2812796
3,0,0,9,tidyr::pivot_longer,2722009
3,0,0,9,tidyr::pivot_longer,2707251
3,0,0,9,tidyr::pivot_longer,2722009
3,0,0,9,tidyr::pivot_longer,5456849
3,0,0,9,tidyr::pivot_longer,2620956
3,0,0,9,tidyr::pivot_longer,2608124
3,0,0,9,tidyr::pivot_longer,2610049
3,0,0,9,tidyr::pivot_longer,2607162
3,0,0,9,data.table::melt,597014
3,0,0,9,data.table::melt,436934
3,0,0,9,data.table::melt,421214
3,0,0,9,data.table::melt,424101
3,0,0,9,data.table::melt,441746
3,0,0,9,data.table::melt,422498
3,0,0,9,data.table::melt,421215
3,0,0,9,data.table::melt,425705
3,0,0,9,data.table::melt,436292
3,0,0,9,data.table::melt,419289
3,0,0,9,stats::reshape,2047041
3,0,0,9,stats::reshape,79853804
3,0,0,9,stats::reshape,1228674
3,0,0,9,stats::reshape,1153285
3,0,0,9,stats::reshape,1152643
3,0,0,9,stats::reshape,1119280
3,0,0,9,stats::reshape,1119281
3,0,0,9,stats::reshape,1116073
3,0,0,9,stats::reshape,1160984
3,0,0,9,stats::reshape,1121205
3,0,0,9,cdata::rowrecs_to_blocks,78214184
3,0,0,9,cdata::rowrecs_to_blocks,9418117
3,0,0,9,cdata::rowrecs_to_blocks,11919733
3,0,0,9,cdata::rowrecs_to_blocks,9149605
3,0,0,9,cdata::rowrecs_to_blocks,9790248
3,0,0,9,cdata::rowrecs_to_blocks,9863390
3,0,0,9,cdata::rowrecs_to_blocks,9814308
3,0,0,9,cdata::rowrecs_to_blocks,11394900
3,0,0,9,cdata::rowrecs_to_blocks,9147680
3,0,0,9,cdata::rowrecs_to_blocks,9827461
3,0,1,9,nc::capture_melt_multiple,8450256
3,0,1,9,nc::capture_melt_multiple,7378135
3,0,1,9,nc::capture_melt_multiple,7331619
3,0,1,9,nc::capture_melt_multiple,7299859
3,0,1,9,nc::capture_melt_multiple,6880570
3,0,1,9,nc::capture_melt_multiple,6851056
3,0,1,9,nc::capture_melt_multiple,6853302
3,0,1,9,nc::capture_melt_multiple,6806465
3,0,1,9,nc::capture_melt_multiple,6976490
3,0,1,9,nc::capture_melt_multiple,6897572
3,0,1,9,tidyr::pivot_longer,3215724
3,0,1,9,tidyr::pivot_longer,3012976
3,0,1,9,tidyr::pivot_longer,2988275
3,0,1,9,tidyr::pivot_longer,2961006
3,0,1,9,tidyr::pivot_longer,3246521
3,0,1,9,tidyr::pivot_longer,3234009
3,0,1,9,tidyr::pivot_longer,3234651
3,0,1,9,tidyr::pivot_longer,3242350
3,0,1,9,tidyr::pivot_longer,3296886
3,0,1,9,tidyr::pivot_longer,3303303
