N.rows,expr,time
10,data.table::melt.new.sep,9658800
10,tidyr::pivot_longer,26196040
10,tidyr::pivot_longer,9722240
10,tidyr::pivot_longer,9595200
10,data.table::melt.old.set,1078560
10,data.table::melt.new.sep,7955080
10,data.table::melt.old.set,935920
10,data.table::melt.old.set,920520
10,data.table::melt.new.sep,8187960
10,data.table::melt.old.set,997080
10,data.table::melt.new.var_tab,245120
10,data.table::melt.new.pattern,8207200
10,data.table::melt.new.sep,8238720
10,data.table::melt.old.join,1917960
10,data.table::melt.new.pattern,9026120
10,data.table::melt.new.pattern,8302960
10,data.table::melt.new.var_tab,269280
10,data.table::melt.old.join,1927440
10,data.table::melt.new.var_tab,301400
10,tidyr::pivot_longer,10277360
10,data.table::melt.new.var_tab,361760
10,data.table::melt.old.set,1098680
10,data.table::melt.new.sep,8655640
10,data.table::melt.old.set,1008280
10,data.table::melt.old.join,1912680
10,data.table::melt.new.pattern,8545080
10,data.table::melt.old.set,1087560
10,tidyr::pivot_longer,10560320
10,data.table::melt.old.set,1345320
10,data.table::melt.old.set,1080120
10,data.table::melt.old.join,2205880
10,data.table::melt.new.var_tab,316840
10,tidyr::pivot_longer,11327640
10,data.table::melt.old.join,2277840
10,data.table::melt.new.pattern,9449040
10,data.table::melt.new.sep,9427680
10,tidyr::pivot_longer,11347720
10,data.table::melt.new.var_tab,356360
10,tidyr::pivot_longer,11281560
10,data.table::melt.old.join,2470600
10,data.table::melt.old.join,2394160
10,data.table::melt.new.sep,10116720
10,data.table::melt.new.sep,9691280
10,data.table::melt.new.pattern,9801000
10,data.table::melt.new.pattern,9706480
10,data.table::melt.old.join,2116040
10,data.table::melt.new.pattern,9784720
10,tidyr::pivot_longer,11503720
10,data.table::melt.new.pattern,9804640
10,data.table::melt.old.join,2078600
10,data.table::melt.new.var_tab,321320
10,data.table::melt.new.var_tab,295320
10,data.table::melt.new.var_tab,263840
10,data.table::melt.new.sep,9615520
10,data.table::melt.old.join,2094080
10,tidyr::pivot_longer,11765240
10,data.table::melt.new.pattern,10866320
10,data.table::melt.new.var_tab,302440
10,data.table::melt.new.sep,9809720
10,data.table::melt.old.set,1313520
31,data.table::melt.old.set,1296600
31,data.table::melt.old.set,923920
31,data.table::melt.new.pattern,8110120
31,data.table::melt.old.set,970440
31,data.table::melt.old.join,1747360
31,data.table::melt.new.var_tab,252680
