N.rep,data.type,N.col,expr,time
1,data.table,88,cdata::unpivot_to_blocks-0,55111080
1,data.table,88,utils::stack-4,26483400
1,data.table,88,stats::reshape-0,70296440
1,data.table,88,stats::reshape-4,96911120
1,data.table,88,tidyr::pivot_longer-4,30484800
1,data.table,88,nc::capture_melt_single-4,20117960
1,data.table,88,tidyfast::dt_pivot_longer-4,21008480
1,data.table,88,cdata::unpivot_to_blocks-0,25248320
1,data.table,88,utils::stack-4,12636000
1,data.table,88,stats::reshape-0,79961440
1,data.table,88,cdata::unpivot_to_blocks-0,24978520
1,data.table,88,nc::capture_melt_single-0,11028000
1,data.table,88,tidyr::pivot_longer-4,18571680
1,data.table,88,tidyfast::dt_pivot_longer-0,690240
1,data.table,88,cdata::unpivot_to_blocks-0,25963600
1,data.table,88,tidyfast::dt_pivot_longer-4,2093160
1,data.table,88,stats::reshape-0,77735680
1,data.table,88,reshape2::melt-0,4307520
1,data.table,88,utils::stack-4,12332640
1,data.table,88,data.table::melt-4,2285160
1,data.table,88,tidyfast::dt_pivot_longer-0,634800
1,data.table,88,reshape2::melt-0,3448080
1,data.table,88,reshape2::melt-4,12056160
1,data.table,88,tidyr::gather-0,10521480
1,data.table,88,stats::reshape-4,79700360
1,data.table,88,reshape2::melt-0,3607600
1,data.table,88,data.table::melt-0,654600
1,data.table,88,tidyfast::dt_pivot_longer-4,2103760
1,data.table,88,utils::stack-4,12681840
1,data.table,88,reshape2::melt-4,12541760
1,data.table,88,tidyr::pivot_longer-4,20376600
1,data.table,88,nc::capture_melt_single-0,11088640
1,data.table,88,stats::reshape-4,78669520
1,data.table,88,tidyr::gather-4,16344760
1,data.table,88,reshape2::melt-4,13606480
1,data.table,88,nc::capture_melt_single-0,11452720
1,data.table,88,cdata::unpivot_to_blocks-4,34411600
1,data.table,88,tidyr::gather-4,16241920
1,data.table,88,reshape2::melt-4,21001560
1,data.table,88,tidyr::pivot_longer-0,10447280
1,data.table,88,stats::reshape-4,78641800
1,data.table,88,nc::capture_melt_single-4,11717320
1,data.table,88,tidyfast::dt_pivot_longer-0,666240
