N.rows,expr,time
10,data.table::melt.new.pattern,6493760
10,data.table::melt.new.var_tab,291960
10,data.table::melt.new.var_tab,270360
10,tidyr::pivot_longer,11224440
10,tidyr::pivot_longer,11331560
10,data.table::melt.new.pattern,2259400
10,data.table::melt.new.pattern,2054240
10,data.table::melt.new.var_tab,303280
10,data.table::melt.new.pattern,1989120
10,data.table::melt.new.pattern,1813280
10,tidyr::pivot_longer,12664360
10,data.table::melt.old.join,2669000
10,data.table::melt.new.var_tab,311120
10,data.table::melt.old.join,2154640
10,tidyr::pivot_longer,12015520
10,data.table::melt.old.join,2351600
10,tidyr::pivot_longer,11347080
10,data.table::melt.new.pattern,2070080
10,tidyr::pivot_longer,11078200
10,tidyr::pivot_longer,11715400
10,data.table::melt.old.join,2371120
10,data.table::melt.new.var_tab,308120
10,data.table::melt.new.var_tab,264000
10,data.table::melt.new.var_tab,262720
10,data.table::melt.old.join,2486760
10,data.table::melt.old.join,2308440
10,tidyr::pivot_longer,11326160
10,data.table::melt.new.pattern,2109600
10,data.table::melt.old.join,2259840
10,data.table::melt.old.join,2512000
10,data.table::melt.new.var_tab,337880
10,data.table::melt.new.pattern,2114320
10,data.table::melt.new.var_tab,319160
10,data.table::melt.old.join,2256280
10,data.table::melt.old.join,2136320
10,tidyr::pivot_longer,11309920
10,data.table::melt.new.var_tab,378360
10,data.table::melt.new.pattern,1962000
10,data.table::melt.new.pattern,1827560
10,tidyr::pivot_longer,11242280
31,data.table::melt.new.pattern,2336000
31,data.table::melt.new.var_tab,307520
31,data.table::melt.old.join,2521600
31,data.table::melt.new.pattern,2046120
31,tidyr::pivot_longer,11401080
31,data.table::melt.old.join,2630440
31,data.table::melt.old.join,2971640
31,data.table::melt.old.join,2585160
31,data.table::melt.old.join,2385080
31,data.table::melt.new.pattern,2050080
31,data.table::melt.new.pattern,1930280
31,data.table::melt.new.pattern,2110640
31,data.table::melt.new.var_tab,316640
31,tidyr::pivot_longer,11453000
31,data.table::melt.new.pattern,2107440
31,data.table::melt.new.var_tab,348160
31,data.table::melt.new.var_tab,294280
31,data.table::melt.new.pattern,1897880
31,data.table::melt.new.pattern,1861720
31,data.table::melt.new.var_tab,301360
31,data.table::melt.old.join,2496120
31,data.table::melt.new.var_tab,337640
31,tidyr::pivot_longer,11626280
31,data.table::melt.old.join,2896840
31,data.table::melt.new.var_tab,364760
31,data.table::melt.new.var_tab,293080
31,data.table::melt.old.join,2496440
31,data.table::melt.old.join,2347720
31,tidyr::pivot_longer,11531880
31,data.table::melt.new.pattern,2103320
31,tidyr::pivot_longer,11410800
31,tidyr::pivot_longer,11199600
31,data.table::melt.new.var_tab,412680
31,data.table::melt.new.var_tab,295760
31,tidyr::pivot_longer,11190440
31,tidyr::pivot_longer,11183280
31,data.table::melt.old.join,2611080
31,tidyr::pivot_longer,11279600
31,data.table::melt.new.pattern,2116480
31,tidyr::pivot_longer,11442680
100,data.table::melt.new.var_tab,654520
100,tidyr::pivot_longer,11844040
100,data.table::melt.old.join,2867840
100,tidyr::pivot_longer,12452160
100,data.table::melt.old.join,2820280
100,data.table::melt.old.join,2771760
100,data.table::melt.new.pattern,2195080
100,data.table::melt.new.var_tab,406800
100,tidyr::pivot_longer,11815040
100,tidyr::pivot_longer,11604320
100,data.table::melt.new.var_tab,484960
100,data.table::melt.new.var_tab,394880
100,data.table::melt.old.join,2749160
100,data.table::melt.new.pattern,2156840
100,data.table::melt.new.pattern,1985120
100,data.table::melt.new.pattern,1949880
100,data.table::melt.old.join,2740360
100,data.table::melt.old.join,2591760
100,data.table::melt.new.var_tab,433480
100,data.table::melt.new.pattern,2114960
100,data.table::melt.new.var_tab,398120
100,tidyr::pivot_longer,11652480
100,data.table::melt.new.pattern,2214040
100,data.table::melt.old.join,2673080
100,data.table::melt.new.pattern,2135920
100,tidyr::pivot_longer,11608120
100,tidyr::pivot_longer,11791040
100,data.table::melt.new.pattern,2417280
100,data.table::melt.old.join,2945320
100,data.table::melt.new.var_tab,488720
100,tidyr::pivot_longer,11776040
100,data.table::melt.old.join,2829600
100,tidyr::pivot_longer,11821560
100,data.table::melt.new.var_tab,473480
100,data.table::melt.new.pattern,2118960
100,tidyr::pivot_longer,11844520
100,data.table::melt.old.join,2844520
100,data.table::melt.new.var_tab,438040
100,data.table::melt.new.var_tab,384920
100,data.table::melt.new.pattern,2143800
316,data.table::melt.old.join,3577400
316,data.table::melt.new.var_tab,795160
316,tidyr::pivot_longer,12899800
316,data.table::melt.new.pattern,2513840
316,data.table::melt.old.join,3320280
316,tidyr::pivot_longer,12827680
316,data.table::melt.new.var_tab,797880
316,data.table::melt.new.var_tab,659880
316,data.table::melt.new.pattern,2447960
316,data.table::melt.new.var_tab,734240
316,data.table::melt.new.pattern,2356840
316,data.table::melt.new.var_tab,677000
316,tidyr::pivot_longer,13621560
316,data.table::melt.old.join,3426440
316,data.table::melt.new.pattern,2465960
316,data.table::melt.new.var_tab,761040
316,tidyr::pivot_longer,13138080
316,data.table::melt.new.pattern,2475760
316,data.table::melt.new.var_tab,715120
316,data.table::melt.new.pattern,2337800
316,tidyr::pivot_longer,12999760
316,data.table::melt.new.pattern,2520040
316,data.table::melt.old.join,3335160
316,tidyr::pivot_longer,12800120
316,data.table::melt.new.pattern,2512320
316,data.table::melt.old.join,3316440
316,tidyr::pivot_longer,13866040
316,data.table::melt.new.pattern,2608360
316,tidyr::pivot_longer,13181800
316,data.table::melt.old.join,3580560
316,data.table::melt.old.join,3589360
316,data.table::melt.old.join,3454720
316,data.table::melt.old.join,3402120
316,data.table::melt.old.join,3366080
316,data.table::melt.new.pattern,2454360
316,data.table::melt.new.var_tab,660320
316,data.table::melt.new.var_tab,650080
316,tidyr::pivot_longer,13318880
316,data.table::melt.new.var_tab,755720
316,tidyr::pivot_longer,13282960
1000,data.table::melt.old.join,5624120
1000,data.table::melt.new.pattern,3897160
1000,data.table::melt.old.join,6136200
1000,data.table::melt.new.var_tab,1709440
1000,data.table::melt.new.pattern,3681600
1000,tidyr::pivot_longer,17739640
1000,data.table::melt.new.pattern,3783560
1000,data.table::melt.old.join,5981040
1000,data.table::melt.new.pattern,3888520
1000,tidyr::pivot_longer,19189320
1000,data.table::melt.new.var_tab,2077360
1000,data.table::melt.new.var_tab,2040480
1000,tidyr::pivot_longer,18924800
1000,tidyr::pivot_longer,18674960
1000,data.table::melt.old.join,6195760
1000,tidyr::pivot_longer,19045080
1000,data.table::melt.old.join,6616200
1000,data.table::melt.new.var_tab,2164800
1000,tidyr::pivot_longer,19230400
1000,data.table::melt.new.pattern,3926640
1000,data.table::melt.old.join,15599720
1000,data.table::melt.new.pattern,3455040
1000,tidyr::pivot_longer,16830760
1000,data.table::melt.new.var_tab,1771400
1000,data.table::melt.new.var_tab,1663320
1000,data.table::melt.new.pattern,3521320
1000,data.table::melt.old.join,5530480
1000,data.table::melt.old.join,5456360
1000,data.table::melt.new.var_tab,1762040
1000,data.table::melt.new.var_tab,1825240
1000,data.table::melt.new.var_tab,1886440
1000,data.table::melt.new.pattern,3487000
1000,data.table::melt.old.join,5728640
1000,data.table::melt.new.pattern,3743120
1000,tidyr::pivot_longer,17243400
1000,data.table::melt.new.var_tab,1714920
1000,tidyr::pivot_longer,22549800
1000,data.table::melt.new.pattern,3554760
1000,data.table::melt.old.join,5597400
1000,tidyr::pivot_longer,16823360
3162,data.table::melt.old.join,12477760
3162,data.table::melt.old.join,12459400
3162,data.table::melt.new.pattern,6715880
3162,tidyr::pivot_longer,29615480
3162,data.table::melt.new.var_tab,4946320
3162,data.table::melt.new.pattern,6718800
3162,data.table::melt.new.pattern,7391360
3162,data.table::melt.old.join,23831400
3162,data.table::melt.new.var_tab,5046920
3162,tidyr::pivot_longer,29977840
3162,tidyr::pivot_longer,35375680
3162,tidyr::pivot_longer,39189440
3162,data.table::melt.new.var_tab,4984280
3162,data.table::melt.new.var_tab,4970920
3162,data.table::melt.old.join,21032960
3162,tidyr::pivot_longer,29908320
3162,data.table::melt.new.pattern,14603080
3162,data.table::melt.new.var_tab,5413000
3162,data.table::melt.new.var_tab,16844960
3162,tidyr::pivot_longer,30030520
3162,data.table::melt.old.join,12509920
3162,data.table::melt.new.var_tab,4967480
3162,data.table::melt.new.var_tab,5036160
3162,data.table::melt.new.var_tab,4966080
3162,data.table::melt.new.pattern,16589400
3162,data.table::melt.new.pattern,6905680
3162,data.table::melt.old.join,13003240
3162,tidyr::pivot_longer,39557200
3162,data.table::melt.new.pattern,6742440
3162,data.table::melt.new.pattern,19269200
3162,data.table::melt.old.join,12470360
3162,tidyr::pivot_longer,30360240
3162,data.table::melt.old.join,21473840
3162,data.table::melt.new.pattern,6803760
3162,tidyr::pivot_longer,51058520
3162,data.table::melt.new.var_tab,5264200
3162,tidyr::pivot_longer,184157880
3162,data.table::melt.old.join,12550120
