N.rows,expr,time
10,tidyfast::dt_pivot_longer-4,19485600
10,stats::reshape-4,77586080
10,tidyr::pivot_longer-4,30586800
10,utils::stack-4,10535720
10,data.table::melt-0,966040
10,nc::capture_melt_single-0,15675280
10,reshape2::melt-4,4038640
10,data.table::melt-0,586480
10,cdata::unpivot_to_blocks-4,62840320
10,cdata::unpivot_to_blocks-4,29522280
10,nc::capture_melt_single-4,9373520
10,data.table::melt-0,526920
10,data.table::melt-0,441040
10,stats::reshape-0,44986480
10,stats::reshape-0,46299160
10,utils::stack-4,8542560
10,utils::stack-4,8458800
10,utils::stack-0,2769040
10,reshape2::melt-0,2679360
10,tidyfast::dt_pivot_longer-4,937440
10,tidyr::gather-0,24516040
10,reshape2::melt-0,2677520
10,tidyr::gather-4,6521880
10,nc::capture_melt_single-4,9324400
10,utils::stack-4,9196040
10,utils::stack-4,8755280
10,cdata::unpivot_to_blocks-4,29247800
10,nc::capture_melt_single-4,9314280
10,cdata::unpivot_to_blocks-4,28396960
10,utils::stack-0,2943720
10,tidyr::pivot_longer-0,9661880
10,tidyr::pivot_longer-4,10285120
10,cdata::unpivot_to_blocks-4,29424960
10,cdata::unpivot_to_blocks-0,31869920
10,reshape2::melt-0,2661600
10,data.table::melt-0,556400
10,stats::reshape-0,45149360
10,reshape2::melt-4,3352640
10,stats::reshape-4,51970320
10,data.table::melt-0,552680
10,reshape2::melt-4,3212440
10,tidyr::pivot_longer-0,9874320
10,tidyfast::dt_pivot_longer-0,647840
10,nc::capture_melt_single-0,8905600
10,reshape2::melt-0,11277800
10,tidyfast::dt_pivot_longer-0,661160
10,tidyfast::dt_pivot_longer-4,811040
10,data.table::melt-0,485400
10,tidyfast::dt_pivot_longer-4,768440
10,stats::reshape-0,51775120
10,cdata::unpivot_to_blocks-4,40962800
10,tidyfast::dt_pivot_longer-4,1343040
10,reshape2::melt-0,3912200
10,tidyr::pivot_longer-0,14113520
10,nc::capture_melt_single-4,14539760
10,cdata::unpivot_to_blocks-0,33790560
10,utils::stack-0,4184480
10,reshape2::melt-0,3930640
10,data.table::melt-4,1389640
10,data.table::melt-4,832000
10,tidyr::gather-0,6098960
10,stats::reshape-4,61617160
10,tidyr::pivot_longer-4,10308680
10,tidyr::gather-4,6398240
10,data.table::melt-4,998880
10,data.table::melt-4,825800
10,nc::capture_melt_single-0,8783600
10,cdata::unpivot_to_blocks-0,23245160
10,nc::capture_melt_single-0,8985840
10,stats::reshape-0,48285920
10,tidyfast::dt_pivot_longer-0,617840
10,tidyfast::dt_pivot_longer-0,507920
10,tidyfast::dt_pivot_longer-4,853320
10,reshape2::melt-0,11380280
10,tidyr::gather-4,6578320
10,utils::stack-4,8540760
10,tidyr::gather-4,6521200
10,tidyr::pivot_longer-0,13587840
10,utils::stack-0,4066640
10,cdata::unpivot_to_blocks-4,42361480
10,tidyr::pivot_longer-0,13756280
10,utils::stack-4,12559920
10,tidyfast::dt_pivot_longer-4,1290080
10,cdata::unpivot_to_blocks-0,33426680
10,nc::capture_melt_single-0,12840080
10,reshape2::melt-4,4837600
10,utils::stack-4,12420400
10,stats::reshape-4,59325440
10,tidyfast::dt_pivot_longer-0,601920
10,tidyr::pivot_longer-4,10272200
10,tidyfast::dt_pivot_longer-0,606640
10,utils::stack-0,2849240
10,tidyr::pivot_longer-0,10243320
10,data.table::melt-4,1046680
10,nc::capture_melt_single-4,9452200
10,tidyfast::dt_pivot_longer-4,899880
10,cdata::unpivot_to_blocks-0,23390600
10,tidyr::gather-4,6860400
10,tidyr::gather-0,5955200
10,data.table::melt-4,999160
10,tidyr::pivot_longer-4,10352840
10,tidyr::pivot_longer-4,10270000
10,tidyr::pivot_longer-4,10221120
10,tidyr::gather-0,5914160
10,utils::stack-0,2972480
10,reshape2::melt-4,3139720
10,nc::capture_melt_single-0,9914720
10,tidyr::gather-0,6401800
10,reshape2::melt-4,11939800
10,nc::capture_melt_single-0,8771840
10,nc::capture_melt_single-0,8600560
10,tidyr::pivot_longer-0,9651600
10,cdata::unpivot_to_blocks-4,36207440
10,stats::reshape-0,48248640
10,utils::stack-4,8580960
10,cdata::unpivot_to_blocks-4,28529360
10,nc::capture_melt_single-0,8930320
10,cdata::unpivot_to_blocks-0,51375920
10,tidyr::pivot_longer-4,10418360
10,stats::reshape-0,45233800
10,data.table::melt-0,546960
10,tidyr::gather-0,6050800
10,reshape2::melt-4,3193080
10,data.table::melt-4,953600
10,stats::reshape-4,53444960
10,reshape2::melt-4,3372720
10,stats::reshape-0,57471960
10,nc::capture_melt_single-4,13445480
10,nc::capture_melt_single-4,13833640
10,nc::capture_melt_single-4,14031600
10,cdata::unpivot_to_blocks-0,35597080
10,tidyr::gather-0,9132240
10,stats::reshape-0,68765960
10,data.table::melt-4,958960
10,cdata::unpivot_to_blocks-0,32970040
10,data.table::melt-4,972920
10,reshape2::melt-4,3337600
10,reshape2::melt-0,2800040
10,tidyr::gather-4,6931560
10,reshape2::melt-4,3141520
10,tidyr::pivot_longer-0,9904600
10,tidyr::gather-4,6729560
10,nc::capture_melt_single-4,9375160
10,tidyfast::dt_pivot_longer-0,579760
10,cdata::unpivot_to_blocks-0,23121640
10,stats::reshape-4,52191680
10,stats::reshape-4,60927880
10,utils::stack-0,2831880
10,nc::capture_melt_single-4,9258080
10,data.table::melt-4,923440
10,stats::reshape-0,61517040
10,reshape2::melt-0,4027560
10,tidyfast::dt_pivot_longer-0,870960
10,tidyfast::dt_pivot_longer-0,736560
10,tidyr::gather-0,8787280
10,reshape2::melt-0,3933000
10,tidyr::gather-4,9487320
10,stats::reshape-4,80463960
10,tidyr::pivot_longer-0,9667480
10,tidyfast::dt_pivot_longer-0,604280
10,tidyr::gather-4,6539920
10,tidyr::gather-0,5994200
10,tidyr::pivot_longer-4,10370520
10,data.table::melt-0,552840
10,cdata::unpivot_to_blocks-0,24302720
10,tidyr::pivot_longer-0,10385680
10,cdata::unpivot_to_blocks-4,29106400
10,tidyr::gather-4,6694480
10,data.table::melt-0,578880
10,utils::stack-0,2980720
10,tidyr::gather-0,6115680
10,utils::stack-0,2974280
10,tidyfast::dt_pivot_longer-4,930280
10,utils::stack-4,8590080
10,tidyfast::dt_pivot_longer-4,912880
10,utils::stack-0,2837240
10,tidyr::pivot_longer-4,20428600
10,stats::reshape-4,51077440
10,nc::capture_melt_single-0,8670880
10,stats::reshape-4,70278040
31,utils::stack-0,3139400
31,tidyfast::dt_pivot_longer-0,672560
31,tidyr::gather-0,6276040
31,stats::reshape-4,62530000
31,data.table::melt-4,1338760
31,reshape2::melt-0,2799800
31,cdata::unpivot_to_blocks-0,24473560
31,tidyfast::dt_pivot_longer-0,663840
31,tidyr::pivot_longer-4,10570400
31,nc::capture_melt_single-4,9764040
31,tidyr::pivot_longer-0,9852400
31,tidyr::gather-4,8548280
31,reshape2::melt-4,5065360
31,utils::stack-0,3063880
31,utils::stack-4,18908960
31,tidyfast::dt_pivot_longer-0,699320
31,stats::reshape-0,48554640
31,stats::reshape-4,69080920
31,tidyr::gather-4,10248160
31,data.table::melt-4,1457520
31,tidyr::pivot_longer-4,22525120
31,reshape2::melt-4,4997080
31,tidyr::pivot_longer-4,10504920
31,tidyr::gather-4,8728640
31,reshape2::melt-0,2764280
31,cdata::unpivot_to_blocks-4,41842280
31,tidyr::pivot_longer-4,12239520
31,reshape2::melt-0,2969520
31,utils::stack-4,18932200
31,tidyfast::dt_pivot_longer-4,1282040
31,reshape2::melt-4,4996920
31,tidyr::gather-0,6393360
31,tidyr::pivot_longer-0,9877320
31,data.table::melt-4,1295280
31,nc::capture_melt_single-4,9426600
31,tidyr::gather-4,8837160
31,tidyfast::dt_pivot_longer-4,1401360
31,cdata::unpivot_to_blocks-4,39375480
31,nc::capture_melt_single-0,9056880
