DataType,NumPoints,Dimension,Engine,Memory
circle,25,2,TDAstats,16.12890625 
annulus,25,2,TDAstats,14.41796875 
uniform,25,2,TDAstats,14.84375 
circle,25,3,TDAstats,13.84375 
annulus,25,3,TDAstats,15.05859375 
uniform,25,3,TDAstats,15.6640625 
torus,25,3,TDAstats,16.4453125 
circle,25,4,TDAstats,18.01171875 
annulus,25,4,TDAstats,15.9765625 
uniform,25,4,TDAstats,13.203125 
circle,50,2,TDAstats,15.375 
annulus,50,2,TDAstats,12.6171875 
uniform,50,2,TDAstats,15.6484375 
circle,50,3,TDAstats,15.46875 
annulus,50,3,TDAstats,15.40625 
uniform,50,3,TDAstats,12.54296875 
torus,50,3,TDAstats,13.453125 
circle,50,4,TDAstats,27.49609375 
annulus,50,4,TDAstats,25.59375 
uniform,50,4,TDAstats,28.2578125 
circle,75,2,TDAstats,15.65625 
annulus,75,2,TDAstats,17.12109375 
uniform,75,2,TDAstats,14.46875 
circle,75,3,TDAstats,19.28515625 
annulus,75,3,TDAstats,16.98046875 
uniform,75,3,TDAstats,14.62890625 
torus,75,3,TDAstats,15.56640625 
circle,75,4,TDAstats,95.09375 
annulus,75,4,TDAstats,95.7578125 
uniform,75,4,TDAstats,91.3359375 
circle,100,2,TDAstats,16.61328125 
annulus,100,2,TDAstats,15.0234375 
uniform,100,2,TDAstats,16.80078125 
circle,100,3,TDAstats,26.03125 
annulus,100,3,TDAstats,20.8359375 
uniform,100,3,TDAstats,23.8828125 
torus,100,3,TDAstats,22.39453125 
circle,100,4,TDAstats,280.96484375 
annulus,100,4,TDAstats,246.45703125 
uniform,100,4,TDAstats,246.6640625 
circle,125,2,TDAstats,14.28515625 
annulus,125,2,TDAstats,11.85546875 
uniform,125,2,TDAstats,13.44921875 
circle,125,3,TDAstats,44.70703125 
annulus,125,3,TDAstats,36.4453125 
uniform,125,3,TDAstats,33.32421875 
torus,125,3,TDAstats,36.19140625 
circle,125,4,TDAstats,702.83203125 
annulus,125,4,TDAstats,699.73828125 
uniform,125,4,TDAstats,697.53125 
