Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1856,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1857,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1858,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1859,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1860,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1861,0.051,0.051,0.051,0.051,0.051,0.052,0.052,0.053,0.052,0.051,0.052,0.053
1862,0.054,0.054,0.058,0.061,0.062,0.063,0.063,0.062,0.062,0.062,0.064,0.065
1863,0.067,0.07,0.074,0.077,0.077,0.079,0.082,0.085,0.087,0.085,0.084,0.082
1864,0.08,0.082,0.084,0.085,0.086,0.087,0.09,0.093,0.093,0.092,0.091,0.089
1865,0.087,0.086,0.087,0.085,0.085,0.083,0.081,0.079,0.08,0.082,0.082,0.083
1866,0.081,0.079,0.081,0.083,0.082,0.081,0.08,0.077,0.074,0.071,0.069,0.068
1867,0.066,0.066,0.066,0.066,0.069,0.072,0.074,0.08,0.086,0.088,0.09,0.092
1868,0.096,0.097,0.097,0.098,0.097,0.096,0.097,0.1,0.103,0.105,0.108,0.11
1869,0.112,0.112,0.114,0.115,0.115,0.116,0.116,0.113,0.112,0.11,0.108,0.104
1870,0.101,0.1,0.098,0.097,0.098,0.099,0.097,0.097,0.098,0.096,0.093,0.091
1871,0.088,0.086,0.084,0.082,0.08,0.079,0.077,0.076,0.075,0.073,0.071,0.069
1872,0.067,0.065,0.065,0.063,0.063,0.064,0.066,0.068,0.07,0.071,0.074,0.076
1873,0.078,0.081,0.082,0.086,0.088,0.092,0.093,0.094,0.097,0.098,0.102,0.107
1874,0.108,0.112,0.112,0.111,0.111,0.111,0.109,0.107,0.106,0.106,0.106,0.108
1875,0.109,0.11,0.111,0.111,0.111,0.111,0.113,0.114,0.115,0.116,0.116,0.113
1876,0.114,0.116,0.119,0.119,0.119,0.119,0.118,0.117,0.116,0.116,0.115,0.114
1877,0.112,0.112,0.112,0.112,0.111,0.11,0.109,0.107,0.104,0.101,0.1,0.101
1878,0.101,0.099,0.098,0.098,0.098,0.098,0.098,0.097,0.096,0.094,0.093,0.094
1879,0.093,0.092,0.092,0.092,0.093,0.094,0.092,0.091,0.09,0.088,0.085,0.085
1880,0.087,0.088,0.088,0.085,0.084,0.082,0.08,0.081,0.081,0.08,0.079,0.08
1881,0.082,0.085,0.087,0.09,0.092,0.095,0.097,0.096,0.095,0.094,0.094,0.095
1882,0.094,0.094,0.092,0.09,0.089,0.089,0.089,0.088,0.087,0.087,0.086,0.085
1883,0.085,0.084,0.084,0.082,0.078,0.076,0.072,0.07,0.067,0.064,0.063,0.061
1884,0.059,0.058,0.058,0.061,0.063,0.063,0.062,0.062,0.063,0.064,0.065,0.065
1885,0.064,0.063,0.063,0.061,0.06,0.061,0.059,0.055,0.052,0.049,0.045,0.042
1886,0.041,0.038,0.038,0.037,0.037,0.038,0.039,0.039,0.039,0.04,0.038,0.041
1887,0.042,0.044,0.046,0.046,0.046,0.046,0.044,0.043,0.041,0.039,0.037,0.035
1888,0.034,0.034,0.035,0.035,0.034,0.034,0.036,0.038,0.038,0.038,0.04,0.038
1889,0.036,0.034,0.034,0.033,0.03,0.028,0.025,0.023,0.021,0.02,0.018,0.019
