date,H_relativa
2018-01-03T00:00:00Z,NA
2018-01-03T01:00:00Z,NA
2018-01-03T02:00:00Z,NA
2018-01-03T03:00:00Z,NA
2018-01-03T04:00:00Z,NA
2018-01-03T05:00:00Z,NA
2018-01-03T06:00:00Z,NA
2018-01-03T07:00:00Z,NA
2018-01-03T08:00:00Z,NA
2018-01-03T09:00:00Z,NA
2018-01-03T10:00:00Z,NA
2018-01-03T11:00:00Z,NA
2018-01-03T12:00:00Z,NA
2018-01-03T13:00:00Z,NA
2018-01-03T14:00:00Z,NA
2018-01-03T15:00:00Z,NA
2018-01-03T16:00:00Z,31.15
2018-01-03T17:00:00Z,35.36
2018-01-03T18:00:00Z,38.37
2018-01-03T19:00:00Z,38.35
2018-01-03T20:00:00Z,42.06
2018-01-03T21:00:00Z,45.17
2018-01-03T22:00:00Z,39.91
2018-01-03T23:00:00Z,36.57
2018-01-04T00:00:00Z,41.8
2018-01-04T01:00:00Z,33.13
2018-01-04T02:00:00Z,29.48
2018-01-04T03:00:00Z,25.05
2018-01-04T04:00:00Z,26.95
2018-01-04T05:00:00Z,28.2
2018-01-04T06:00:00Z,30.49
2018-01-04T07:00:00Z,22.35
2018-01-04T08:00:00Z,18.54
2018-01-04T09:00:00Z,15.02
2018-01-04T10:00:00Z,13.1
2018-01-04T11:00:00Z,15.05
2018-01-04T12:00:00Z,15.96
2018-01-04T13:00:00Z,16.77
2018-01-04T14:00:00Z,26.42
2018-01-04T15:00:00Z,29.56
2018-01-04T16:00:00Z,35.7
2018-01-04T17:00:00Z,32.39
2018-01-04T18:00:00Z,33.95
2018-01-04T19:00:00Z,37.8
2018-01-04T20:00:00Z,43.41
2018-01-04T21:00:00Z,45.91
2018-01-04T22:00:00Z,47.34
2018-01-04T23:00:00Z,44.91
2018-01-05T00:00:00Z,39.27
2018-01-05T01:00:00Z,34.85
2018-01-05T02:00:00Z,43.59
2018-01-05T03:00:00Z,44
2018-01-05T04:00:00Z,33.53
2018-01-05T05:00:00Z,32.89
2018-01-05T06:00:00Z,32.89
2018-01-05T07:00:00Z,31.17
2018-01-05T08:00:00Z,30.56
2018-01-05T09:00:00Z,29.91
2018-01-05T10:00:00Z,29.37
2018-01-05T11:00:00Z,28.62
2018-01-05T12:00:00Z,27.75
2018-01-05T13:00:00Z,29.9
2018-01-05T14:00:00Z,29.8
2018-01-05T15:00:00Z,33.14
2018-01-05T16:00:00Z,35.94
2018-01-05T17:00:00Z,33.44
2018-01-05T18:00:00Z,43.5
2018-01-05T19:00:00Z,48.68
2018-01-05T20:00:00Z,47.46
2018-01-05T21:00:00Z,50.95
2018-01-05T22:00:00Z,51.39
2018-01-05T23:00:00Z,37.18
2018-01-06T00:00:00Z,36.2
2018-01-06T01:00:00Z,38.36
2018-01-06T02:00:00Z,24.11
2018-01-06T03:00:00Z,25.87
2018-01-06T04:00:00Z,66.94
2018-01-06T05:00:00Z,67.39
2018-01-06T06:00:00Z,57.91
2018-01-06T07:00:00Z,27.84
2018-01-06T08:00:00Z,21.48
2018-01-06T09:00:00Z,26.71
2018-01-06T10:00:00Z,23.83
2018-01-06T11:00:00Z,10.22
2018-01-06T12:00:00Z,10.76
2018-01-06T13:00:00Z,10.19
2018-01-06T14:00:00Z,12.55
2018-01-06T15:00:00Z,13.56
2018-01-06T16:00:00Z,15.12
2018-01-06T17:00:00Z,19.17
2018-01-06T18:00:00Z,20.75
2018-01-06T19:00:00Z,22.44
2018-01-06T20:00:00Z,23.22
2018-01-06T21:00:00Z,26.94
2018-01-06T22:00:00Z,25.62
2018-01-06T23:00:00Z,40.68
2018-01-07T00:00:00Z,44.4
2018-01-07T01:00:00Z,47.24
2018-01-07T02:00:00Z,51.26
2018-01-07T03:00:00Z,53.12
2018-01-07T04:00:00Z,54.21
2018-01-07T05:00:00Z,57.08
2018-01-07T06:00:00Z,57.89
