inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
1,1610,1,0,32,12,3.3540001,2.6500001,2708,34,12,4.0288,16310,.72149998,12,7,5,0,14,10.91006,1.2101537,196
1,1656,0,2,30,12,1.3889,2.6500001,2310,30,9,8.4415998,21800,.66149998,7,7,11,1,5,19.499981,.3285121,25
1,1980,1,3,35,12,4.5454998,4.04,3072,40,12,3.5806999,21040,.69150001,12,7,5,0,15,12.03991,1.5141377,225
1,456,0,3,34,12,1.0965,3.25,1920,53,10,3.5416999,7300,.78149998,7,7,5,0,6,6.7999959,.092123322,36
1,1568,1,2,31,14,4.5918002,3.5999999,2000,32,12,10,27300,.62150002,12,14,9.5,1,7,20.100058,1.5242722,49
1,2032,0,0,54,12,4.7420998,4.6999998,1040,57,11,6.7105999,19495,.69150001,14,7,7.5,1,33,9.8590536,1.5564801,1089
1,1440,0,2,37,16,8.3332996,5.9499998,2670,37,12,3.4277,21152,.69150001,14,7,5,0,11,9.1520481,2.1202595,121
1,1020,0,0,54,12,7.8431001,9.9799995,4120,53,8,2.5485001,18900,.69150001,3,3,5,0,35,10.900038,2.0596342,1225
1,1458,0,2,48,12,2.1262,0,1995,52,4,4.2206001,20405,.75150001,7,7,3,0,24,17.305,.75433636,576
1,1600,0,2,39,12,4.6875,4.1500001,2100,43,12,5.7143002,20425,.69150001,7,7,5,0,21,12.925,1.5448993,441
1,1969,0,1,33,12,4.0630002,4.3000002,2450,34,12,9.7959003,32300,.58149999,12,3,5,0,15,24.299953,1.4019216,225
1,1960,0,1,42,11,4.5918002,4.5799999,2375,47,14,8,28700,.62150002,14,7,5,0,14,19.700071,1.5242722,196
1,240,1,2,30,12,2.0833001,0,2830,33,16,5.3003998,15500,.72149998,16,16,5,0,0,15.000008,.73395324,0
1,997,0,2,43,12,2.2667999,3.5,3317,46,12,4.3413,16860,.72149998,10,10,7.5,1,14,14.6,.81836909,196
1,1848,0,1,43,10,3.6796999,3.3800001,2024,45,17,10.87,31431,.58149999,7,7,7.5,1,6,24.630915,1.3028312,36
1,1224,0,3,35,11,1.3472,0,1694,38,12,9.1499004,19180,.72149998,16,10,7.5,1,9,17.531027,.29802838,81
1,1400,0,2,43,12,3.2142999,4,2156,45,12,6.1223998,18600,.69150001,10,7,7.5,1,20,14.09998,1.1676096,400
1,640,0,5,39,12,5.1750002,2.25,2250,40,12,6.1497998,19151,.72149998,12,12,7.5,1,6,15.839,1.6438394,36
1,2000,0,0,45,12,2,2.3,2024,51,11,6.9169998,18100,.69150001,7,7,5,1,23,14.1,.69314718,529
1,1324,0,4,35,12,7.5528998,3.9400001,2123,40,10,4.7103,20300,.69150001,12,7,5,0,9,10.299961,2.0219316,81
1,2215,0,2,42,16,3.5051999,3.3,4160,48,16,3.131,30419,.62150002,10,16,7.5,0,5,22.654982,1.2542475,25
1,1680,0,0,30,12,3.5713999,3.8,2000,35,12,4,14090,.72149998,12,10,3,0,11,8.0900478,1.2729577,121
1,1600,0,0,48,13,3.25,3.26,2420,52,17,7.2227001,22679,.66149998,7,3,5,1,18,17.479,1.178655,324
1,800,0,0,45,12,3.25,2.2,1150,53,17,7.9651999,12160,.72149998,7,7,11,0,15,9.5600004,1.178655,225
1,1955,1,1,31,12,2.1545,2.3,2024,31,12,4.0883999,12487,.75150001,12,7,5,1,4,8.2749529,.76755869,16
1,660,0,2,43,17,3.7879,0,1904,43,17,14.181,29850,.58149999,16,14,9.5,1,21,27.349985,1.3318118,441
1,525,0,0,59,12,4,3.1800001,2448,53,16,6.5359001,18100,.69150001,3,7,9.5,1,31,16,1.3862944,961
1,1904,0,3,32,12,4.7269001,6.0700002,2000,33,13,8.5,26000,.66149998,3,7,11,1,9,16.999983,1.5532696,81
1,1516,1,0,31,17,7.2558999,6,2390,30,17,6.2761998,26100,.62150002,12,12,5,0,7,15.100056,1.9818149,49
1,346,0,0,42,12,5.8670998,6.3899999,1920,47,10,5.2083001,17730,.72149998,12,12,9.5,0,7,15.699984,1.7693604,49
1,1040,0,0,50,11,1.5385,0,1840,53,10,2.7821,6719,.75150001,7,7,7.5,1,32,5.1189599,.43080789,1024
1,732,0,0,59,16,2.4590001,2.5,3360,57,17,4.9106998,18550,.69150001,3,3,14,1,11,16.750011,.89975482,121
1,1880,0,2,36,13,5.8511,5.1999998,2284,35,13,5.8669,24600,.66149998,12,10,7.5,0,16,13.599932,1.7666297,256
1,1680,0,1,51,12,3.5713999,3.29,1875,50,8,7.52,23100,.69150001,7,14,5,1,14,17.100048,1.2729577,196
1,2081,0,3,45,16,3.8067999,4.1900001,2140,47,17,7.5448999,24656,.66149998,12,12,5,1,27,16.734049,1.3367889,729
1,690,0,1,42,11,2.4638,0,1896,44,8,5.5380001,15897,.75150001,10,3,7.5,0,0,14.196978,.90170485,0
