HydroID,AvgDepth_m,ResTime
30149,0,0
30402,3.2,0.563835616
30442,0,0
30447,8.8,2.356164384
30646,3.2,0.964657534
30687,3.4,0.030410959
30695,0,0
30745,3.1,0.273972603
30751,3.05,0.850136986
30760,4,1.143013699
30943,0,0
30988,0,0
31006,5.3,0.142191781
31023,0,0
31058,0,0
31066,0,0
31090,0,0
31110,0,0
31127,0,0
31128,5.5,0.06739726
31135,0,0
31136,0,0
31140,0,0
31151,0,0
31152,0,0
31165,2.8,1.326575342
31179,0,0
31185,3.1,0.132328767
31218,0,0
31228,4,1.766027397
31242,0,0
31264,4.25,1.130136986
31265,4.7,1.776438356
31298,3.3,0.06
31361,4.1,0.051232877
31370,0,0
31402,0,0
31403,0,0
31411,0,0
31422,0,0
31423,0,0
31424,4.1,0.476438356
31425,0,0
31432,3.9,0.192876712
31445,0,0
31446,0,0
31456,0,0
31457,0,0
31462,4.5,0.236986301
31463,0,0
31468,0,0
31469,0,0
31479,0,0
31489,9.7,2.064657534
31505,4.1,2.001643836
31506,0,0
31507,0,0
31515,0,0
31516,0,0
31539,0,0
31554,0,0
31555,0,0
31561,0,0
31562,0,0
31563,5,0.76
31580,0,0
31581,4.2,0.02630137
31602,0,0
31612,2.3,0.013150685
31619,0,0
31620,3.5,0.076438356
31627,3.3,1.122191781
31628,0,0
31649,2.833333333,0.660273973
31653,0,0
31654,4.1,1.025205479
31655,0,0
31664,0,0
31665,0,0
31695,3.833333333,7.155068493
31702,0,0
31738,0,0
31755,0,0
31775,0,0
31784,2.9,0.193424658
31794,0,0
31795,0,0
31796,5.8,0.07369863
31804,0,0
31808,4,0.378356164
31815,0,0
31816,0,0
31817,0,0
31823,0,0
31842,0,0
31847,0,0
31848,0,0
31877,0,0
31889,0,0
31901,0,0
31902,0,0
31903,0,0
31910,0,0
31924,0,0
31937,0,0
31938,0,0
31955,3,0.206027397
31968,0,0
31980,0,0
31992,3.8,1.101369863
32010,0,0
32011,4.9,1.665479452
32017,0,0
32021,0,0
32026,0,0
32029,0,0
32030,0,0
32031,0,0
32041,0,0
32042,0,0
32043,0,0
32048,0,0
32049,0,0
32050,0,0
32056,2.6,0.380547945
32057,0,0
32058,5,2.903835616
32062,0,0
32063,0,0
32064,0,0
32065,0,0
32070,0,0
32074,0,0
32075,0,0
32076,0,0
32081,0,0
32082,0,0
32086,0,0
32090,0,0
32091,0,0
32099,0,0
32106,0,0
32112,0,0
32120,0,0
32121,0,0
32130,0,0
32131,0,0
32132,0,0
32142,0,0
32143,0,0
32144,0,0
32148,0,0
32158,0,0
32159,0,0
32177,0,0
32178,0,0
32179,0,0
32187,0,0
32188,1.8,0.108219178
32194,0,0
32195,0,0
32196,3.45,0.343835616
32197,0,0
32219,0,0
32220,0,0
32222,0,0
32224,2.65,0.599726027
32225,0,0
32226,0,0
32227,0,0
32228,0,0
32229,0,0
32244,6.7,4.997534247
32251,0,0
32258,0,0
32259,5.1,0.165479452
32268,0,0
32269,0,0
32292,0,0
32310,0,0
32318,5.9,3.319178082
32329,0,0
32335,0,0
32353,0,0
32354,0,0
32361,0,0
32363,3.7,5.255890411
32364,0,0
32365,0,0
32373,0,0
32379,0,0
32386,0,0
32399,0,0
32407,0,0
32410,0,0
32444,0,0
32484,3.6,0.765479452
32485,0,0
32489,0,0
32500,0,0
32511,0,0
32512,7.4,4.084383562
32520,4.1,0.456986301
32526,0,0
32535,0,0
32544,5.7,3.303561644
32545,0,0
32549,0,0
32561,4.3,0.476164384
32574,0,0
32575,0,0
32576,0,0
32581,0,0
32625,8.5,0.209589041
32634,5.5,0.399178082
32654,4.6,0.192054795
32660,0,0
32661,0,0
32682,2.2,0.399726027
32700,0,0
32717,0,0
32737,0,0
32741,4.1,2.798630137
32754,3.4,2.260821918
32755,0,0
32779,4.65,0.314794521
32785,8.9,0.221917808
32794,0,0
32795,0,0
32804,0,0
32815,0,0
32823,3.5,1.636986301
32826,0,0
32827,0,0
32835,3.5,0.014246575
32836,0,0
32837,0,0
32838,0,0
32841,0,0
32842,0,0
32843,0,0
32847,0,0
32848,0,0
32851,0,0
32852,0,0
32863,0,0
32878,0,0
32882,0,0
32883,0,0
32884,0,0
32889,3.2,0.609589041
32890,0,0
32891,0,0
32894,0,0
32895,0,0
32898,0,0
32899,0,0
32901,7.3,1.140547945
32911,0,0
32916,0,0
32917,2,0.586575342
32927,0,0
32933,0,0
32934,0,0
32937,0,0
32940,0,0
32941,0,0
32952,0,0
32968,0,0
32975,2.7,0.119178082
32979,0,0
32980,0,0
33000,0,0
33001,0,0
33002,0,0
33012,0,0
33013,0,0
33014,3.8,2.616712329
33015,0,0
33027,4.9,0.205205479
33028,0,0
33029,0,0
33035,0,0
33036,0,0
33039,6.2,0.363287671
33040,0,0
33042,0,0
33044,0,0
33045,0,0
33055,3.9,0.427671233
33062,0,0
33063,2.4,0.652876712
33070,4.4,0.392054795
33071,0,0
33079,0,0
