YearValue,HydroID,YearlyMass
2012,32021,0.87
2012,47471,1.295
2012,33413,2.266
2012,37566,2.96
2012,42456,4.077
2008,35515,4.285
2000,31804,4.318
2012,35738,4.562
2011,41650,4.644
1996,60901,4.745
2009,35515,5.345
2003,31804,5.561
2012,73593,5.598
2012,39904,6.024
2011,45484,6.036
1997,60901,6.062
2002,31804,6.124
2012,39030,6.128
2012,40940,6.195
2005,58413,6.549
2012,71277,6.631
2006,58413,6.642
2012,46750,6.982
2012,74026,7.246
2012,39010,7.445
2012,45919,7.829
2012,38315,7.947
2007,58413,7.97
2004,58413,8.034
2005,31804,8.599
2011,61543,8.681
2007,35515,8.807
1999,60901,8.859
2004,60901,9.379
2000,60901,9.446
2012,40424,9.554
2003,60901,9.888
2012,39340,10.523
1998,60901,10.57
2004,31804,11.038
2003,58413,11.221
2012,62225,11.778
2012,77164,11.796
2012,74634,11.868
2012,61653,12.371
2002,60901,12.495
2005,60901,12.535
2012,38768,13.117
2012,54610,13.361
2012,39293,13.543
1994,58413,14.037
2006,31804,14.1
1992,58413,14.166
1996,58413,14.586
2012,74386,14.667
2012,76575,14.732
2012,48631,14.777
2012,76437,14.795
2012,48569,15.1
1995,58413,15.29
2001,60901,15.304
2012,78218,15.432
1993,58413,15.628
2006,60901,15.646
1999,58413,15.918
2012,72455,16.146
2012,38755,16.204
2002,58413,16.319
2001,31804,16.345
2000,58413,16.687
2011,78218,16.727
2012,41037,17.066
2012,40631,17.101
2011,75263,17.149
1998,58413,17.285
1996,31804,17.334
2007,60901,17.492
2011,49976,17.738
2001,58413,17.799
2012,40635,17.886
2012,37333,18.905
1999,31804,19.313
1997,58413,19.873
1997,31804,20.031
2012,39324,20.627
2012,35537,21.111
2012,38026,21.312
2012,37862,22.771
2012,61548,23.002
2011,58617,23.245
1998,31804,23.349
2012,31152,23.803
2012,54990,23.988
2012,38423,24.936
2012,65413,26.358
2009,78218,27.13
2012,37115,27.198
2012,64083,27.278
2012,58836,27.792
2004,59575,27.945
2012,76845,28.322
2008,59575,29.116
2012,60757,29.378
1995,31804,30.576
2012,77217,30.804
2006,59575,31.078
2007,59575,31.199
2012,49007,32.03
2010,78218,32.347
2012,73497,32.961
2011,66395,34.2
2012,75975,34.264
2005,59575,34.927
2012,31264,35.016
2012,52991,35.065
2012,74112,35.196
2011,63937,35.22
2012,33274,36.466
2012,45008,36.491
2011,78916,37.753
2012,39718,38.216
2012,47061,38.896
2012,71043,40.009
2012,46524,40.384
2011,60901,40.688
2012,53319,42.162
2011,77842,42.845
2012,41633,43.15
2003,75263,44.821
2003,59575,44.922
2011,47384,46.989
2012,68076,47.05
2012,34999,47.214
2012,73008,47.904
2012,53519,49.307
2008,77842,49.696
2007,75263,49.759
1995,59575,51.135
2012,76356,51.302
2012,40427,51.956
2004,77842,52.129
1992,59575,52.472
2012,77135,53.08
2003,77842,53.564
1999,59575,53.69
2011,74330,53.828
2012,60564,53.848
2012,36998,54.714
2002,59575,55.128
1999,77842,55.251
2012,60184,55.601
2012,39294,55.98
2012,70097,57.485
2007,77842,58.347
2012,50702,59.272
2006,75263,60.069
1997,59575,60.125
1998,59575,61.191
2001,75263,61.363
2012,69541,61.849
2012,73395,61.956
2004,45340,62.143
2001,77842,62.659
2006,45340,62.804
2012,39173,62.99
2012,32575,63.131
2008,72404,63.764
1995,72404,63.879
2012,45490,63.957
1993,77842,63.989
2012,39913,63.998
2003,72404,64.184
1994,72404,64.333
1994,75263,64.767
1993,59575,66.14
2000,59575,66.221
2012,73705,66.304
2012,39755,66.698
2012,50109,66.724
2006,77842,67.097
2000,77842,67.602
2005,77842,67.986
2012,37642,67.987
1999,75263,69.262
2004,75263,70.835
2012,40117,71.276
1996,75263,71.515
