"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"E_E";"E_EM";"E_EW";"E_E00_01";"E_E01_02";"E_E02_03";"E_E03_05";"E_E05_06";"E_E06_07";"E_E07_08";"E_E08_10";"E_E10_12";"E_E12_14";"E_E14_15";"E_E15_18";"E_E18_21";"E_E21_25";"E_E25_27";"E_E27_30";"E_E30_35";"E_E35_40";"E_E40_45";"E_E45_50";"E_E50_55";"E_E55_60";"E_E60_63";"E_E63_65";"E_E65_67";"E_E67_70";"E_E70_75";"E_E75_80";"E_E80_85";"E_E85_90";"E_E90_95";"E_E95_110";"E_EU1";"E_E1U6";"E_E6U15";"E_E15U18";"E_E18U25";"E_E25U55";"E_E55U65";"E_E65U80";"E_E80U110"
"201512";"01011101";"01";"01";"11";"01";"1";3090,00;1608,00;1482,00;21,00;25,00;21,00;42,00;15,00;16,00;16,00;21,00;18,00;27,00;6,00;35,00;70,00;265,00;130,00;206,00;276,00;213,00;182,00;188,00;210,00;201,00;101,00;58,00;98,00;99,00;197,00;168,00;79,00;52,00;31,00;3,00;21,00;103,00;104,00;35,00;335,00;1405,00;360,00;562,00;165,00
"201512";"01011102";"01";"01";"11";"02";"1";202,00;118,00;84,00;3,00;0,00;0,00;6,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;12,00;3,00;6,00;18,00;15,00;15,00;21,00;28,00;30,00;3,00;3,00;0,00;6,00;6,00;12,00;0,00;0,00;3,00;0,00;3,00;6,00;9,00;3,00;12,00;106,00;36,00;24,00;3,00
"201512";"01011103";"01";"01";"11";"03";"1";5489,00;3032,00;2457,00;39,00;56,00;47,00;92,00;53,00;47,00;39,00;101,00;97,00;76,00;44,00;119,00;162,00;354,00;207,00;344,00;474,00;445,00;327,00;348,00;396,00;395,00;222,00;138,00;113,00;169,00;205,00;152,00;114,00;59,00;37,00;18,00;39,00;248,00;404,00;119,00;516,00;2541,00;755,00;639,00;228,00
"201512";"01011104";"01";"01";"11";"04";"1";4560,00;2491,00;2069,00;40,00;50,00;61,00;92,00;42,00;47,00;39,00;94,00;71,00;83,00;50,00;121,00;180,00;415,00;250,00;358,00;513,00;397,00;315,00;318,00;344,00;201,00;107,00;58,00;55,00;78,00;74,00;54,00;34,00;16,00;3,00;0,00;40,00;245,00;384,00;121,00;595,00;2495,00;366,00;261,00;53,00
"201512";"01011105";"01";"01";"11";"05";"1";1110,00;599,00;511,00;18,00;8,00;6,00;34,00;13,00;9,00;6,00;6,00;9,00;16,00;15,00;24,00;21,00;31,00;34,00;45,00;108,00;86,00;85,00;117,00;105,00;87,00;55,00;24,00;16,00;34,00;37,00;33,00;16,00;12,00;0,00;0,00;18,00;61,00;61,00;24,00;52,00;580,00;166,00;120,00;28,00
"201512";"01011201";"01";"01";"12";"01";"1";2026,00;1053,00;973,00;12,00;18,00;6,00;27,00;12,00;8,00;9,00;31,00;24,00;39,00;19,00;40,00;56,00;111,00;78,00;90,00;159,00;124,00;136,00;159,00;176,00;172,00;109,00;55,00;37,00;67,00;106,00;72,00;46,00;22,00;6,00;0,00;12,00;63,00;130,00;40,00;167,00;922,00;336,00;282,00;74,00
"201512";"01011202";"01";"01";"12";"02";"1";549,00;292,00;257,00;9,00;9,00;0,00;12,00;6,00;3,00;3,00;12,00;9,00;10,00;6,00;10,00;7,00;19,00;17,00;24,00;66,00;49,00;43,00;42,00;58,00;38,00;18,00;9,00;6,00;16,00;20,00;16,00;6,00;6,00;0,00;0,00;9,00;27,00;43,00;10,00;26,00;299,00;65,00;58,00;12,00
"201512";"01011203";"01";"01";"12";"03";"1";962,00;480,00;482,00;9,00;9,00;12,00;12,00;12,00;7,00;3,00;7,00;6,00;9,00;7,00;18,00;15,00;41,00;40,00;55,00;91,00;95,00;48,00;107,00;82,00;73,00;30,00;24,00;13,00;30,00;47,00;33,00;15,00;6,00;6,00;0,00;9,00;45,00;39,00;18,00;56,00;518,00;127,00;123,00;27,00
"201512";"01011204";"01";"01";"12";"04";"1";6765,00;3383,00;3382,00;76,00;44,00;46,00;81,00;31,00;35,00;42,00;79,00;93,00;45,00;33,00;98,00;131,00;285,00;233,00;438,00;618,00;486,00;439,00;510,00;515,00;445,00;255,00;150,00;190,00;243,00;413,00;363,00;199,00;109,00;37,00;3,00;76,00;202,00;327,00;98,00;416,00;3239,00;850,00;1209,00;348,00
"201512";"01011301";"01";"01";"13";"01";"1";6173,00;3181,00;2992,00;81,00;85,00;76,00;128,00;66,00;56,00;44,00;73,00;57,00;58,00;28,00;55,00;105,00;253,00;266,00;507,00;873,00;747,00;578,00;519,00;431,00;286,00;164,00;92,00;91,00;95,00;161,00;114,00;43,00;29,00;6,00;6,00;81,00;355,00;316,00;55,00;358,00;3921,00;542,00;461,00;84,00
"201512";"01011302";"01";"01";"13";"02";"1";12281,00;6284,00;5997,00;121,00;128,00;123,00;207,00;108,00;119,00;118,00;241,00;216,00;222,00;88,00;228,00;234,00;444,00;483,00;857,00;1529,00;1448,00;1181,00;1248,00;990,00;606,00;265,00;163,00;145,00;156,00;235,00;190,00;116,00;48,00;18,00;6,00;121,00;566,00;1004,00;228,00;678,00;7736,00;1034,00;726,00;188,00
"201512";"01011303";"01";"01";"13";"03";"1";8886,00;4690,00;4196,00;63,00;81,00;74,00;134,00;63,00;44,00;56,00;83,00;85,00;46,00;32,00;109,00;154,00;489,00;462,00;705,00;1084,00;854,00;647,00;628,00;610,00;448,00;253,00;166,00;132,00;144,00;426,00;418,00;231,00;110,00;43,00;12,00;63,00;352,00;346,00;109,00;643,00;4990,00;867,00;1120,00;396,00
"201512";"01011304";"01";"01";"13";"04";"1";8479,00;3963,00;4516,00;56,00;63,00;57,00;150,00;59,00;53,00;53,00;100,00;93,00;103,00;50,00;151,00;177,00;377,00;264,00;448,00;639,00;509,00;392,00;516,00;471,00;470,00;305,00;157,00;163,00;217,00;627,00;799,00;520,00;305,00;117,00;18,00;56,00;329,00;452,00;151,00;554,00;3239,00;932,00;1806,00;960,00
"201512";"01011305";"01";"01";"13";"05";"1";7281,00;3679,00;3602,00;79,00;63,00;53,00;110,00;45,00;48,00;28,00;72,00;73,00;74,00;36,00;100,00;107,00;290,00;240,00;460,00;708,00;546,00;438,00;487,00;537,00;410,00;208,00;131,00;129,00;163,00;420,00;564,00;435,00;174,00;47,00;6,00;79,00;271,00;331,00;100,00;397,00;3416,00;749,00;1276,00;662,00
"201512";"01011306";"01";"01";"13";"06";"1";8861,00;4521,00;4340,00;100,00;108,00;66,00;176,00;64,00;48,00;51,00;97,00;81,00;93,00;33,00;129,00;232,00;406,00;321,00;542,00;995,00;815,00;624,00;671,00;685,00;558,00;292,00;159,00;148,00;172,00;377,00;479,00;217,00;91,00;25,00;6,00;100,00;414,00;403,00;129,00;638,00;4653,00;1009,00;1176,00;339,00
"201512";"01011401";"01";"01";"14";"01";"1";15751,00;7977,00;7774,00;215,00;192,00;178,00;375,00;178,00;166,00;176,00;286,00;245,00;213,00;91,00;247,00;291,00;653,00;600,00;1278,00;2163,00;2007,00;1677,00;1493,00;1054,00;614,00;297,00;140,00;135,00;111,00;252,00;209,00;111,00;70,00;23,00;11,00;215,00;923,00;1177,00;247,00;944,00;10272,00;1051,00;707,00;215,00
"201512";"01011402";"01";"01";"14";"02";"1";13014,00;6534,00;6480,00;187,00;200,00;172,00;323,00;157,00;138,00;141,00;273,00;184,00;140,00;51,00;163,00;164,00;454,00;466,00;1069,00;2045,00;1736,00;1530,00;1199,00;766,00;423,00;175,00;107,00;125,00;114,00;193,00;135,00;85,00;65,00;31,00;3,00;187,00;852,00;927,00;163,00;618,00;8811,00;705,00;567,00;184,00
"201512";"01022101";"01";"02";"21";"01";"1";3451,00;1921,00;1530,00;35,00;41,00;33,00;60,00;27,00;25,00;16,00;36,00;36,00;24,00;18,00;77,00;114,00;365,00;234,00;315,00;411,00;265,00;235,00;222,00;262,00;200,00;64,00;40,00;63,00;45,00;72,00;65,00;32,00;19,00;0,00;0,00;35,00;161,00;155,00;77,00;479,00;1944,00;304,00;245,00;51,00
"201512";"01022102";"01";"02";"21";"02";"1";6336,00;3458,00;2878,00;65,00;72,00;60,00;118,00;36,00;33,00;55,00;94,00;82,00;93,00;47,00;132,00;222,00;571,00;337,00;608,00;748,00;484,00;443,00;455,00;429,00;330,00;160,00;109,00;88,00;137,00;122,00;100,00;67,00;30,00;3,00;6,00;65,00;286,00;404,00;132,00;793,00;3504,00;599,00;447,00;106,00
"201512";"01022103";"01";"02";"21";"03";"1";251,00;142,00;109,00;3,00;3,00;3,00;10,00;6,00;6,00;4,00;10,00;6,00;10,00;3,00;6,00;4,00;6,00;9,00;22,00;32,00;15,00;9,00;22,00;16,00;18,00;9,00;0,00;0,00;9,00;4,00;6,00;0,00;0,00;0,00;0,00;3,00;22,00;39,00;6,00;10,00;125,00;27,00;19,00;0,00
"201512";"01022104";"01";"02";"21";"04";"1";18040,00;9453,00;8587,00;171,00;168,00;152,00;304,00;147,00;131,00;139,00;248,00;235,00;215,00;116,00;327,00;537,00;1317,00;1044,00;1482,00;2070,00;1470,00;1184,00;1250,00;1326,00;1088,00;598,00;308,00;345,00;378,00;538,00;415,00;193,00;94,00;37,00;13,00;171,00;771,00;1084,00;327,00;1854,00;9826,00;1994,00;1676,00;337,00
"201512";"01022105";"01";"02";"21";"05";"1";5272,00;2761,00;2511,00;53,00;53,00;52,00;95,00;52,00;38,00;45,00;81,00;101,00;83,00;41,00;141,00;201,00;426,00;285,00;442,00;602,00;429,00;304,00;342,00;330,00;285,00;154,00;80,00;87,00;94,00;143,00;114,00;72,00;33,00;14,00;0,00;53,00;252,00;389,00;141,00;627,00;2734,00;519,00;438,00;119,00
"201512";"01022106";"01";"02";"21";"06";"1";11547,00;5722,00;5825,00;112,00;123,00;87,00;189,00;98,00;86,00;92,00;171,00;161,00;151,00;73,00;256,00;321,00;590,00;390,00;708,00;1045,00;913,00;739,00;852,00;1025,00;811,00;445,00;271,00;271,00;272,00;478,00;409,00;211,00;131,00;51,00;15,00;112,00;497,00;734,00;256,00;911,00;5672,00;1527,00;1430,00;408,00
"201512";"01022201";"01";"02";"22";"01";"1";10783,00;5715,00;5068,00;132,00;138,00;116,00;202,00;82,00;76,00;72,00;147,00;143,00;129,00;67,00;214,00;315,00;902,00;716,00;1011,00;1343,00;943,00;722,00;736,00;735,00;504,00;262,00;147,00;134,00;176,00;209,00;212,00;119,00;54,00;22,00;3,00;132,00;538,00;634,00;214,00;1217,00;6206,00;913,00;731,00;198,00
"201512";"01022202";"01";"02";"22";"02";"1";1478,00;729,00;749,00;16,00;19,00;15,00;38,00;19,00;17,00;23,00;41,00;43,00;34,00;19,00;63,00;66,00;101,00;54,00;72,00;129,00;94,00;119,00;115,00;93,00;73,00;41,00;15,00;28,00;31,00;45,00;37,00;18,00;0,00;0,00;0,00;16,00;91,00;177,00;63,00;167,00;676,00;129,00;141,00;18,00
"201512";"01022203";"01";"02";"22";"03";"1";6886,00;3500,00;3386,00;76,00;77,00;70,00;155,00;71,00;78,00;86,00;134,00;137,00;121,00;51,00;185,00;230,00;482,00;315,00;477,00;626,00;501,00;477,00;433,00;431,00;356,00;187,00;148,00;128,00;178,00;228,00;235,00;98,00;75,00;22,00;18,00;76,00;373,00;607,00;185,00;712,00;3260,00;691,00;769,00;213,00
