"Count","Month","Sex","Type"
121,2014-07-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
89,2014-08-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
129,2014-09-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
112,2014-10-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
110,2014-11-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
116,2014-12-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
116,2015-01-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
90,2015-02-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
111,2015-03-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
86,2015-04-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
93,2015-05-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
119,2015-06-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
84,2015-07-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
104,2015-08-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
86,2015-09-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
104,2015-10-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
89,2015-11-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
97,2015-12-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
89,2016-01-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
97,2016-02-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
93,2016-03-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
89,2016-04-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
105,2016-05-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
143,2016-06-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
99,2016-07-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
102,2016-08-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
100,2016-09-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
93,2016-10-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
89,2016-11-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
103,2016-12-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
99,2017-01-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
75,2017-02-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
94,2017-03-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
63,2017-04-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
62,2017-05-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
70,2017-06-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
93,2017-07-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
76,2017-08-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
76,2017-09-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
83,2017-10-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
69,2017-11-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
88,2017-12-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
72,2018-01-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
71,2018-02-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
99,2018-03-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
67,2018-04-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
77,2018-05-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
75,2018-06-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
92,2018-07-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
93,2018-08-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
78,2018-09-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
90,2018-10-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
67,2018-11-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
71,2018-12-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
81,2019-01-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
65,2019-02-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
76,2019-03-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
79,2019-04-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
85,2019-05-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
66,2019-06-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
74,2019-07-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
68,2019-08-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
97,2019-09-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
87,2019-10-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
88,2019-11-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
97,2019-12-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
88,2020-01-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
83,2020-02-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
82,2020-03-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
75,2020-04-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
101,2020-05-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
80,2020-06-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
83,2020-07-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
102,2020-08-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
103,2020-09-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
79,2020-10-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
65,2020-11-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
83,2020-12-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
81,2021-01-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
69,2021-02-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
94,2021-03-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
63,2021-04-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
75,2021-05-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
67,2021-06-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
62,2021-07-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
66,2021-08-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
66,2021-09-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
55,2021-10-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
62,2021-11-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
62,2021-12-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
54,2022-01-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
53,2022-02-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
53,2022-03-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
53,2022-04-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
59,2022-05-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
59,2022-06-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
57,2022-07-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
61,2022-08-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
