,Application,Repo,based on,License,Status
**adimpro**<br>by @Polzehl2007,Adaptive Smoothing,[CRAN](https://CRAN.R-project.org/package=adimpro),Image Magick,GPL<br>($\geq$ 2),*2006-10-27<br>°2023-09-06
**phenopix**<br>by @Filippa2016 ,Vegetation phenology,[CRAN](https://CRAN.R-project.org/package=phenopix),jpeg,GPL-2,*2017-06-16<br>°2024-01-19
**gitter**<br>by @Wagih2014,Pinned Microbial Cultures,[CRAN-archived](https://CRAN.R-project.org/package=gitter),EBImage,LGPL,*2013-06-29<br>†2020-01-16
**TCIApathfinder**<br>by @Russell2018 ,Cancer Imaging,[CRAN](https://CRAN.R-project.org/package=TCIApathfinder),Rnifti,MIT,*2017-08-20<br>°2019-09-21
**SPUTNIK**<br>by @Inglese2018 ,Mass Spectrometry Imaging,[CRAN](https://CRAN.R-project.org/package=SPUTNIK),imager,GPL<br>($\geq$ 3),*2018-02-19<br>°2024-04-16
**SAFARI**<br>by @Fernandez2022 ,Shape analysis,[CRAN](https://CRAN.R-project.org/package=SAFARI),EBImage,GPL<br>($\geq$ 3),*2021-02-25
**pavo**<br>by @Maia2019,Spectral and Spatial analysis,[CRAN](https://CRAN.R-project.org/package=pavo),magick & imager,GPL<br>($\geq$ 2),*2012-12-05<br>°2023-09-24
**miet**<br>by @Combes2020 ,Magnetic Resonance images,[gitlab](https://gitlab.inria.fr/miet/miet),Rnifti,MIT,*2019-09-06<br>°2023-12-20
**scalpel**<br>by @Petersen2017,Calcium imaging,[CRAN](https://CRAN.R-project.org/package=scalpel),-,GPL<br>($\geq$ 2),*2017-03-14<br>°2021-02-03
**ProFit**<br>by @Robotham2016,Galaxy images,[CRAN-archived](https://CRAN.R-project.org/package=ProFit),EBImage,LGPL-3,*2016-09-29<br>†2022-08-08
**fsbrain**<br>by @Schaefer2020  @Schaefer2024 ,Neuroimaging,[CRAN](https://CRAN.R-project.org/package=fsbrain),magick,MIT,*2019-10-30<br>°2024-02-03
**geomorph**<br>by @Adams2013 ,Geometric morphometric shape analysis,[CRAN](https://CRAN.R-project.org/package=geomorph),jpeg,GPL<br>($\geq$ 3),*2012-10-26<br>°2024-03-05
**imbibe**,Medical images,[CRAN](https://CRAN.R-project.org/package=imbibe),Rnifti,BSD-3-clause,*2020-10-26<br>°2022-11-09
**opencv**<br>by @opencv ,"edge, body, face detection ",[CRAN](https://CRAN.R-project.org/package=opencv),OpenCV,MIT,*2019-04-01<br>°2023-10-29
**DRIP**,"jump regression, denoising, deblurring ",[CRAN](https://CRAN.R-project.org/package=DRIP),-,GPL<br>($\geq$ 2),*2015-09-22<br>°2024-02-05
**imagefluency**<br>by @imagefluency,image statistics based on fluency theory,[CRAN](https://CRAN.R-project.org/package=imagefluency),magick & OpenImageR,GPL-3,*2019-09-27<br>°2024-02-22
**mand**<br>by @mand,Neuroimaging,[CRAN](https://CRAN.R-project.org/package=mand),imager,GPL-2<br>GPL-3,*2020-05-06<br>°2023-09-12
**recolorize**<br>by @recolorize,Segmentation,[CRAN](https://CRAN.R-project.org/package=recolorize),imager,CC BY 4.0,*2021-12-07
**MaxContrastProjection**<br>by @MaxContrastProjection,maximum contrast projection,[Bioc](https://bioconductor.org/packages/MaxContrastProjection/),EBImage,Artistic-2.0,*2017-04-25<br>†2020-04-28
