model n method gamma.lower gamma.upper estimated.tau
mean_first 100 variance 0.2 0.5 -0.004081748 
mean_first 100 quantile 0.2 0.5 -0.001819098 
mean_first 100 variance 0.4 0.8 -0.002287951 
mean_first 100 quantile 0.4 0.8 -1.546173e-05 
mean_first 500 variance 0.2 0.5 -0.001216721 
mean_first 500 quantile 0.2 0.5 -0.0001816688 
mean_first 500 variance 0.4 0.8 0.001268445 
mean_first 500 quantile 0.4 0.8 0.001960526 
poisson 100 variance 0.2 0.5 -0.4756539 
poisson 100 quantile 0.2 0.5 -0.6745154 
poisson 100 variance 0.4 0.8 -0.3972075 
poisson 100 quantile 0.4 0.8 -0.4850765 
poisson 500 variance 0.2 0.5 -0.5160648 
poisson 500 quantile 0.2 0.5 -0.6441627 
poisson 500 variance 0.4 0.8 -0.4403094 
poisson 500 quantile 0.4 0.8 -0.4808 
