model n method gamma.lower gamma.upper estimated.tau
mean 100 variance 0.2 0.5 0.4723214
mean 100 quantile 0.2 0.5 0.5393624
mean 100 variance 0.4 0.8 0.5963508
mean 100 quantile 0.4 0.8 0.6166793
mean 500 variance 0.2 0.5 0.486932
mean 500 quantile 0.2 0.5 0.5164371
mean 500 variance 0.4 0.8 0.5479741
mean 500 quantile 0.4 0.8 0.5600157
max 100 variance 0.2 0.5 0.6788656
max 100 quantile 0.2 0.5 0.8354596
max 100 variance 0.4 0.8 0.9595496
max 100 quantile 0.4 0.8 1.106756
max 500 variance 0.2 0.5 0.7730042
max 500 quantile 0.2 0.5 0.8722263
max 500 variance 0.4 0.8 1.004263
max 500 quantile 0.4 0.8 1.087161
xicor 100 variance 0.2 0.5 0.1821383
xicor 100 quantile 0.2 0.5 0.03322421
xicor 100 variance 0.4 0.8 0.491408
xicor 100 quantile 0.4 0.8 0.4879618
xicor 500 variance 0.2 0.5 0.2944659
xicor 500 quantile 0.2 0.5 0.2127874
xicor 500 variance 0.4 0.8 0.5052198
xicor 500 quantile 0.4 0.8 0.5170958
