n m.method m.mean p.cov p.length
100 1/2 10 0.923922 0.071058
100 1/3 4.641589 0.938698 0.078228
100 3/4 31.622777 0.890176 0.063056
123 1/2 11.090537 0.92522 0.064777
123 1/3 4.97319 0.948183 0.073348
123 3/4 36.934212 0.896765 0.057784
151 1/2 12.288206 0.933007 0.059302
151 1/3 5.325074 0.9378 0.061511
151 3/4 43.075736 0.896765 0.051878
186 1/2 13.638182 0.938798 0.054399
186 1/3 5.708267 0.944289 0.057572
186 3/4 50.365681 0.901657 0.047377
228 1/2 15.099669 0.936502 0.0483
228 1/3 6.109115 0.9378 0.049303
228 3/4 58.674735 0.910144 0.043393
280 1/2 16.733201 0.939397 0.044646
280 1/3 6.542133 0.941194 0.046168
280 3/4 68.449223 0.906849 0.039357
344 1/2 18.547237 0.936601 0.040072
344 1/3 7.006796 0.933506 0.039945
344 3/4 79.876464 0.907448 0.035877
423 1/2 20.566964 0.941793 0.03625
423 1/3 7.506661 0.945188 0.037403
423 3/4 93.272856 0.914836 0.032448
520 1/2 22.803509 0.947584 0.032914
520 1/3 8.041452 0.942192 0.032713
520 3/4 108.893638 0.919928 0.029594
638 1/2 25.258662 0.938998 0.029387
638 1/3 8.608753 0.945587 0.030611
638 3/4 126.944973 0.915735 0.026881
784 1/2 28 0.94369 0.026436
784 1/3 9.220873 0.946885 0.026967
784 3/4 148.162073 0.923223 0.024305
963 1/2 31.032241 0.939597 0.023921
963 1/3 9.875113 0.951378 0.025222
963 3/4 172.870033 0.919129 0.022114
1184 1/2 34.409301 0.942292 0.021726
1184 1/3 10.579145 0.947684 0.022361
1184 3/4 201.843039 0.922224 0.020036
1454 1/2 38.131352 0.941294 0.019556
1454 1/3 11.32891 0.946386 0.01992
1454 3/4 235.463343 0.926418 0.018152
1786 1/2 42.261093 0.945587 0.017701
1786 1/3 12.132785 0.945188 0.017837
1786 3/4 274.733166 0.929413 0.016468
2195 1/2 46.850827 0.946685 0.016082
2195 1/3 12.996054 0.952177 0.016655
2195 3/4 320.682967 0.926617 0.014918
2696 1/2 51.92302 0.944489 0.014526
2696 1/3 13.917887 0.949581 0.014956
2696 3/4 374.144974 0.92482 0.013497
3313 1/2 57.558666 0.940895 0.013061
3313 1/3 14.90758 0.947384 0.013463
3313 3/4 436.682791 0.925419 0.012237
4070 1/2 63.796552 0.941793 0.011817
4070 1/3 15.966074 0.947784 0.012149
4070 3/4 509.560561 0.926817 0.011078
5000 1/2 70.710678 0.94389 0.010655
5000 1/3 17.099759 0.941194 0.010663
5000 3/4 594.603558 0.926518 0.010036
100 bickel 9.11311 0.920164 0.071099
123 bickel 11.68785 0.921363 0.064112
151 bickel 13.614608 0.922162 0.057997
186 bickel 11.535671 0.928857 0.053092
228 bickel 12.215727 0.934053 0.04823
280 bickel 19.16217 0.931555 0.043222
344 bickel 18.55046 0.93695 0.039328
423 bickel 18.113409 0.931855 0.035657
520 bickel 23.463829 0.934153 0.032158
638 bickel 29.369704 0.932654 0.029015
784 bickel 27.186551 0.93785 0.026323
963 bickel 28.157974 0.940348 0.023825
1184 bickel 38.014988 0.93755 0.02148
1454 bickel 44.82494 0.934952 0.019411
1786 bickel 46.541267 0.934952 0.017552
100 n-out-of-n 100 0.943 0.07560016
123 n-out-of-n 123 0.942 0.06819882
151 n-out-of-n 151 0.9482 0.06166909
186 n-out-of-n 186 0.948 0.05564001
228 n-out-of-n 228 0.9479 0.05025138
280 n-out-of-n 280 0.9463 0.04537713
344 n-out-of-n 344 0.9441 0.04098198
423 n-out-of-n 423 0.9443 0.03696256
520 n-out-of-n 520 0.9472 0.03335142
638 n-out-of-n 638 0.9483 0.03010914
784 n-out-of-n 784 0.9518 0.02717556
963 n-out-of-n 963 0.9511 0.02453631
1184 n-out-of-n 1184 0.9435 0.02211102
1454 n-out-of-n 1454 0.9497 0.01996759
1786 n-out-of-n 1786 0.9499 0.01802094
2195 n-out-of-n 2195 0.9492 0.01626085
2696 n-out-of-n 2696 0.9473 0.01466625
3313 n-out-of-n 3313 0.953 0.01323346
4070 n-out-of-n 4070 0.9512 0.01193894
5000 n-out-of-n 5000 0.9497 0.01077476
100 goetze 16.766587 0.911271 0.068291
123 goetze 19.234213 0.916067 0.062146
151 goetze 22.093925 0.918965 0.056411
186 goetze 25.642286 0.923261 0.051094
228 goetze 29.847322 0.926059 0.04644
280 goetze 35.280975 0.922262 0.042023
344 goetze 42.053957 0.927058 0.038043
423 goetze 49.595124 0.928357 0.034415
520 goetze 59.21263 0.925859 0.031075
638 goetze 70.804956 0.929856 0.028111
784 goetze 84.810152 0.932854 0.025397
963 goetze 102.746603 0.929057 0.022964
1184 goetze 123.540368 0.933953 0.020741
1454 goetze 149.921663 0.935152 0.018743
1786 goetze 179.665867 0.932154 0.016935
2195 goetze 215.280576 0.932154 0.015293
2696 goetze 263.293765 0.936051 0.013798
3313 goetze 314.902878 0.930955 0.01247
4070 goetze 383.171863 0.936451 0.011258
5000 goetze 466.14948 0.93765 0.010162
