"estimator" "n" "m.method" "m.mean" "tau.method" "tau.mean" "p.cov" "p.length" "sd.tau" "sd.m"
"max" 100 "bickel" 8.032974 "real" 1 0.924061 0.026461 0 4.621363
"max" 123 "bickel" 9.301459 "real" 1 0.930655 0.022484 0 6.697829
"max" 151 "bickel" 13.273082 "real" 1 0.92536 0.018279 0 12.588189
"max" 186 "bickel" 9.227018 "real" 1 0.923161 0.014603 0 9.389549
"max" 228 "bickel" 9.951938 "real" 1 0.926559 0.012141 0 10.375337
"max" 280 "bickel" 18.501199 "real" 1 0.926259 0.010114 0 23.015928
"max" 344 "bickel" 15.83693 "real" 1 0.928357 0.008475 0 19.814363
"max" 423 "bickel" 13.319245 "real" 1 0.916567 0.006627 0 17.281581
"max" 520 "bickel" 14.92466 "real" 1 0.928957 0.005559 0 22.987064
"max" 638 "bickel" 29.006695 "real" 1 0.935052 0.004649 0 50.868578
"max" 784 "bickel" 19.486111 "real" 1 0.924361 0.003622 0 48.021964
"max" 963 "bickel" 20.271083 "real" 1 0.922162 0.002978 0 30.340395
"max" 1184 "bickel" 23.318046 "real" 1 0.928757 0.002468 0 45.245253
"max" 1454 "bickel" 37.579736 "real" 1 0.933353 0.002088 0 61.742577
"max" 1786 "bickel" 31.797962 "real" 1 0.926259 0.00162 0 56.131579
"max" 2195 "bickel" 35.622402 "real" 1 0.922162 0.001349 0 94.880389
"max" 2696 "bickel" 86.046463 "real" 1 0.930456 0.001143 0 138.632091
"max" 3313 "bickel" 58.957934 "real" 1 0.922062 0.000882 0 170.491574
"max" 4070 "bickel" 56.719325 "real" 1 0.923561 0.000719 0 186.233659
"max" 5000 "bickel" 65.384992 "real" 1 0.924261 0.000595 0 242.120628
"max" 100 "goetze" 11.380591 "real" 1 0.931909 0.028502 0 6.730156
"max" 123 "goetze" 11.542732 "real" 1 0.936202 0.023607 0 8.563067
"max" 151 "goetze" 11.684904 "real" 1 0.940994 0.01948 0 8.140046
"max" 186 "goetze" 11.823882 "real" 1 0.94389 0.015909 0 9.244856
"max" 228 "goetze" 11.936502 "real" 1 0.943391 0.013148 0 9.353668
