"estimator","h.ci","h.sigma","VI","m.value","m.star"
shorth,2,2,0.02450509,43,756
shorth,2,2,0.02068037,63,756
shorth,2,2,0.01782413,83,756
shorth,2,2,0.009790764,104,756
shorth,2,2,0.009628959,124,756
shorth,2,2,0.008453835,145,756
shorth,2,2,0.006331902,165,756
shorth,2,2,0.006288396,185,756
shorth,2,2,0.007024875,206,756
shorth,2,2,0.008207966,226,756
shorth,2,2,0.008029766,246,756
shorth,2,2,0.007137376,267,756
shorth,2,2,0.00885033,287,756
shorth,2,2,0.009975927,308,756
shorth,2,2,0.01195078,328,756
shorth,2,2,0.01449159,348,756
shorth,2,2,0.01487691,369,756
shorth,2,2,0.01335996,389,756
shorth,2,2,0.0109099,409,756
shorth,2,2,0.007678106,430,756
shorth,2,2,0.006645801,450,756
shorth,2,2,0.006472517,470,756
shorth,2,2,0.004704135,491,756
shorth,2,2,0.00915461,511,756
shorth,2,2,0.0258221,532,756
shorth,2,2,0.04628267,552,756
shorth,2,2,0.06249904,572,756
shorth,2,2,0.07284708,593,756
shorth,2,2,0.07066512,613,756
shorth,2,2,0.05777103,633,756
shorth,2,2,0.04080546,654,756
shorth,2,2,0.02138359,674,756
shorth,2,2,0.009968742,694,756
shorth,2,2,0.006528116,715,756
shorth,2,2,0.005283453,735,756
shorth,2,2,0.003310037,756,756
shorth,2,2,0.003606838,776,756
shorth,2,2,0.004202555,796,756
shorth,2,2,0.004442874,817,756
shorth,2,2,0.00469164,837,756
shorth,2,2,0.005937466,857,756
shorth,2,2,0.00829351,878,756
shorth,2,2,0.01164373,898,756
shorth,2,2,0.03255968,919,756
shorth,2,2,0.04031551,939,756
shorth,2,2,0.04427217,959,756
shorth,3,3,0.01875571,63,796
shorth,3,3,0.01862535,83,796
shorth,3,3,0.01791595,104,796
shorth,3,3,0.01539446,124,796
shorth,3,3,0.009789972,145,796
shorth,3,3,0.008513737,165,796
shorth,3,3,0.007625686,185,796
shorth,3,3,0.00756935,206,796
shorth,3,3,0.008884359,226,796
shorth,3,3,0.01069384,246,796
shorth,3,3,0.01189676,267,796
shorth,3,3,0.01306899,287,796
shorth,3,3,0.01422684,308,796
shorth,3,3,0.01572915,328,796
shorth,3,3,0.01622153,348,796
shorth,3,3,0.01639446,369,796
shorth,3,3,0.01526444,389,796
shorth,3,3,0.01319596,409,796
shorth,3,3,0.01113242,430,796
shorth,3,3,0.008785629,450,796
shorth,3,3,0.01021322,470,796
shorth,3,3,0.02015553,491,796
shorth,3,3,0.03290082,511,796
shorth,3,3,0.04481159,532,796
shorth,3,3,0.05666926,552,796
shorth,3,3,0.06751072,572,796
shorth,3,3,0.07385004,593,796
shorth,3,3,0.07332352,613,796
shorth,3,3,0.06705858,633,796
shorth,3,3,0.05647615,654,796
shorth,3,3,0.04297607,674,796
shorth,3,3,0.02881759,694,796
shorth,3,3,0.01566749,715,796
shorth,3,3,0.008750986,735,796
shorth,3,3,0.006817427,756,796
shorth,3,3,0.006213779,776,796
shorth,3,3,0.005437673,796,796
shorth,3,3,0.006399667,817,796
shorth,3,3,0.008159348,837,796
shorth,3,3,0.01051972,857,796
shorth,3,3,0.0235028,878,796
shorth,3,3,0.02935793,898,796
shorth,3,3,0.03323698,919,796
shorth,3,3,0.03623494,939,796
xicor,2,2,0.0107885,43,185
xicor,2,2,0.009232736,63,185
xicor,2,2,0.007363095,83,185
xicor,2,2,0.003364945,104,185
xicor,2,2,0.002098502,124,185
xicor,2,2,0.0008802046,145,185
xicor,2,2,0.0006452227,165,185
xicor,2,2,0.000452669,185,185
xicor,2,2,0.0006460567,206,185
xicor,2,2,0.0007753389,226,185
xicor,2,2,0.0009333856,246,185
xicor,2,2,0.0008495045,267,185
xicor,2,2,0.0006292191,287,185
xicor,2,2,0.0007151879,308,185
xicor,2,2,0.0008807245,328,185
xicor,2,2,0.001081465,348,185
xicor,2,2,0.001431568,369,185
xicor,2,2,0.001447448,389,185
xicor,2,2,0.001423374,409,185
xicor,2,2,0.001443201,430,185
xicor,2,2,0.001526853,450,185
xicor,2,2,0.001731961,470,185
xicor,2,2,0.002088993,491,185
xicor,2,2,0.002142612,511,185
xicor,2,2,0.001896634,532,185
xicor,2,2,0.001765222,552,185
xicor,2,2,0.001677629,572,185
xicor,2,2,0.00211129,593,185
xicor,2,2,0.002414177,613,185
xicor,2,2,0.002655689,633,185
xicor,2,2,0.00232837,654,185
xicor,2,2,0.002087225,674,185
xicor,2,2,0.001803349,694,185
xicor,2,2,0.001738811,715,185
xicor,2,2,0.001960973,735,185
xicor,2,2,0.00236425,756,185
xicor,2,2,0.002599399,776,185
xicor,2,2,0.002828537,796,185
xicor,2,2,0.003101366,817,185
xicor,2,2,0.003346664,837,185
xicor,2,2,0.00388229,857,185
xicor,2,2,0.004482404,878,185
xicor,2,2,0.005183548,898,185
xicor,2,2,0.006626018,919,185
xicor,2,2,0.006998108,939,185
xicor,2,2,0.006687934,959,185
xicor,3,3,0.007582252,63,246
xicor,3,3,0.006801881,83,246
xicor,3,3,0.005902611,104,246
xicor,3,3,0.00473286,124,246
