n,loss,train_fmt__1,train_fmt__12,eval_fmt__1,eval_fmt__12,speedup_train
100,aft,2.41 [0.33],2.60 [0.11],0.03 [0.00],0.03 [0.02],0.9262389550508914
100,cox,2.10 [0.58],2.21 [0.21],0.03 [0.01],0.04 [0.02],0.9501133786845828
100,cox_l2,2.58 [0.40],2.49 [0.47],0.03 [0.01],0.03 [0.00],1.034524287433011
100,coxtime,1.83 [0.34],2.30 [0.24],0.16 [0.04],0.22 [0.01],0.7957409821811077
500,aft,2.22 [0.35],2.11 [0.28],0.44 [0.05],0.32 [0.02],1.0501182033096308
500,cox,2.21 [0.36],2.47 [0.09],0.51 [0.05],0.44 [0.08],0.8936084142399502
500,cox_l2,2.13 [0.35],2.32 [0.03],0.39 [0.05],0.40 [0.03],0.9177078845328734
500,coxtime,2.94 [0.15],2.89 [0.10],1.62 [0.21],1.50 [0.11],1.01799930772011
1000,aft,2.71 [0.27],2.24 [0.04],1.86 [0.11],1.37 [0.05],1.2085561497330712
1000,cox,2.41 [0.45],2.36 [0.08],1.86 [0.32],1.44 [0.19],1.0177589852014024
1000,cox_l2,2.54 [0.13],2.82 [0.54],1.86 [0.25],1.53 [0.20],0.9020234291807764
1000,coxtime,4.08 [0.07],3.88 [0.33],4.14 [0.03],3.50 [0.33],1.053378029912923
10000,aft,4.58 [0.44],4.42 [0.17],155.22 [1.57],154.76 [5.25],1.0359647138656045
10000,cox,6.02 [0.16],5.97 [0.39],154.53 [0.84],156.05 [0.83],1.0080361627314889
10000,cox_l2,5.46 [0.26],4.90 [0.09],154.68 [0.36],153.32 [1.05],1.1141049193699268
10000,coxtime,577.76 [42.29],386.30 [0.90],194.71 [6.94],194.48 [4.69],1.49562901083881
