rep,cens_target,cens_achieved,lambda_exp_train,loss,test_cens_achieved,metric,value
1,0.1,0.212,0,cox,0.3,cindex,0.783476
1,0.1,0.212,0,cox,0.3,ibs,0.162876
1,0.1,0.212,0,cox_l2,0.3,cindex,0.803997
1,0.1,0.212,0,cox_l2,0.3,ibs,0.175998
1,0.1,0.212,0,aft,0.3,cindex,0.711048
1,0.1,0.212,0,aft,0.3,ibs,0.203642
1,0.1,0.212,0,coxtime,0.3,cindex,0.545773
1,0.1,0.212,0,coxtime,0.3,ibs,0.224288
1,0.3,0.3,0.06817657874812649,cox,0.3,cindex,0.769665
1,0.3,0.3,0.06817657874812649,cox,0.3,ibs,0.171108
1,0.3,0.3,0.06817657874812649,cox_l2,0.3,cindex,0.783427
1,0.3,0.3,0.06817657874812649,cox_l2,0.3,ibs,0.181718
1,0.3,0.3,0.06817657874812649,aft,0.3,cindex,0.7675
1,0.3,0.3,0.06817657874812649,aft,0.3,ibs,0.185261
1,0.3,0.3,0.06817657874812649,coxtime,0.3,cindex,0.685087
1,0.3,0.3,0.06817657874812649,coxtime,0.3,ibs,0.212664
1,0.5,0.5,0.33028486330486423,cox,0.3,cindex,0.746476
1,0.5,0.5,0.33028486330486423,cox,0.3,ibs,0.181763
1,0.5,0.5,0.33028486330486423,cox_l2,0.3,cindex,0.788096
1,0.5,0.5,0.33028486330486423,cox_l2,0.3,ibs,0.168334
1,0.5,0.5,0.33028486330486423,aft,0.3,cindex,0.732485
1,0.5,0.5,0.33028486330486423,aft,0.3,ibs,0.202075
1,0.5,0.5,0.33028486330486423,coxtime,0.3,cindex,0.731505
1,0.5,0.5,0.33028486330486423,coxtime,0.3,ibs,0.205872
1,0.7,0.7,1.6238105602489146,cox,0.3,cindex,0.752688
1,0.7,0.7,1.6238105602489146,cox,0.3,ibs,0.172705
1,0.7,0.7,1.6238105602489146,cox_l2,0.3,cindex,0.768387
1,0.7,0.7,1.6238105602489146,cox_l2,0.3,ibs,0.228593
1,0.7,0.7,1.6238105602489146,aft,0.3,cindex,0.725046
1,0.7,0.7,1.6238105602489146,aft,0.3,ibs,0.1754
1,0.7,0.7,1.6238105602489146,coxtime,0.3,cindex,0.769878
1,0.7,0.7,1.6238105602489146,coxtime,0.3,ibs,0.200249
1,0.9,0.9,29.3604491283365,cox,0.3,cindex,0.735951
1,0.9,0.9,29.3604491283365,cox,0.3,ibs,0.310166
1,0.9,0.9,29.3604491283365,cox_l2,0.3,cindex,0.713961
1,0.9,0.9,29.3604491283365,cox_l2,0.3,ibs,0.255451
1,0.9,0.9,29.3604491283365,aft,0.3,cindex,0.718588
1,0.9,0.9,29.3604491283365,aft,0.3,ibs,0.202808
1,0.9,0.9,29.3604491283365,coxtime,0.3,cindex,0.756226
1,0.9,0.9,29.3604491283365,coxtime,0.3,ibs,0.271783
2,0.1,0.1935,0,cox,0.3,cindex,0.796716
2,0.1,0.1935,0,cox,0.3,ibs,0.178311
2,0.1,0.1935,0,cox_l2,0.3,cindex,0.757751
2,0.1,0.1935,0,cox_l2,0.3,ibs,0.177978
2,0.1,0.1935,0,aft,0.3,cindex,0.753454
2,0.1,0.1935,0,aft,0.3,ibs,0.197257
2,0.1,0.1935,0,coxtime,0.3,cindex,0.697005
2,0.1,0.1935,0,coxtime,0.3,ibs,0.209723
2,0.3,0.3,0.08002015674403001,cox,0.3,cindex,0.783748
2,0.3,0.3,0.08002015674403001,cox,0.3,ibs,0.183054
2,0.3,0.3,0.08002015674403001,cox_l2,0.3,cindex,0.791095
2,0.3,0.3,0.08002015674403001,cox_l2,0.3,ibs,0.163269
2,0.3,0.3,0.08002015674403001,aft,0.3,cindex,0.758885
2,0.3,0.3,0.08002015674403001,aft,0.3,ibs,0.169107
2,0.3,0.3,0.08002015674403001,coxtime,0.3,cindex,0.568504
2,0.3,0.3,0.08002015674403001,coxtime,0.3,ibs,0.22447
2,0.5,0.5,0.3818145336222071,cox,0.3,cindex,0.787064
2,0.5,0.5,0.3818145336222071,cox,0.3,ibs,0.173589
2,0.5,0.5,0.3818145336222071,cox_l2,0.3,cindex,0.757127
2,0.5,0.5,0.3818145336222071,cox_l2,0.3,ibs,0.173984
2,0.5,0.5,0.3818145336222071,aft,0.3,cindex,0.737942
2,0.5,0.5,0.3818145336222071,aft,0.3,ibs,0.198497
2,0.5,0.5,0.3818145336222071,coxtime,0.3,cindex,0.733881
2,0.5,0.5,0.3818145336222071,coxtime,0.3,ibs,0.20602
2,0.7,0.7,1.7492732128583028,cox,0.3,cindex,0.766332
