"","words","word_num","Freq","ngram"
"1","Subjective",1,2,2
"2","pattern",2,2,2
"3","comparison",3,2,2
"4","has",4,2,2
"5","been",5,2,2
"6","subject",6,2,2
"7","to",7,2,2
"8","increased",8,2,2
"9","scrutiny",9,2,2
"10","by",10,2,2
"11","the",11,2,2
"12","courts",12,2,2
"13","and",13,2,2
"14","by",14,2,2
"15","the",15,2,2
"16","general",16,2,2
"17","public,",17,2,2
"18","resulting",18,2,2
"19","in",19,2.98147412008282,2
"20","an",20,2.98147412008282,2
"21","increased",21,2.98147412008282,2
"22","interest",22,2.98147412008282,2
"23","in",23,2.98147412008282,2
"24","pattern",24,2,2
"25","comparison",25,2,2
"26","algorithms",26,2,2
"27","that",27,2,2
"28","provide",28,2,2
"29","quantitative",29,2,2
"30","assessments",30,2,2
"31","of",31,2,2
"32","similarity",32,2,2
"33","for",33,2.16551724137931,2
"34","use",34,1.96551724137931,2
"35","by",35,1.76551724137931,2
"36","forensic",36,1.56551724137931,2
"37","scientists.",37,1.36551724137931,2
"38","While",38,1,2
"39","these",39,1,2
"40","algorithms",40,1,2
"41","would",41,1,2
"42","mark",42,1,2
"43","an",43,1,2
"44","improvement",44,1,2
"45","over",45,1,2
"46","current",46,1,2
"47","subjective",47,1,2
"48","comparison",48,1,2
"49","methods,",49,1,2
"50","individuals",50,1,2
"51","without",51,1,2
"52","a",52,1,2
"53","statistical",53,1,2
"54","background",54,1,2
"55","may",55,1,2
"56","struggle",56,1,2
"57","with",57,1,2
"58","the",58,1,2
"59","statistical",59,1,2
"60","concepts",60,1,2
"61","and",61,1,2
"62","language",62,1,2
"63","necessary",63,1,2
"64","for",64,1,2
"65","describing",65,1,2
"66","algorithmic",66,1,2
"67","methods.",67,1,2
"68","If",68,1.35652173913043,2
"69","algorithms",69,1.55652173913043,2
"70","are",70,1.75652173913043,2
"71","to",71,1.95652173913043,2
"72","be",72,2.15652173913043,2
"73","used,",73,2,2
"74","examiners",74,2,2
"75","must",75,2,2
"76","be",76,2,2
"77","able",77,2,2
"78","to",78,2,2
"79","testify",79,2,2
"80","about",80,2,2
"81","their",81,2,2
"82","use",82,2,2
"83","in",83,2,2
"84","a",84,2,2
"85","way",85,2,2
"86","that",86,2,2
"87","is",87,2.08695652173913,2
"88","accessible",88,1.97391304347826,2
"89","to",89,1.77391304347826,2
"90","the",90,1.57391304347826,2
"91","jury.",91,1.37391304347826,2
"92","In",92,1.28695652173913,2
"93","a",93,1.4,2
"94","series",94,1.6,2
"95","of",95,1.78260869565217,2
"96","studies,",96,1.58260869565217,2
"97","we",97,1.18260869565217,2
"98","conduct",98,0.782608695652174,2
"99","an",99,0.689275362318841,2
"100","assessment",100,0.706666666666667,2
"101","of",101,1.10666666666667,2
"102","language",102,1.50666666666667,2
"103","and",103,1.90666666666667,2
"104","supporting",104,2,2
"105","visual",105,2,2
"106","aids",106,2,2
"107","which",107,2,2
"108","might",108,2,2
"109","be",109,2,2
"110","used",110,2,2
"111","to",111,2.14634146341463,2
"112","explain",112,2.14634146341463,2
"113","bullet",113,3.55663558106169,2
"114","matching",114,3.15663558106169,2
"115","algorithms.",115,2.75663558106169,2
"116","In",116,2.21029411764706,2
"117","the",117,1.81029411764706,2
"118","initial",118,0,2
"119","study,",119,0,2
"120","we",120,0,2
"121","encountered",121,0,2
"122","a",122,0.151515151515152,2
"123","response",123,0.151515151515152,2
"124","type",124,0.151515151515152,2
"125","calibration",125,0.151515151515152,2
"126","issue",126,0.151515151515152,2
"127","-",127,NA,2
"128","individuals",128,0.354285714285714,2
"129","thought",129,0.554285714285714,2
"130","highly",130,0.754285714285714,2
"131","of",131,0.954285714285714,2
"132","the",132,1.15428571428571,2
"133","forensic",133,1,2
"134","witness",134,1,2
"135","and",135,1,2
"136","evidence",136,1,2
"137","regardless",137,1,2
"138","of",138,1,2
"139","experimental",139,1,2
"140","conditions,",140,1,2
"141","'maxing",141,1,2
"142","out'",142,1,2
"143","Likert",143,1,2
"144","response",144,1,2
