"","words","word_num","Freq","threshold"
"1","Subjective",1,2,0.5
"2","pattern",2,2,0.5
"3","comparison",3,2,0.5
"4","has",4,2,0.5
"5","been",5,2,0.5
"6","subject",6,2,0.5
"7","to",7,2,0.5
"8","increased",8,2,0.5
"9","scrutiny",9,2,0.5
"10","by",10,2,0.5
"11","the",11,2,0.5
"12","courts",12,2,0.5
"13","and",13,2,0.5
"14","by",14,2,0.5
"15","the",15,2,0.5
"16","general",16,2,0.5
"17","public,",17,2,0.5
"18","resulting",18,2,0.5
"19","in",19,2.89530006433232,0.5
"20","an",20,2.89530006433232,0.5
"21","increased",21,2.89530006433232,0.5
"22","interest",22,2.89530006433232,0.5
"23","in",23,2.89530006433232,0.5
"24","pattern",24,2,0.5
"25","comparison",25,2,0.5
"26","algorithms",26,2,0.5
"27","that",27,2,0.5
"28","provide",28,2,0.5
"29","quantitative",29,2,0.5
"30","assessments",30,2,0.5
"31","of",31,2,0.5
"32","similarity",32,2,0.5
"33","for",33,2,0.5
"34","use",34,1.95483870967742,0.5
"35","by",35,1.75483870967742,0.5
"36","forensic",36,1.55483870967742,0.5
"37","scientists.",37,1.35483870967742,0.5
"38","While",38,1.15483870967742,0.5
"39","these",39,1,0.5
"40","algorithms",40,1,0.5
"41","would",41,1,0.5
"42","mark",42,1,0.5
"43","an",43,1,0.5
"44","improvement",44,1,0.5
"45","over",45,1,0.5
"46","current",46,1,0.5
"47","subjective",47,1,0.5
"48","comparison",48,1,0.5
"49","methods,",49,1,0.5
"50","individuals",50,1,0.5
"51","without",51,1,0.5
"52","a",52,1,0.5
"53","statistical",53,1,0.5
"54","background",54,1,0.5
"55","may",55,1,0.5
"56","struggle",56,1,0.5
"57","with",57,1,0.5
"58","the",58,1,0.5
"59","statistical",59,1,0.5
"60","concepts",60,1,0.5
"61","and",61,1,0.5
"62","language",62,1,0.5
"63","necessary",63,1,0.5
"64","for",64,1,0.5
"65","describing",65,1,0.5
"66","algorithmic",66,1,0.5
"67","methods.",67,1,0.5
"68","If",68,1.34166666666667,0.5
"69","algorithms",69,1.54166666666667,0.5
"70","are",70,1.74166666666667,0.5
"71","to",71,1.94166666666667,0.5
"72","be",72,2.14166666666667,0.5
"73","used,",73,2,0.5
"74","examiners",74,2,0.5
"75","must",75,2,0.5
"76","be",76,2,0.5
"77","able",77,2,0.5
"78","to",78,2,0.5
"79","testify",79,2,0.5
"80","about",80,2,0.5
"81","their",81,2,0.5
"82","use",82,2,0.5
"83","in",83,2,0.5
"84","a",84,2,0.5
"85","way",85,2,0.5
"86","that",86,2,0.5
"87","is",87,2,0.5
"88","accessible",88,1.97391304347826,0.5
"89","to",89,1.77391304347826,0.5
"90","the",90,1.57391304347826,0.5
"91","jury.",91,1.49391304347826,0.5
"92","In",92,1.49391304347826,0.5
"93","a",93,1.52,0.5
"94","series",94,1.72,0.5
"95","of",95,1.90095238095238,0.5
"96","studies,",96,1.58095238095238,0.5
"97","we",97,1.18095238095238,0.5
"98","conduct",98,0.780952380952381,0.5
"99","an",99,0.671861471861472,0.5
"100","assessment",100,0.690909090909091,0.5
"101","of",101,1.09090909090909,0.5
"102","language",102,1.49090909090909,0.5
"103","and",103,1.89090909090909,0.5
"104","supporting",104,2,0.5
"105","visual",105,2,0.5
"106","aids",106,2,0.5
"107","which",107,2,0.5
"108","might",108,2,0.5
"109","be",109,2,0.5
"110","used",110,2,0.5
"111","to",111,2.1063829787234,0.5
"112","explain",112,2.1063829787234,0.5
"113","bullet",113,3.82510896034412,0.5
"114","matching",114,3.42510896034412,0.5
"115","algorithms.",115,3.02510896034412,0.5
"116","In",116,2.51872598162072,0.5
"117","the",117,2.11872598162072,0.5
"118","initial",118,0,0.5
"119","study,",119,0,0.5
"120","we",120,0,0.5
"121","encountered",121,0,0.5
"122","a",122,0.151515151515152,0.5
"123","response",123,0.151515151515152,0.5
"124","type",124,0.151515151515152,0.5
"125","calibration",125,0.151515151515152,0.5
"126","issue",126,0.293620414673046,0.5
"127","-",127,NA,0.5
"128","individuals",128,0.342105263157895,0.5
"129","thought",129,0.542105263157895,0.5
"130","highly",130,0.742105263157895,0.5
"131","of",131,0.942105263157895,0.5
"132","the",132,1,0.5
"133","forensic",133,1,0.5
"134","witness",134,1,0.5
"135","and",135,1,0.5
"136","evidence",136,1,0.5
"137","regardless",137,1,0.5
"138","of",138,1,0.5
"139","experimental",139,1,0.5
"140","conditions,",140,1,0.5
"141","'maxing",141,1,0.5
"142","out'",142,1,0.5
"143","Likert",143,1,0.5
"144","response",144,1,0.5
"145","scales",145,1,0.5
"146","and",146,1,0.5
"147","leaving",147,1,0.5
"148","us",148,1,0.5
"149","unable",149,1,0.5
"150","to",150,1,0.5
"151","tell",151,1,0.5
"152","if",152,1,0.5
"153","the",153,1,0.5
"154","conditions",154,1,0.5
"155","had",155,1,0.5
"156","any",156,1,0.5
"157","effect.",157,1,0.5
"158","While",158,1,0.5
"159","this",159,1,0.5
"160","study",160,1,0.5
"161","indicated",161,1,0.5
"162","that",162,1,0.5
"163","individuals",163,1,0.5
"164","overall",164,1,0.5
"165","found",165,1,0.5
"166","the",166,1,0.5
"167","testimony",167,1,0.5
"168","to",168,1,0.5
"169","be",169,1,0.5
"170","reliable,",170,1,0.5
"171","credible,",171,1,0.5
"172","and",172,1,0.5
"173","scientific,",173,1,0.5
