"","x"
"1","21:50, 31 July 2024"
"2","21:48, 31 July 2024"
"3","21:47, 31 July 2024"
"4","21:45, 31 July 2024"
"5","21:44, 31 July 2024"
"6","15:05, 31 July 2024"
"7","14:49, 31 July 2024"
"8","06:17, 31 July 2024"
"9","04:42, 31 July 2024"
"10","04:31, 31 July 2024"
"11","04:28, 31 July 2024"
"12","04:00, 31 July 2024"
"13","03:56, 31 July 2024"
"14","03:50, 31 July 2024"
"15","02:34, 31 July 2024"
"16","01:50, 31 July 2024"
"17","01:44, 31 July 2024"
"18","01:43, 31 July 2024"
"19","01:36, 31 July 2024"
"20","01:34, 31 July 2024"
"21","01:32, 31 July 2024"
"22","01:31, 31 July 2024"
"23","01:30, 31 July 2024"
"24","01:29, 31 July 2024"
"25","16:10, 30 July 2024"
"26","12:23, 30 July 2024"
"27","12:03, 30 July 2024"
"28","11:58, 30 July 2024"
"29","09:01, 30 July 2024"
"30","20:42, 29 July 2024"
"31","16:29, 29 July 2024"
"32","16:22, 29 July 2024"
"33","15:11, 29 July 2024"
"34","14:46, 29 July 2024"
"35","13:33, 29 July 2024"
"36","09:18, 29 July 2024"
"37","01:40, 29 July 2024"
"38","21:45, 28 July 2024"
"39","20:15, 28 July 2024"
"40","19:42, 28 July 2024"
"41","18:39, 28 July 2024"
"42","17:26, 28 July 2024"
"43","16:13, 28 July 2024"
"44","16:08, 28 July 2024"
"45","15:39, 28 July 2024"
"46","15:30, 28 July 2024"
"47","15:16, 28 July 2024"
"48","15:12, 28 July 2024"
"49","15:01, 28 July 2024"
"50","14:12, 28 July 2024"
"51","14:06, 28 July 2024"
"52","13:37, 28 July 2024"
"53","13:31, 28 July 2024"
"54","12:37, 28 July 2024"
"55","10:14, 28 July 2024"
"56","09:50, 28 July 2024"
"57","09:36, 28 July 2024"
"58","09:22, 28 July 2024"
"59","09:20, 28 July 2024"
"60","06:49, 28 July 2024"
"61","04:49, 28 July 2024"
"62","03:36, 28 July 2024"
"63","03:19, 28 July 2024"
"64","03:15, 28 July 2024"
"65","03:04, 28 July 2024"
"66","00:43, 28 July 2024"
"67","23:16, 27 July 2024"
"68","23:13, 27 July 2024"
"69","23:10, 27 July 2024"
"70","23:08, 27 July 2024"
"71","20:25, 27 July 2024"
"72","20:23, 27 July 2024"
"73","19:10, 27 July 2024"
"74","18:37, 27 July 2024"
"75","14:06, 27 July 2024"
"76","22:14, 26 July 2024"
"77","17:54, 26 July 2024"
"78","14:15, 26 July 2024"
"79","11:34, 26 July 2024"
"80","11:34, 26 July 2024"
"81","02:03, 26 July 2024"
"82","16:45, 25 July 2024"
"83","16:43, 25 July 2024"
"84","14:16, 25 July 2024"
"85","13:08, 25 July 2024"
"86","09:34, 25 July 2024"
"87","09:14, 25 July 2024"
"88","09:12, 25 July 2024"
"89","08:54, 25 July 2024"
"90","12:15, 24 July 2024"
"91","12:12, 24 July 2024"
"92","12:09, 24 July 2024"
"93","02:12, 24 July 2024"
"94","02:11, 24 July 2024"
"95","00:28, 24 July 2024"
"96","18:25, 23 July 2024"
"97","03:51, 22 June 2024"
"98","04:49, 18 May 2024"
"99","04:41, 18 May 2024"
"100","10:18, 17 May 2024"
"101","16:01, 19 April 2024"
"102","20:46, 23 March 2024"
"103","01:38, 23 March 2024"
"104","03:23, 2 March 2024"
"105","17:04, 9 December 2023"
"106","04:56, 6 December 2023"
"107","02:37, 6 December 2023"
"108","15:58, 4 December 2023"
"109","13:38, 3 December 2023"
"110","18:20, 16 November 2023"
"111","18:55, 25 October 2023"
"112","23:24, 3 October 2023"
"113","15:03, 20 September 2023"
"114","07:52, 5 September 2023"
"115","20:52, 27 August 2023"
"116","20:24, 27 August 2023"
"117","20:24, 27 August 2023"
"118","18:14, 27 August 2023"
"119","17:18, 27 August 2023"
"120","17:16, 27 August 2023"
"121","17:13, 27 August 2023"
"122","01:00, 25 August 2023"
"123","21:08, 22 August 2023"
"124","20:43, 22 August 2023"
"125","20:43, 22 August 2023"
"126","22:03, 18 August 2023"
"127","22:02, 18 August 2023"
"128","18:13, 20 July 2023"
"129","21:15, 19 July 2023"
"130","14:48, 19 July 2023"
"131","19:38, 16 July 2023"
"132","02:47, 6 July 2023"
"133","08:03, 20 June 2023"
"134","19:14, 18 June 2023"
"135","19:11, 18 June 2023"
"136","01:17, 17 June 2023"
"137","06:22, 12 June 2023"
"138","20:37, 10 June 2023"
"139","16:01, 6 June 2023"
"140","04:18, 6 June 2023"
"141","17:00, 5 June 2023"
"142","23:19, 30 May 2023"
"143","23:19, 30 May 2023"
"144","23:14, 30 May 2023"
"145","03:34, 26 May 2023"
"146","15:21, 22 May 2023"
"147","16:34, 23 April 2023"
"148","04:17, 22 April 2023"
"149","04:15, 22 April 2023"
"150","03:42, 22 April 2023"
