"","x"
"1","22:54, 29 August 2024"
"2","22:51, 29 August 2024"
"3","22:48, 29 August 2024"
"4","22:39, 29 August 2024"
"5","22:05, 29 August 2024"
"6","22:01, 29 August 2024"
"7","12:52, 29 August 2024"
"8","10:52, 29 August 2024"
"9","03:21, 29 August 2024"
"10","03:16, 29 August 2024"
"11","03:13, 29 August 2024"
"12","22:48, 28 August 2024"
"13","22:40, 28 August 2024"
"14","22:34, 28 August 2024"
"15","22:33, 28 August 2024"
"16","13:18, 28 August 2024"
"17","02:25, 28 August 2024"
"18","20:53, 27 August 2024"
"19","20:49, 27 August 2024"
"20","20:24, 27 August 2024"
"21","19:55, 27 August 2024"
"22","19:49, 27 August 2024"
"23","19:46, 27 August 2024"
"24","00:25, 27 August 2024"
"25","13:59, 26 August 2024"
"26","13:58, 26 August 2024"
"27","07:50, 26 August 2024"
"28","16:55, 25 August 2024"
"29","11:32, 25 August 2024"
"30","09:15, 25 August 2024"
"31","09:11, 25 August 2024"
"32","01:43, 25 August 2024"
"33","00:57, 25 August 2024"
"34","22:33, 24 August 2024"
"35","22:32, 24 August 2024"
"36","22:30, 24 August 2024"
"37","22:28, 24 August 2024"
"38","12:43, 24 August 2024"
"39","07:16, 24 August 2024"
"40","22:06, 23 August 2024"
"41","21:21, 23 August 2024"
"42","21:13, 23 August 2024"
"43","21:09, 23 August 2024"
"44","21:07, 23 August 2024"
"45","21:04, 23 August 2024"
"46","20:26, 23 August 2024"
"47","19:59, 23 August 2024"
"48","17:42, 23 August 2024"
"49","17:37, 23 August 2024"
"50","16:45, 23 August 2024"
"51","16:35, 23 August 2024"
"52","16:25, 23 August 2024"
"53","16:22, 23 August 2024"
"54","16:22, 23 August 2024"
"55","15:38, 23 August 2024"
"56","15:35, 23 August 2024"
"57","15:29, 23 August 2024"
"58","15:25, 23 August 2024"
"59","15:21, 23 August 2024"
"60","14:31, 23 August 2024"
"61","14:30, 23 August 2024"
"62","13:02, 23 August 2024"
"63","11:13, 23 August 2024"
"64","11:11, 23 August 2024"
"65","03:50, 23 August 2024"
"66","02:24, 23 August 2024"
"67","02:08, 23 August 2024"
"68","01:48, 23 August 2024"
"69","01:46, 23 August 2024"
"70","01:02, 23 August 2024"
"71","00:40, 23 August 2024"
"72","23:30, 22 August 2024"
"73","23:16, 22 August 2024"
"74","22:34, 22 August 2024"
"75","16:26, 22 August 2024"
"76","16:06, 22 August 2024"
"77","15:37, 22 August 2024"
"78","14:32, 22 August 2024"
"79","14:27, 22 August 2024"
"80","13:50, 22 August 2024"
"81","13:46, 22 August 2024"
"82","13:17, 22 August 2024"
"83","12:58, 22 August 2024"
"84","12:06, 22 August 2024"
"85","04:14, 22 August 2024"
"86","04:10, 22 August 2024"
"87","04:08, 22 August 2024"
"88","04:06, 22 August 2024"
"89","03:55, 22 August 2024"
"90","03:47, 22 August 2024"
"91","03:47, 22 August 2024"
"92","03:41, 22 August 2024"
"93","02:28, 22 August 2024"
"94","00:40, 22 August 2024"
"95","00:39, 22 August 2024"
"96","00:21, 22 August 2024"
"97","21:13, 21 August 2024"
"98","21:11, 21 August 2024"
"99","20:58, 21 August 2024"
"100","18:32, 21 August 2024"
"101","17:21, 21 August 2024"
"102","17:15, 21 August 2024"
"103","14:46, 21 August 2024"
"104","14:45, 21 August 2024"
"105","14:36, 21 August 2024"
"106","14:31, 21 August 2024"
"107","14:23, 21 August 2024"
"108","05:58, 21 August 2024"
"109","21:59, 20 August 2024"
"110","19:07, 20 August 2024"
"111","19:06, 20 August 2024"
"112","19:04, 20 August 2024"
"113","19:02, 20 August 2024"
"114","19:01, 20 August 2024"
"115","18:58, 20 August 2024"
"116","12:35, 20 August 2024"
"117","12:00, 20 August 2024"
"118","11:59, 20 August 2024"
"119","10:16, 20 August 2024"
"120","03:45, 20 August 2024"
"121","03:42, 20 August 2024"
"122","02:26, 20 August 2024"
"123","01:50, 20 August 2024"
"124","01:24, 20 August 2024"
"125","01:22, 20 August 2024"
"126","01:20, 20 August 2024"
"127","00:19, 20 August 2024"
"128","00:16, 20 August 2024"
"129","00:14, 20 August 2024"
"130","22:53, 19 August 2024"
"131","09:23, 19 August 2024"
"132","09:20, 19 August 2024"
"133","08:58, 19 August 2024"
"134","08:52, 19 August 2024"
"135","08:52, 19 August 2024"
"136","08:52, 19 August 2024"
"137","08:50, 19 August 2024"
"138","01:32, 19 August 2024"
"139","01:25, 19 August 2024"
"140","00:39, 19 August 2024"
"141","00:21, 19 August 2024"
"142","22:44, 18 August 2024"
"143","16:27, 18 August 2024"
"144","14:47, 18 August 2024"
"145","14:24, 18 August 2024"
"146","14:22, 18 August 2024"
"147","14:16, 18 August 2024"
"148","11:18, 18 August 2024"
"149","10:56, 18 August 2024"
"150","02:00, 18 August 2024"
