"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","14.08","8.30","4.65","22.47","7.66","3.05","14.24","8.40","4.70","23.64","8.56","3.79","14.08","8.47","5.00","21.82","8.20","3.86"
"","SD","2.22","1.24","0.63","14.78","3.48","1.01","2.21","1.25","0.63","14.57","3.36","0.95","2.16","1.25","0.69","12.40","3.62","1.02"
"$\text{DS}_{1, \text{nai}}$","Mean","13.63","7.74","4.35","19.59","6.80","2.75","13.80","7.86","4.41","21.14","8.07","3.75","13.67","7.96","4.73","19.59","7.44","3.65"
"","SD","2.37","1.28","0.61","12.25","3.16","0.91","2.32","1.28","0.62","12.18","3.04","0.89","2.26","1.27","0.67","11.23","3.26","0.99"
"$\text{DS}_{3, \text{opt}}$","Mean","8.66","4.29","2.19","23.55","7.78","2.99","9.71","5.23","\bftab 3.04","24.41","8.56","3.66","8.82","4.72","3.03","23.39","8.28","3.79"
"","SD","1.94","0.95","0.45","14.83","3.46","0.90","1.88","0.96","0.49","14.74","3.43","0.90","1.89","0.96","0.67","13.15","3.70","0.97"
"$\text{DS}_{3, \text{nai}}$","Mean","7.87","3.96","2.06","21.38","7.09","2.71","9.25","\bftab 5.15","3.08","22.57","8.12","\bftab 3.65","8.07","4.45","2.96","20.95","7.65","3.61"
"","SD","1.83","0.90","0.43","13.54","3.17","0.84","1.77","0.92","0.48","13.49","3.13","0.86","1.79","0.91","0.68","11.82","3.46","0.95"
"X13","Mean","6.83","5.84","5.51","16.32","10.11","7.11","10.09","7.38","6.35","19.57","11.30","7.83","7.45","6.62","6.28","16.57","10.78","7.84"
"","SD","2.17","1.69","1.40","10.06","4.43","2.36","1.98","1.34","1.24","9.93","4.11","2.10","2.04","1.63","1.39","9.17","4.50","2.20"
"TS","Mean","3.46","1.98","1.08","6.83","2.33","1.11","7.68","5.93","3.37","11.19","\bftab 6.57","4.42","4.62","\bftab 3.49","\bftab 2.85","8.11","\bftab 4.35","\bftab 3.06"
"","SD","2.78","2.45","1.57","5.63","1.67","1.08","2.43","2.59","1.55","5.69","1.67","1.25","2.71","1.92","1.33","5.17","2.00","1.09"
"STL","Mean","4.71","4.82","4.86","11.71","7.95","6.03","8.48","5.93","4.94","15.52","9.08","6.11","5.24","5.23","5.21","11.81","8.46","6.46"
"","SD","1.35","0.94","0.64","7.95","3.27","1.49","1.38","1.02","0.65","7.93","3.34","1.50","1.34","0.97","0.70","6.96","3.61","1.49"
"TBATS","Mean","3.64","2.11","1.37","7.81","2.96","1.54","8.14","6.54","5.78","12.28","7.43","5.97","28.35","29.64","31.02","32.47","31.04","31.90"
"","SD","1.35","0.64","0.29","5.90","1.36","0.43","1.39","0.66","0.30","5.89","1.37","0.44","26.42","27.05","26.75","27.97","28.22","28.60"
"MA","Mean","\bftab 2.66","\bftab 1.27","\bftab 0.62","\bftab 6.57","\bftab 2.09","\bftab 0.78","\bftab 7.24","5.77","5.09","\bftab 11.16","6.58","5.24","\bftab 4.29","4.57","6.66","\bftab 8.09","5.40","6.90"
"","SD","1.14","0.56","0.26","5.52","1.26","0.39","1.17","0.56","0.26","5.53","1.26","0.39","1.53","2.30","3.75","5.04","2.57","3.81"
