"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","0.77","0.43","0.23","17.81","4.52","1.24","\bftab 0.92","0.51","\bftab 0.28","18.38","4.92","1.60","1.00","0.81","0.87","18.16","5.08","2.26"
"","SD","0.24","0.12","0.06","16.90","3.85","1.12","0.27","0.13","0.07","16.86","3.81","1.17","0.56","0.58","1.02","16.22","4.14","1.86"
"$\text{DS}_{1, \text{nai}}$","Mean","0.80","0.39","0.21","15.16","3.96","1.08","0.95","\bftab 0.50","\bftab 0.28","16.03","4.61","1.66","1.05","0.82","0.92","15.50","4.62","2.32"
"","SD","0.25","0.12","0.06","13.88","3.43","0.98","0.28","0.13","0.07","13.96","3.40","1.09","0.62","0.66","1.12","13.57","3.72","2.19"
"$\text{DS}_{3, \text{opt}}$","Mean","0.53","0.25","0.12","15.50","3.93","1.07","1.18","0.81","0.65","16.24","4.49","\bftab 1.57","0.92","0.97","1.41","16.22","4.57","2.25"
"","SD","0.21","0.10","0.05","13.76","3.37","1.02","0.34","0.23","0.19","13.69","3.36","1.05","0.86","1.11","1.86","14.91","3.67","1.98"
"$\text{DS}_{3, \text{nai}}$","Mean","0.48","0.23","0.11","13.82","3.56","0.97","1.33","0.99","0.84","14.81","\bftab 4.35","1.69","0.91","1.03","1.54","14.41","4.28","2.32"
"","SD","0.19","0.09","0.04","12.43","3.11","0.95","0.36","0.27","0.22","12.38","3.08","0.99","0.93","1.26","2.05","13.14","3.48","2.21"
"X13","Mean","0.30","0.27","0.26","8.90","4.11","2.14","2.66","0.62","0.36","11.92","4.86","2.30","1.02","0.85","0.77","9.77","4.84","2.66"
"","SD","0.16","0.11","0.07","9.49","3.58","1.91","0.47","0.16","0.08","9.48","3.67","1.95","1.58","0.78","0.65","9.30","3.86","1.83"
"TS","Mean","0.24","0.17","0.07","5.53","1.20","0.42","1.09","0.68","0.41","10.24","4.56","1.75","\bftab 0.86","\bftab 0.67","\bftab 0.63","8.47","\bftab 3.21","\bftab 1.86"
"","SD","0.26","0.14","0.08","10.61","1.83","0.93","0.36","0.19","0.14","10.85","3.05","1.49","0.43","0.32","0.32","15.32","3.34","1.35"
"STL","Mean","0.24","0.23","0.23","6.66","3.55","1.88","4.03","1.42","0.32","10.47","4.71","1.98","1.41","1.05","0.87","7.82","4.29","2.46"
"","SD","0.14","0.09","0.06","6.95","3.07","1.65","0.19","0.18","0.08","7.02","3.12","1.66","3.01","1.25","0.99","7.47","3.48","1.72"
"TBATS","Mean","88.73","88.88","89.26","90.09","89.39","89.42","90.78","90.69","90.86","92.18","91.39","91.24","71.01","71.05","71.41","64.20","67.54","71.66"
"","SD","1.64","0.91","2.29","4.19","2.38","2.23","0.67","0.92","0.73","4.33","1.86","2.50","49.12","48.60","49.66","45.31","48.12","48.20"
"MA","Mean","\bftab 0.13","\bftab 0.06","\bftab 0.03","\bftab 3.81","\bftab 0.93","\bftab 0.25","4.59","4.52","4.48","\bftab 8.27","5.39","4.70","3.51","5.82","10.44","\bftab 7.21","6.99","10.36"
"","SD","0.11","0.05","0.03","4.96","1.22","0.34","0.13","0.05","0.03","5.01","1.23","0.34","7.08","7.88","15.00","8.77","9.31","13.58"
