$r$,Inflation,Quantity,s1_t1_15,s1_t1_30,s1_t1_60,s1_t2_15,s1_t2_30,s1_t2_60,s1_t3_15,s1_t3_30,s1_t3_60,s2_t1_15,s2_t1_30,s2_t1_60,s2_t2_15,s2_t2_30,s2_t2_60,s2_t3_15,s2_t3_30,s2_t3_60
1,,$h_A$,0.49,0.49,0.49,0.16,0.14,0.12,0.12,0.11,0.09,0.49,0.49,0.49,0.16,0.14,0.12,0.12,0.11,0.09
,optimal,$\text{Mean}\left(\hat{h}\right)$,0.23,0.26,0.27,0.16,0.15,0.13,0.12,0.11,0.10,0.23,0.26,0.27,0.16,0.15,0.13,0.12,0.11,0.10
,,$\text{SD}\left(\hat{h}\right)$,69.33,72.99,74.11,27.58,12.66,8.57,12.78,9.47,5.79,68.82,73.93,73.54,27.54,12.63,8.55,12.47,9.49,5.79
,,$\text{MSE}\left(\hat{h}\right)$,70.44,59.17,55.43,0.76,0.17,0.08,0.16,0.12,0.05,72.25,59.35,55.74,0.76,0.17,0.08,0.16,0.12,0.05
,,$\text{MSE}\left(\hat{g}\right)$,2.35,1.23,0.60,9.22,5.26,3.05,11.16,7.50,4.28,2.37,1.24,0.60,9.22,5.28,3.05,11.03,7.43,4.27
,,$\text{MSE}\left(\hat{s}\right)$,1.62,0.74,0.36,2.20,1.15,0.65,3.05,1.49,0.84,2.30,1.53,1.18,2.49,1.33,0.75,3.11,1.55,0.88
,,$\text{MSE}\left(\hat{m}\right)$,3.91,1.97,0.96,11.09,6.39,3.69,12.57,9.02,5.11,4.61,2.76,1.79,11.34,6.58,3.80,12.60,9.03,5.14
,naive,$\text{Mean}\left(\hat{h}\right)$,0.28,0.30,0.30,0.18,0.16,0.14,0.15,0.13,0.11,0.28,0.30,0.30,0.18,0.16,0.14,0.15,0.13,0.11
,,$\text{SD}\left(\hat{h}\right)$,63.27,62.83,63.42,23.50,13.15,9.31,29.23,10.33,6.89,64.71,63.57,63.07,22.78,13.00,9.26,29.14,10.30,6.87
,,$\text{MSE}\left(\hat{h}\right)$,47.49,41.56,38.62,0.79,0.44,0.30,1.51,0.59,0.23,48.19,41.95,38.75,0.81,0.45,0.30,1.47,0.57,0.22
,,$\text{MSE}\left(\hat{g}\right)$,2.11,1.13,0.54,11.05,6.52,3.82,19.63,10.56,5.45,2.12,1.14,0.54,11.23,6.57,3.84,19.38,10.50,5.43
,,$\text{MSE}\left(\hat{s}\right)$,1.35,0.64,0.31,1.99,1.07,0.60,2.81,1.33,0.78,2.32,1.66,1.36,2.35,1.29,0.74,2.99,1.43,0.83
,,$\text{MSE}\left(\hat{m}\right)$,3.42,1.77,0.86,12.71,7.56,4.42,20.09,11.69,6.21,4.39,2.78,1.90,13.23,7.84,4.57,20.06,11.77,6.25
3,,$h_A$,0.49,0.49,0.49,0.29,0.27,0.25,0.25,0.23,0.21,0.49,0.49,0.49,0.29,0.27,0.25,0.25,0.23,0.21
,optimal,$\text{Mean}\left(\hat{h}\right)$,0.19,0.20,0.20,0.18,0.19,0.20,0.18,0.19,0.18,0.19,0.20,0.20,0.18,0.19,0.20,0.18,0.18,0.18
,,$\text{SD}\left(\hat{h}\right)$,29.30,30.12,32.09,27.48,26.56,25.51,22.74,18.80,16.13,30.33,31.67,32.14,27.96,26.98,25.52,22.64,18.86,16.03
,,$\text{MSE}\left(\hat{h}\right)$,93.01,86.27,82.68,11.97,6.24,3.24,5.66,2.57,1.19,93.30,86.50,82.67,12.18,6.37,3.26,5.77,2.62,1.20
,,$\text{MSE}\left(\hat{g}\right)$,4.78,2.60,1.36,4.85,2.68,1.44,5.02,2.85,1.58,4.82,2.61,1.36,4.89,2.69,1.45,5.06,2.85,1.58
,,$\text{MSE}\left(\hat{s}\right)$,1.90,0.89,0.43,1.91,0.90,0.44,1.96,0.94,0.47,2.33,1.33,0.90,2.33,1.32,0.87,2.33,1.30,0.81
,,$\text{MSE}\left(\hat{m}\right)$,6.49,3.46,1.78,6.58,3.55,1.88,6.79,3.76,2.04,6.92,3.90,2.25,7.00,3.97,2.31,7.16,4.11,2.38
,naive,$\text{Mean}\left(\hat{h}\right)$,0.22,0.23,0.24,0.21,0.22,0.22,0.20,0.20,0.20,0.22,0.23,0.24,0.21,0.22,0.22,0.20,0.20,0.20
,,$\text{SD}\left(\hat{h}\right)$,34.31,40.66,40.77,30.55,29.63,25.90,22.37,18.09,14.39,37.07,40.61,40.53,32.01,29.18,25.76,22.64,17.93,14.44
,,$\text{MSE}\left(\hat{h}\right)$,76.47,67.81,65.19,7.11,2.97,1.31,3.07,1.07,0.41,76.64,68.28,65.35,7.33,3.07,1.34,3.16,1.11,0.42
,,$\text{MSE}\left(\hat{g}\right)$,4.43,2.38,1.24,4.58,2.58,1.41,4.92,2.85,1.61,4.48,2.39,1.24,4.64,2.58,1.41,4.96,2.84,1.60
,,$\text{MSE}\left(\hat{s}\right)$,1.68,0.78,0.38,1.70,0.80,0.40,1.78,0.86,0.43,2.28,1.43,1.05,2.28,1.39,0.97,2.28,1.33,0.87
,,$\text{MSE}\left(\hat{m}\right)$,5.94,3.14,1.61,6.11,3.36,1.81,6.52,3.68,2.03,6.55,3.79,2.28,6.70,3.94,2.38,7.00,4.14,2.46
