"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","1.93","0.94","0.54","14.62","3.63","0.97","2.11","1.10","0.62","15.85","4.60","1.72","2.03","1.19","0.97","13.77","3.98","1.76"
"","SD","0.48","0.24","0.11","13.60","3.18","0.73","0.47","0.24","0.12","13.50","3.19","0.84","0.46","0.27","0.29","11.48","2.89","0.84"
"$\text{DS}_{1, \text{nai}}$","Mean","1.78","0.84","0.49","12.79","3.30","0.87","2.20","\bftab 1.08","\bftab 0.61","14.39","4.55","1.90","1.89","1.12","0.97","12.28","3.70","1.76"
"","SD","0.56","0.21","0.11","11.40","2.80","0.67","0.47","0.24","0.12","11.44","2.84","0.84","0.52","0.27","0.31","10.18","2.64","0.83"
"$\text{DS}_{3, \text{opt}}$","Mean","1.24","0.59","0.30","15.74","3.73","0.96","\bftab 2.09","1.42","1.09","16.65","4.52","1.68","1.43","1.02","1.15","14.91","4.04","1.74"
"","SD","0.39","0.18","0.08","13.92","3.14","0.74","0.46","0.30","0.23","13.91","3.15","0.78","0.38","0.30","0.55","12.27","3.02","0.85"
"$\text{DS}_{3, \text{nai}}$","Mean","1.13","0.54","0.27","14.15","3.39","0.87","2.25","1.63","1.28","15.34","\bftab 4.46","1.85","1.34","1.02","1.20","13.36","3.79","1.74"
"","SD","0.36","0.17","0.08","12.79","2.91","0.68","0.48","0.32","0.23","12.72","2.93","0.76","0.37","0.32","0.59","11.06","2.76","0.82"
"X13","Mean","0.84","0.77","0.75","10.37","4.59","2.25","3.69","1.33","0.85","13.33","5.28","2.36","1.26","1.16","1.11","9.91","4.88","2.60"
"","SD","0.30","0.21","0.14","9.78","3.84","1.62","0.39","0.27","0.15","9.76","3.86","1.61","0.39","0.29","0.25","7.98","3.55","1.57"
"TS","Mean","0.44","0.23","0.15","4.52","1.12","0.35","2.40","1.22","0.72","8.98","4.57","\bftab 1.62","1.21","\bftab 1.01","\bftab 0.94","\bftab 5.58","\bftab 2.74","\bftab 1.65"
"","SD","0.38","0.27","0.29","5.29","1.35","0.39","0.86","0.32","0.24","5.43","2.42","0.97","0.44","0.32","0.27","4.46","1.81","0.82"
"STL","Mean","0.63","0.64","0.64","7.71","3.79","1.94","4.41","1.75","0.72","11.51","4.92","2.01","\bftab 1.15","1.05","1.00","7.52","4.09","2.26"
"","SD","0.27","0.18","0.12","7.80","3.15","1.38","0.30","0.27","0.13","7.79","3.19","1.37","0.42","0.30","0.26","6.27","2.98","1.36"
"TBATS","Mean","1.03","0.82","0.75","5.22","1.69","0.93","5.56","5.31","5.21","9.73","6.19","5.38","27.37","29.00","31.00","31.07","30.24","32.23"
"","SD","0.26","0.12","0.13","5.59","1.17","0.31","0.26","0.13","0.07","5.53","1.20","0.29","27.84","27.35","37.39","28.25","29.96","29.38"
"MA","Mean","\bftab 0.36","\bftab 0.17","\bftab 0.08","\bftab 4.39","\bftab 1.02","\bftab 0.25","4.93","4.67","4.55","\bftab 8.97","5.52","4.72","1.98","3.35","6.41","5.61","4.23","6.38"
"","SD","0.22","0.11","0.05","5.31","1.12","0.27","0.24","0.11","0.05","5.34","1.13","0.27","1.09","2.08","4.38","4.30","2.37","4.11"
