"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","2.93","1.44","0.73","19.47","5.35","1.68","3.11","1.61","0.86","19.99","5.77","2.06","3.15","1.91","1.58","19.95","5.92","2.71"
"","SD","0.92","0.46","0.23","17.12","3.98","1.22","0.95","0.47","0.24","17.03","3.92","1.24","1.09","0.87","1.38","16.48","4.32","1.96"
"$\text{DS}_{1, \text{nai}}$","Mean","2.79","1.28","0.66","16.48","4.68","1.45","3.10","\bftab 1.55","\bftab 0.85","17.30","5.35","2.08","3.05","1.83","1.61","17.05","5.34","2.71"
"","SD","0.96","0.45","0.22","14.05","3.55","1.07","0.95","0.45","0.24","13.91","3.47","1.14","1.15","0.97","1.56","13.90","3.88","2.28"
"$\text{DS}_{3, \text{opt}}$","Mean","2.07","0.99","0.48","16.97","4.67","1.46","\bftab 2.85","1.62","1.08","17.71","5.25","\bftab 1.97","2.45","1.72","1.82","17.78","5.32","2.64"
"","SD","0.84","0.38","0.19","13.83","3.46","1.09","0.90","0.45","0.31","13.78","3.43","1.12","1.19","1.19","1.96","15.05","3.80","2.03"
"$\text{DS}_{3, \text{nai}}$","Mean","1.85","0.90","0.43","15.16","4.23","1.31","2.86","1.76","1.29","16.19","\bftab 5.04","2.06","2.28","1.72","1.96","15.90","4.95","2.67"
"","SD","0.75","0.36","0.18","12.55","3.20","1.01","0.86","0.48","0.36","12.51","3.16","1.05","1.22","1.37","2.21","13.44","3.61","2.25"
"X13","Mean","1.22","1.08","1.04","9.79","4.92","2.93","3.85","1.68","1.15","12.83","5.70","3.11","2.02","1.78","1.64","10.69","5.68","3.45"
"","SD","0.65","0.42","0.29","9.58","3.71","2.02","0.83","0.49","0.30","9.59","3.72","2.05","1.73","0.97","0.82","9.53","4.01","1.88"
"TS","Mean","0.81","0.34","0.18","6.20","1.46","0.55","3.64","1.83","1.06","10.81","5.18","2.28","\bftab 1.87","\bftab 1.50","\bftab 1.36","8.63","\bftab 3.66","\bftab 2.29"
"","SD","0.77","0.31","0.19","12.32","2.14","1.07","1.22","0.62","0.36","13.62","2.70","1.36","1.18","0.83","0.73","12.78","3.07","1.50"
"STL","Mean","0.93","0.92","0.92","7.30","4.24","2.58","4.72","2.11","1.01","11.11","5.40","2.68","2.07","1.74","1.57","8.54","4.97","3.13"
"","SD","0.54","0.35","0.24","7.05","3.15","1.73","0.59","0.47","0.26","7.13","3.20","1.74","3.07","1.29","1.03","7.66","3.60","1.77"
"TBATS","Mean","89.11","88.91","88.99","90.17","89.49","89.28","91.00","90.93","91.02","92.28","91.44","91.34","70.72","71.19","73.58","64.84","67.13","71.55"
"","SD","2.17","1.28","4.28","4.69","2.61","2.40","1.10","0.67","3.44","4.21","2.09","2.08","48.92","48.02","47.49","45.47","47.79","48.91"
"MA","Mean","\bftab 0.52","\bftab 0.24","\bftab 0.12","\bftab 4.18","\bftab 1.10","\bftab 0.34","4.98","4.70","4.58","\bftab 8.64","5.56","4.79","3.88","6.01","10.53","\bftab 7.58","7.16","10.45"
"","SD","0.45","0.19","0.10","5.12","1.30","0.40","0.47","0.20","0.10","5.17","1.32","0.41","7.08","7.88","15.00","8.82","9.31","13.58"
