date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLF,CLP,CNH,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STD,STN,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VES,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XPD,XPT,YER,ZAR,ZMW,ZWL
2019-11-01,3.672857,78.11786,110.471189,476.485579,1.735003,496.7435,59.509665,1.4474,1.801,1.7025,1.753188,2,84.774813,1.75109,0.376784,1866.620736,1,1.357793,6.914913,3.9903,1,1.08022751e-4,70.769344,10.977088,2.051928,2.015669,1.31575,1654.768439,0.986633,0.024,742.4,7.0432,7.0374,3368.844178,582.12925,1,25.75,99.58,22.8455,178,6.6918,52.799492,119.448611,16.1036,14.9996,29.584601,0.895396,2.17775,0.7727,0.7727,2.955,0.7727,5.492364,0.7727,51.2,9199.976461,7.711463,208.729203,7.8366,24.657571,6.674932,97.066302,293.77,13992.2,3.5251,0.7727,70.705004,1189.982382,42105,123.500029,0.7727,138.563607,0.7085,108.20502495,103.25,69.651249000000007,4070.414306,442.599546,900,1164.7,0.303332,0.833393,389.714902,8839.510647,1511.973924,181.167512,211.599966,14.98,1.40118,9.613342,17.397445,3680.265781,55.10573,1521.988029,2675.549329,8.072269,357,37.196628,36.228577,15.45,733.789296,19.1099,4.1655,62.769999,14.98,362,34.044783,9.09567,113.230544,1.555694,0.384776,1,3.344957,3.40421,50.374815,154.962204,3.808141,6440.912075,3.641,4.2576,105.138941,63.5163,917.719639,3.750101,8.254337,13.736072,45.109781,9.6804,1.3581,0.7727,7438.043346,578.4538,7.458,130.26,21560.79,22.15,8.750762,514.939875,15.139698,30.101407,9.689714,3.5,2.833,2.317041,5.712,6.746477,30.449001,2303.2,24.81048,3709.978911,1,37.445964,9446.96807,248487.642241,23585.484972,23129.423867,115.926726,2.63879,587.34105,0.05519846,6.6055e-4,2.70255,0.724556,5.5312e-4,0.00105154,250.350066,15.0285,13.289917,322.000001
2019-11-02,3.672857,78.11786,110.471189,476.485579,1.735003,496.7435,59.642893,1.4474,1.801,1.7025,1.753188,2,84.774813,1.75109,0.376784,1866.620736,1,1.357793,6.914913,3.9896,1,1.07447629e-4,70.769344,10.977088,2.051928,2.015669,1.31579,1654.768439,0.986633,0.024,742.4,7.0432,7.0373,3376.405081,582.12925,1,25.75,99.58,22.845001,178,6.6915,52.799492,119.448611,16.139691,14.999786,29.584601,0.895456,2.17775,0.772678,0.772678,2.955,0.772678,5.492364,0.772678,51.2,9199.976461,7.711463,208.729203,7.83625,24.657571,6.674932,97.066302,293.73,14019.919,3.5251,0.772678,70.522108,1189.982382,42152.890176,123.430007,0.772678,138.563607,0.7085,108.205,103.25,69.651252,4070.414306,442.599546,900,1164.69997,0.303332,0.833393,389.714902,8839.510647,1511.973924,181.167512,211.599966,14.98,1.40118,9.613342,17.397445,3680.265781,55.10573,1521.988029,2681.360024,8.072269,357,37.196628,36.229999,15.45,733.789296,19.1104,4.1655,62.769999,14.98,362,34.044783,9.0924,113.230544,1.555694,0.384776,1,3.344957,3.40421,50.487585,154.962204,3.80815,6440.912075,3.641,4.2576,105.138941,63.5391,917.719639,3.750101,8.254337,13.736072,45.109781,9.5639,1.357868,0.772678,7438.043346,578.4538,7.458,130.26,21560.79,22.15,8.750762,514.940169,15.139698,30.168793,9.689714,3.5,2.833,2.317041,5.7124,6.746477,30.449001,2303.2,24.81048,3709.978911,1,37.445964,9446.96807,248487.642241,22152.855,23177.096571,115.0155,2.662945,587.380369,0.05519846,6.6055e-4,2.70255,0.724628,5.5312e-4,0.00105154,250.350066,15.02942,13.289917,322.000001
2019-11-03,3.672858,78.11786,110.471189,476.485579,1.735003,496.7435,59.648235,1.446074,1.801,1.7025,1.753188,2,84.774813,1.750676,0.376784,1866.620736,1,1.357793,6.914913,3.9896,1,1.08618925e-4,70.769344,10.977088,2.051928,2.015669,1.31435,1654.768439,0.985867,0.024,743.799291,7.0373,7.0374,3376.747179,582.12925,1,25.75,99.58,22.8474,178,6.6912,52.799492,119.453249,16.1415,14.999786,29.584601,0.8956,2.17775,0.772917,0.772917,2.95262,0.772917,5.492364,0.772917,51.2,9187.999431,7.711463,208.729203,7.837421,24.657571,6.674418,97.315244,293.85,14021.429082,3.52554,0.772917,70.522106,1189.982382,42105.040176,123.500029,0.772917,138.563607,0.7085,108.219,103.247135,69.651252,4070.414306,442.599546,900,1164.69997,0.303332,0.833393,389.714902,8839.510647,1511.973924,181.167512,211.599966,15.115906,1.40118,9.613342,17.432167,3680.265781,55.10573,1521.988029,2681.360025,8.072269,357,37.196628,36.233096,15.45,733.789296,19.0999,4.1645,62.875,15.115906,361.997977,34.044783,9.09188,113.230544,1.554047,0.384821,1,3.344957,3.40421,50.493218,154.962204,3.808334,6440.912075,3.640952,4.25677,105.151153,63.4369,917.719639,3.75015,8.133554,13.736072,45.109781,9.56008,1.357211,0.772917,7438.043346,578.4538,7.458,130.26,21560.79,22.15,8.750762,514.970169,15.11734,30.18,9.689714,3.5,2.833,2.313288,5.7056,6.746477,30.45,2304.865867,24.81048,3709.978911,1,37.468973,9446.96807,248487.642241,22152.855,23181.232906,115.0155,2.662939,587.475089,0.05517245,6.6098e-4,2.70255,0.724628,5.519e-4,0.00105098,250.350066,14.8559,13.289917,322.000001
2019-11-04,3.673,78.223525,110.375162,476.140191,1.734758,494.217,59.64675,1.4515,1.8,1.7025,1.751359,2,84.733575,1.7577,0.377001,1868.114714,1,1.356958,6.914046,4.0123,1,1.0617899e-4,70.735786,10.868319,2.040922,2.015421,1.315275,1660.185522,0.988429,0.024,743,7.025743,7.0303,3332.439302,583.840935,1,25.75,99.375,22.942799,178.05,6.7139,52.899833,119.651,16.114,14.999637,29.65081,0.898626,2.1811,0.7758,0.7758,2.965,0.7758,5.510174,0.7758,51.22,9170.895131,7.710453,208.545183,7.83675,24.690864,6.6955,97.377845,295.985298,14061.159937,3.51325,0.7758,70.78901,1190.215961,42105,123.929989,0.7758,139.246324,0.7086,108.705,103.31,69.652051,4054.696364,442.299583,900,1162.810014,0.3038,0.833214,388.135229,8844.958657,1511.859443,180.524159,211.600072,14.971878,1.402148,9.619298,17.344645,3659.296247,55.314305,1513.285349,2676.983217,8.072397,357,37.197498,36.226218,15.46,732.784997,19.174467,4.1501,62.975001,14.971878,361.958235,33.88022,9.138,113.176007,1.561956,0.385008,1,3.340352,3.419274,50.496035,155.627441,3.836144,6441.660159,3.641,4.2723,105.472995,63.472,923.119296,3.750034,8.254337,12.955524,45.102036,9.61948,1.35835,0.7758,7438.043346,579.259474,7.458,130.26,21560.79,22.1,8.748567,515.005282,14.93792,30.211914,9.692769,3.51,2.833,2.313288,5.734337,6.777296,30.342,2304.687261,24.8017,3704.495421,1,37.417936,9456.823271,248487.642241,22152.855,23277.114127,115.621791,2.646875,589.460016,0.05548796,6.6366e-4,2.70255,0.724888,5.608e-4,0.00106895,250.249998,14.782938,13.343244,322.000001
2019-11-05,3.6732,78.249999,110.963137,477.541243,1.735188,486.0325,59.6584,1.451443,1.8,1.7025,1.759489,2,84.752591,1.76622,0.377016,1874.012208,1,1.356687,6.915652,3.9936,1,1.07369995e-4,70.69037,10.847075,2.0414,2.015851,1.315425,1664.315001,0.992553,0.024,749.100073,7.00172,7.0097,3335.221414,585.179554,1,25.75,99.75,23.031888,178,6.747563,52.805014,119.87,16.129,14.999561,29.602011,0.903011,2.182,0.7763,0.7763,2.965,0.7763,5.505178,0.7763,51.2,9166.874331,7.705698,209.23374,7.833015,24.683442,6.717838,97.51795,299.060516,14045.5595,3.49457,0.7763,70.7725,1191.677042,42105,124.349994,0.7763,139.442941,0.709,109.14578571,103.198534,69.656248,4060.159196,444.750057,900,1156.2,0.303789,0.833408,388.560586,8847.825689,1511.984057,180.316212,211.599966,14.750938,1.401986,9.641131,17.341637,3665,55.556307,1511.600078,2684.700072,8.07037,357,37.21142,36.328993,15.45,733.28042,19.205,4.1305,62.974001,14.753603,362.265401,33.76,9.1743,113.102233,1.569181,0.384981,1,3.335758,3.396751,50.401334,156.11342,3.851851,6429.206122,3.641,4.2939,106.057803,63.4778,925.036828,3.750079,8.267992,13.680037,45.117945,9.6556,1.358491,0.7763,7438.043346,579.124429,7.458,130.26,21560.79,22.2,8.750529,515.019975,14.745802,30.255,9.690803,3.51,2.831,2.313288,5.754139,6.783138,30.327999,2305.150847,24.742036,3701.272093,1,37.278422,9468.432645,248487.642241,22471.982859,23285.643272,115.814614,2.638042,592.336386,0.05684079,6.7371e-4,2.70255,0.726202,5.621e-4,0.00107602,250.300053,14.7574,13.446055,322.000001
2019-11-06,3.6732,78.335582,111.130408,477.741461,1.73496,465.107,59.6565,1.454207,1.8,1.7025,1.764815,2,84.745047,1.766902,0.377023,1873.951597,1,1.358587,6.915025,4.0838,1,1.06915639e-4,70.819339,10.869355,2.040361,2.015637,1.318615,1664.233088,0.992457,0.024,742.3,7.01367,6.9983,3314.616582,585.155501,1,25.75,99.885,23.0651,178,6.7491,52.799557,119.951,16.1399,14.999813,29.606446,0.90333,2.18395,0.777882,0.777882,2.96,0.777882,5.524937,0.777882,51.25,9166.661243,7.704864,209.211276,7.82672,24.690603,6.7174,97.509494,299.83,14012.588077,3.4884,0.777882,71.009997,1192.285726,42105,124.389986,0.777882,139.074723,0.709,108.916,102.91,69.6556,4064.996867,444.299833,900,1161.07998,0.303707,0.833326,389.014942,8851.935552,1512.82523,180.649959,211.55003,14.79858,1.401338,9.651772,17.400472,3713.156081,55.550538,1517.501546,2684.425806,8.058761,357,37.226366,36.432519,15.465,732.833859,19.165,4.137,63.019,14.79858,361.871316,33.752292,9.169405,113.310675,1.571113,0.385008,1,3.339122,3.394537,50.607468,156.164971,3.852914,6433.577696,3.641,4.3008,106.03951,63.8394,931.650655,3.750362,8.336952,13.700523,45.109167,9.620135,1.360468,0.777882,7438.043346,579.491987,7.458,130.26,21560.79,22.125,8.749949,515.025252,14.790296,30.3,9.696138,3.51,2.8335,2.316522,5.751399,6.773716,30.404001,2304.929218,24.609401,3704.901186,1,37.362005,9468.735065,248487.642241,22704.068615,23223.880703,115.767246,2.647673,592.545446,0.05675859,6.7099e-4,2.70255,0.726624,5.5697e-4,0.00107643,250.349961,14.820266,13.474669,322.000001
2019-11-07,3.6732,78.224897,111.28894,477.860055,1.735398,465.5695,59.6008,1.44963,1.80125,1.7025,1.765668,2,84.764903,1.769651,0.376985,1873.846911,1,1.357588,6.916584,4.101,1,1.08589162e-4,70.94439,10.86639,2.04196,2.016159,1.31749,1664.940712,0.994759,0.024,742.799284,6.97371,6.97775,3346.883935,585.555731,1,25.75,100,23.107,178,6.761,52.812132,120.020805,16.1406,14.999609,29.794189,0.904855,2.183,0.780007,0.780007,2.96,0.780007,5.49876,0.780007,51.27,9161.429915,7.701814,209.262409,7.825947,24.675716,6.7205,97.532713,300.928162,13978.867739,3.4968,0.780007,71.047,1192.84988,42105,124.589984,0.780007,140.563299,0.709,109.26935564,102.847851,69.655599,4065.587487,445.150108,900,1154.755,0.303694,0.833529,388.45898999999997,8853.276044,1511.272286,180.892528,211.450019,14.732608,1.404532,9.654693,17.340126,3718.927777,55.65009,1518.8595,2684.4275040000002,8.061659,357,37.219729,36.429999,15.5,732.947385,19.1365,4.1256,63.03,14.732608,362.294411,33.741735,9.107555,113.510873,1.56912,0.385004,1,3.339557,3.39699,50.530201,156.042045,3.854422,6442.05804,3.641,4.3067,106.301009,63.5525,931.845621,3.750277,8.302329,13.698978,45.123424,9.6289,1.357385,0.780007,7438.043346,579.20551,7.458,130.26,21560.79,22.2,8.75237,514.995092,14.734268,30.42,9.697213,3.5,2.8475,2.317041,5.74609,6.771689,30.242501,2305.52286,24.541532,3700.920121,1,37.474034,9470.105291,248487.642241,24211.111936,23256.254961,116.035499,2.641983,593.545683,0.05840959,6.8083e-4,2.70255,0.727012,5.5464e-4,0.00109951,250.300053,14.7306,13.548163,322.000001
2019-11-08,3.6728,78.250004,111.7,477.571994,1.734311,465.5695,59.505484,1.457292,1.8,1.7025,1.772693,2,84.712777,1.7746,0.376975,1871,1,1.358738,6.91241,4.1633,1,1.14042455e-4,71.133831,10.901041,2.041465,2.014891,1.32275,1665,0.997518,0.024,748.999624,6.98755,6.9958,3321.995419,585.053473,1,25.75,100.125,23.124,178.05,6.78105,52.818955,120.13,16.150359,14.999659,29.9,0.907503,2.184,0.782779,0.782779,2.96,0.782779,5.525,0.782779,51.22,9240,7.696937,209.132369,7.82735,24.710001,6.7443,97.470849,302.65,14017.684,3.49362,0.782779,71.377,1190,42105,124.959976,0.782779,140.790112,0.709,109.25296126,102.447523,69.6556,4066,445.150108,900,1158.759987,0.303858,0.833031,388.603291,8860,1513.261763,180.506288,211.34999,14.73,1.4,9.675,17.347653,3697,55.875472,1516.745015,2683.923245,8.059631,357,37.25,36.374359,15.45,732.5,19.10535,4.133001,63.075,14.82,362,33.83,9.1309,113.817071,1.580395,0.385006,1,3.36,3.38,50.582854,156,3.87055,6444.434688,3.641,4.3227,106.61,63.7791,931,3.750125,8.267992,13.700507,45.1,9.697825,1.35935,0.782779,7438.043346,581,7.458,130.26,21560.79,22.35,8.74621,515.050192,14.82,30.356795,9.691384,3.5025,2.8545,2.315979,5.760675,6.773283,30.396,2304.1,24.49937,3695.528045,1,37.445964,9466,248487.642241,24201.703153,23220.000347,115.949798,2.6436,595.282814,0.05949371,6.8545e-4,2.70255,0.728122,5.7303e-4,0.0011259,250.349961,14.86453,13.629587,322.000001
2019-11-09,3.6728,78.250004,111.7,477.571994,1.734311,465.5695,59.505484,1.457292,1.8,1.7025,1.772693,2,84.712777,1.7746,0.376975,1871,1,1.358738,6.91241,4.1633,1,1.13498658e-4,71.133831,10.901041,2.041465,2.014891,1.32275,1665,0.996869,0.024,748.999624,6.98755,6.9958,3321.995419,585.053473,1,25.75,100.125,23.124,178.05,6.78105,52.818955,120.13,16.150359,14.999786,29.9,0.907528,2.184,0.782779,0.782779,2.96,0.782779,5.525,0.782779,51.22,9240,7.696937,209.132369,7.82735,24.710001,6.7443,97.470849,302.65,14017.684,3.49362,0.782779,71.377,1190,42105,124.959976,0.782779,140.790112,0.709,109.25296126,102.447523,69.655602,4066,445.150108,900,1158.759987,0.303858,0.833031,388.603291,8860,1513.261763,180.506288,211.34999,14.73,1.4,9.675,17.347653,3697,55.875472,1516.745015,2684.71,8.059631,357,37.25,36.374359,15.45,732.5,19.10535,4.133001,63.075,14.82,362,33.83,9.1309,113.817071,1.580395,0.385006,1,3.36,3.38,50.582854,156,3.87055,6444.434688,3.641,4.3227,106.61,63.7791,931,3.750125,8.267992,13.700507,45.1,9.697825,1.35935,0.782779,7438.043346,581,7.458,130.26,21560.79,22.35,8.74621,515.050169,14.82,30.356795,9.691384,3.5025,2.8545,2.315979,5.760675,6.773283,30.396,2304.1,24.49937,3695.528045,1,37.445964,9466,248487.642241,24201.703153,23220.000347,115.0705,2.665865,595.299016,0.05949371,6.8545e-4,2.70255,0.728077,5.7303e-4,0.0011259,250.349961,14.86453,13.629587,322.000001
2019-11-10,3.672782,78.254572,111.602277,477.571994,1.734311,465.5695,59.488753,1.458236,1.8,1.7025,1.772693,2,84.712777,1.774901,0.376981,1873.53929,1,1.358738,6.91241,4.163369,1,1.1056587e-4,71.290105,10.901041,2.041465,2.014891,1.322715,1663.916436,0.997195,0.024,748.999576,6.990235,6.99596,3321.058984,585.053473,1,25.75,100.3,23.1251,178.05,6.779145,52.899373,120.131554,16.145817,14.999786,29.726081,0.907267,2.1838,0.781565,0.781565,2.96,0.781565,5.523681,0.781565,51.22,9150.247218,7.696937,209.132369,7.82885,24.689987,6.74343,97.470849,302.701777,14014.633329,3.494036,0.781565,71.370688,1192.011839,42105,124.894274,0.781565,140.636437,0.709,109.2075,102.470013,69.655602,4064.204615,446.9499,900,1158.759987,0.303833,0.833031,388.603291,8853.213385,1513.00941,180.506288,211.374988,14.81446,1.402802,9.675476,17.390016,3724.926264,55.875472,1516.745015,2684.71,8.059631,357,37.290886,36.37812,15.45,733.670388,19.11085,4.133001,62.910002,14.81446,362.213715,33.76484,9.13925,114.050463,1.579492,0.385005,1,3.349637,3.393506,50.568632,156.105358,3.871499,6444.434688,3.64073,4.321827,106.60454,63.816402,931.578381,3.75025,8.267992,13.700507,45.091202,9.703086,1.36002,0.781565,7438.043346,579.348053,7.458,130.26,21560.79,22.35,8.74621,514.990169,14.815908,30.348256,9.691384,3.5,2.8545,2.315979,5.767925,6.773283,30.394166,2304.090881,24.49937,3695.528045,1,37.45473,9472.291755,248487.642241,24201.703153,23213.26442,115.0705,2.665869,595.128143,0.05938242,6.844e-4,2.70255,0.728077,5.721e-4,0.00112488,250.349961,14.858625,13.629587,322.000001
