"Country","Homicidios (por 100,000 habitantes , 2015)","Acceso a electricidad (%, 2017)","Inversion en Salud (% del PIB, 2019)","Medicos por 1000 habitantes (2014-2019)","Enfermeras por 1000 habitantes (2014-2019)","Poblacion con menos de 3.20$ por dia (%, 2011 PPP)","Esperanza de vida (ages, 2019)","Tasa Mortalidad Infantil (por 1000 nacimientos vivos, 2020)","Alimentacion Insuficiente (%, 2019)","Inversion Estatal en Educacion (% del PIB, 2020)","Terreno Cultivable (%, 2014-16)","Emisiones CO2 (metric tons per capita)","Sistema_Sanitario","Inversion_Edcucacion_Sanidad","Pobreza","Contaminacion","Inseguridad"
"Albania",2.2,99.9,5.2,1.6,5.1,8.2,79,9,3.9,3.9,43,1.9,"Inadecuado","Baja","Media","Baja","Baja"
"Algeria",1.4,99.6,6.2,1.7,1.5,3.7,77,20,2.5,6.1,17,3.6,"Inadecuado","Baja","Baja","Baja","Baja"
"Angola",4.8,43,2.5,0.2,0.4,73.2,61,48,17.3,1.8,47,0.9,"Inadecuado","Baja","Alta","Baja","Baja"
"Argentina",6.6,100,9.5,4,2.6,3.9,77,8,3.9,4.8,54,4,"Adecuado","Alta","Media","Baja","Media"
"Armenia",2.6,99.7,11.3,4.4,4.4,9.4,75,10,3.4,2.7,59,1.9,"Adecuado","Baja","Media","Baja","Baja"
"Australia",1,100,9.9,3.8,13.2,0.7,83,3,2.5,5.1,48,15.5,"Adecuado","Alta","Baja","Alta","Baja"
"Austria",0.5,100,10.4,5.2,7.1,0.4,82,3,2.5,5.2,32,7.1,"Adecuado","Alta","Baja","Media","Baja"
"Azerbaijan",2.3,100,4,3.4,6.4,0,73,17,2.5,2.7,58,3.2,"Adecuado","Baja","Baja","Baja","Baja"
"Bangladesh",2.6,88,2.5,0.6,0.4,52.5,73,24,9.7,1.3,71,0.5,"Inadecuado","Baja","Alta","Baja","Baja"
"Belarus",3.5,100,5.9,5.2,11,0,74,2,2.5,5,42,6.3,"Adecuado","Baja","Baja","Media","Baja"
"Belgium",2,100,10.7,6,11.8,0.2,82,3,2.5,6.4,45,8.2,"Adecuado","Alta","Baja","Media","Baja"
"Belize",33,94.2,6,1.1,2.3,27.7,75,10,5.9,7.9,7,1.8,"Inadecuado","Baja","Alta","Baja","Alta"
"Brazil",28.6,99.8,9.6,2.3,7.4,9.1,76,13,2.5,6.1,34,2,"Inadecuado","Alta","Media","Baja","Alta"
"Burkina Faso",0.6,17.2,5.5,0.1,0.9,76.7,62,53,14.4,5.8,44,0.2,"Inadecuado","Baja","Alta","Baja","Baja"
"Cabo Verde",8.8,91.3,4.9,0.8,1.3,15.4,73,12,15.4,4.7,20,1.1,"Inadecuado","Baja","Alta","Baja","Media"
"Chile",3.4,99.7,9.3,5.2,13.3,0.7,80,6,3.4,5.4,21,4.6,"Adecuado","Alta","Media","Baja","Baja"
"China",0.7,100,5.4,2,2.7,5.4,77,6,2.5,3.5,56,7.4,"Inadecuado","Baja","Media","Media","Baja"
"Costa Rica",11.5,99.6,7.3,2.9,3.4,3.7,80,7,3.1,6.7,34,1.7,"Adecuado","Alta","Media","Baja","Alta"
"Czech Republic",0.8,100,7.8,4.1,8.4,0.1,79,2,2.5,4.3,45,9.6,"Adecuado","Baja","Baja","Media","Baja"
"Dominican Republic",17.8,100,5.9,1.5,1.5,2.6,74,28,8.3,4,49,2.4,"Inadecuado","Baja","Alta","Baja","Alta"
"Ecuador",6.5,99.2,7.8,2.2,2.5,9.7,77,11,12.4,4.1,22,2.3,"Inadecuado","Baja","Alta","Baja","Media"
"El Salvador",105.2,96.8,7.2,2.9,1.8,7.9,73,11,8.5,3.4,76,1.1,"Inadecuado","Baja","Alta","Baja","Alta"
"Estonia",3.4,100,6.7,3.5,6.6,0.5,78,2,2.5,5.2,23,12.1,"Adecuado","Baja","Baja","Alta","Baja"
"Eswatini",10.1,73.5,6.8,0.1,4.1,52.1,60,37,11.6,5.3,71,1,"Inadecuado","Alta","Alta","Baja","Alta"
"Ethiopia",8.8,44.3,3.2,0.1,0.7,70.5,67,35,16.2,5.1,36,0.1,"Inadecuado","Baja","Alta","Baja","Media"
"Fiji",2.3,96,3.8,0.9,4,7.5,67,23,5.6,5.1,23,2.2,"Inadecuado","Baja","Media","Baja","Baja"
"Finland",1.5,100,9.2,4.6,14.9,0.1,82,2,2.5,6.3,7,8,"Adecuado","Alta","Baja","Media","Baja"
"France",1.6,100,11.1,6.5,11.5,0,83,3,2.5,5.4,52,4.6,"Adecuado","Alta","Baja","Baja","Baja"
